partition,date_utc,signal_ts,method,structural_outcome,wick_filled,wick_exit_reason,wick_net,close_filled,close_exit_reason,close_net
development,2022-01-26,2022-01-26 13:55:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-26,2022-01-26 13:55:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-26,2022-01-26 13:55:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-26,2022-01-26 13:55:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-26,2022-01-26 13:55:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,2.6525854528572483,True,TP_RANGE_EDGE,2.6525854528572483
development,2022-01-26,2022-01-26 13:55:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,2.039090149842005,True,TP_RANGE_EDGE,2.039090149842005
development,2022-01-28,2022-01-28 13:40:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,-0.3095671942862529,True,TP_RANGE_EDGE,-0.3095671942862529
development,2022-01-28,2022-01-28 13:40:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-28,2022-01-28 13:40:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-28,2022-01-28 13:40:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-28,2022-01-28 13:40:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-28,2022-01-28 13:40:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-28,2022-01-28 13:40:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-28,2022-01-28 13:40:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,1.6030100952405095,True,TP_RANGE_EDGE,1.6030100952405095
development,2022-02-01,2022-02-01 17:00:00+00:00,NEXT_OPEN,NO_BREAK,True,TP_RANGE_EDGE,-0.2983169212154465,True,TP_RANGE_EDGE,-0.2983169212154465
development,2022-02-01,2022-02-01 17:00:00+00:00,F50,NO_BREAK,True,TIME_EXIT_SESSION_END,-2.715587330833424,True,TIME_EXIT_SESSION_END,-2.715587330833424
development,2022-02-01,2022-02-01 17:00:00+00:00,F55,NO_BREAK,True,TIME_EXIT_SESSION_END,-3.444876985725975,True,TIME_EXIT_SESSION_END,-3.444876985725975
development,2022-02-01,2022-02-01 17:00:00+00:00,F60,NO_BREAK,True,TIME_EXIT_SESSION_END,-4.172032415984394,True,TIME_EXIT_SESSION_END,-4.172032415984394
development,2022-02-01,2022-02-01 17:00:00+00:00,F65,NO_BREAK,True,TIME_EXIT_SESSION_END,-4.8970629764508615,True,TIME_EXIT_SESSION_END,-4.8970629764508615
development,2022-02-01,2022-02-01 17:00:00+00:00,F70,NO_BREAK,True,TIME_EXIT_SESSION_END,-5.619977967374112,True,TIME_EXIT_SESSION_END,-5.619977967374112
development,2022-02-01,2022-02-01 17:00:00+00:00,F75,NO_BREAK,True,TIME_EXIT_SESSION_END,-6.3407866348079605,True,TIME_EXIT_SESSION_END,-6.3407866348079605
development,2022-02-01,2022-02-01 17:00:00+00:00,F80,NO_BREAK,True,TIME_EXIT_SESSION_END,-7.059498171004641,True,TIME_EXIT_SESSION_END,-7.059498171004641
development,2022-02-03,2022-02-03 16:15:00+00:00,NEXT_OPEN,NO_BREAK,True,TIME_EXIT_SESSION_END,-6.839601366887149,True,TIME_EXIT_SESSION_END,-6.839601366887149
development,2022-02-03,2022-02-03 16:15:00+00:00,F50,NO_BREAK,True,TIME_EXIT_SESSION_END,-1.8423051339403358,True,TIME_EXIT_SESSION_END,-1.8423051339403358
development,2022-02-03,2022-02-03 16:15:00+00:00,F55,NO_BREAK,True,TIME_EXIT_SESSION_END,-2.4404428567042387,True,TIME_EXIT_SESSION_END,-2.4404428567042387
development,2022-02-03,2022-02-03 16:15:00+00:00,F60,NO_BREAK,True,TIME_EXIT_SESSION_END,-3.0371470843066235,True,TIME_EXIT_SESSION_END,-3.0371470843066235
development,2022-02-03,2022-02-03 16:15:00+00:00,F65,NO_BREAK,True,TIME_EXIT_SESSION_END,-3.632422963845516,True,TIME_EXIT_SESSION_END,-3.632422963845516
development,2022-02-03,2022-02-03 16:15:00+00:00,F70,NO_BREAK,True,TIME_EXIT_SESSION_END,-4.226275617806851,True,TIME_EXIT_SESSION_END,-4.226275617806851
development,2022-02-03,2022-02-03 16:15:00+00:00,F75,NO_BREAK,True,TIME_EXIT_SESSION_END,-4.818710144211025,True,TIME_EXIT_SESSION_END,-4.818710144211025
development,2022-02-03,2022-02-03 16:15:00+00:00,F80,NO_BREAK,True,TIME_EXIT_SESSION_END,-5.409731616759661,True,TIME_EXIT_SESSION_END,-5.409731616759661
development,2022-02-07,2022-02-07 14:25:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.33255012624173774,True,TP_RANGE_EDGE,0.33255012624173774
development,2022-02-07,2022-02-07 14:25:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-07,2022-02-07 14:25:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-07,2022-02-07 14:25:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-07,2022-02-07 14:25:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-07,2022-02-07 14:25:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-07,2022-02-07 14:25:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-07,2022-02-07 14:25:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,1.2633073660895504,True,TP_RANGE_EDGE,1.2633073660895504
development,2022-02-09,2022-02-09 19:10:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.16594166655410392,True,TP_RANGE_EDGE,0.16594166655410392
development,2022-02-09,2022-02-09 19:10:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-09,2022-02-09 19:10:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-09,2022-02-09 19:10:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-09,2022-02-09 19:10:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-09,2022-02-09 19:10:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-09,2022-02-09 19:10:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-09,2022-02-09 19:10:00+00:00,F80,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.10544630405258137,True,TP_RANGE_EDGE,0.10544630405258137
development,2022-02-11,2022-02-11 13:45:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-11,2022-02-11 13:45:00+00:00,F80,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-15,2022-02-15 14:40:00+00:00,NEXT_OPEN,NO_BREAK,True,TP_RANGE_EDGE,0.1417374341694092,True,TP_RANGE_EDGE,0.1417374341694092
development,2022-02-15,2022-02-15 14:40:00+00:00,F50,NO_BREAK,True,TIME_EXIT_SESSION_END,-0.6402816578185863,True,TIME_EXIT_SESSION_END,-0.6402816578185863
development,2022-02-15,2022-02-15 14:40:00+00:00,F55,NO_BREAK,True,TIME_EXIT_SESSION_END,-1.1297295058031338,True,TIME_EXIT_SESSION_END,-1.1297295058031338
development,2022-02-15,2022-02-15 14:40:00+00:00,F60,NO_BREAK,True,TIME_EXIT_SESSION_END,-1.6182195942866402,True,TIME_EXIT_SESSION_END,-1.6182195942866402
development,2022-02-15,2022-02-15 14:40:00+00:00,F65,NO_BREAK,True,TIME_EXIT_SESSION_END,-2.1057547317604337,True,TIME_EXIT_SESSION_END,-2.1057547317604337
development,2022-02-15,2022-02-15 14:40:00+00:00,F70,NO_BREAK,True,TIME_EXIT_SESSION_END,-2.592337715745507,True,TIME_EXIT_SESSION_END,-2.592337715745507
development,2022-02-15,2022-02-15 14:40:00+00:00,F75,NO_BREAK,True,TIME_EXIT_SESSION_END,-3.077971332846918,True,TIME_EXIT_SESSION_END,-3.077971332846918
development,2022-02-15,2022-02-15 14:40:00+00:00,F80,NO_BREAK,True,TIME_EXIT_SESSION_END,-3.562658358806025,True,TIME_EXIT_SESSION_END,-3.562658358806025
development,2022-02-22,2022-02-22 14:00:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.16973052142894607,True,TP_RANGE_EDGE,0.16973052142894607
development,2022-02-22,2022-02-22 14:00:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-22,2022-02-22 14:00:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-02-22,2022-02-22 14:00:00+00:00,F60,TARGET_BREAK,True,TP_RANGE_EDGE,5.699171273967196,True,TP_RANGE_EDGE,5.699171273967196
development,2022-02-22,2022-02-22 14:00:00+00:00,F65,TARGET_BREAK,True,TP_RANGE_EDGE,4.928649777807781,True,TP_RANGE_EDGE,4.928649777807781
development,2022-02-22,2022-02-22 14:00:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,4.160470908893776,True,TP_RANGE_EDGE,4.160470908893776
development,2022-02-22,2022-02-22 14:00:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,3.3946239999574472,True,TP_RANGE_EDGE,3.3946239999574472
development,2022-02-22,2022-02-22 14:00:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,2.6310984483985504,True,TP_RANGE_EDGE,2.6310984483985504
development,2022-02-24,2022-02-24 14:35:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,2.650276979173927,True,TP_RANGE_EDGE,2.650276979173927
development,2022-02-24,2022-02-24 14:35:00+00:00,F50,TARGET_BREAK,True,TP_RANGE_EDGE,7.434842538636199,True,TP_RANGE_EDGE,7.434842538636199
development,2022-02-24,2022-02-24 14:35:00+00:00,F55,TARGET_BREAK,True,TP_RANGE_EDGE,6.6403263151526115,True,TP_RANGE_EDGE,6.6403263151526115
development,2022-02-24,2022-02-24 14:35:00+00:00,F60,TARGET_BREAK,True,TP_RANGE_EDGE,5.848292276460398,True,TP_RANGE_EDGE,5.848292276460398
development,2022-02-24,2022-02-24 14:35:00+00:00,F65,TARGET_BREAK,True,TP_RANGE_EDGE,5.05872880863929,True,TP_RANGE_EDGE,5.05872880863929
development,2022-02-24,2022-02-24 14:35:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,4.27162437011015,True,TP_RANGE_EDGE,4.27162437011015
development,2022-02-24,2022-02-24 14:35:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,3.486967491072757,True,TP_RANGE_EDGE,3.486967491072757
development,2022-02-24,2022-02-24 14:35:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,2.7047467729484747,True,TP_RANGE_EDGE,2.7047467729484747
development,2022-03-03,2022-03-03 13:40:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.019373932996180954,True,TP_RANGE_EDGE,0.019373932996180954
development,2022-03-03,2022-03-03 13:40:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-03,2022-03-03 13:40:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-03,2022-03-03 13:40:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-03,2022-03-03 13:40:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-03,2022-03-03 13:40:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-03,2022-03-03 13:40:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-03,2022-03-03 13:40:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,1.2867849722626006,True,TP_RANGE_EDGE,1.2867849722626006
development,2022-03-16,2022-03-16 14:05:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,3.951828708458405,True,TP_RANGE_EDGE,3.951828708458405
development,2022-03-16,2022-03-16 14:05:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-16,2022-03-16 14:05:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-16,2022-03-16 14:05:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-16,2022-03-16 14:05:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-16,2022-03-16 14:05:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,4.137870048077152,True,TP_RANGE_EDGE,4.137870048077152
development,2022-03-16,2022-03-16 14:05:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,3.375846939153893,True,TP_RANGE_EDGE,3.375846939153893
development,2022-03-16,2022-03-16 14:05:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,2.6161221850348864,True,TP_RANGE_EDGE,2.6161221850348864
development,2022-03-18,2022-03-18 14:15:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.26960720472775124,True,TP_RANGE_EDGE,0.26960720472775124
development,2022-03-18,2022-03-18 14:15:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-18,2022-03-18 14:15:00+00:00,F55,TARGET_BREAK,True,TP_RANGE_EDGE,3.303425356343937,True,TP_RANGE_EDGE,3.303425356343937
development,2022-03-18,2022-03-18 14:15:00+00:00,F60,TARGET_BREAK,True,TP_RANGE_EDGE,2.889226671093104,True,TP_RANGE_EDGE,2.889226671093104
development,2022-03-18,2022-03-18 14:15:00+00:00,F65,TARGET_BREAK,True,TP_RANGE_EDGE,2.4757086228313745,True,TP_RANGE_EDGE,2.4757086228313745
development,2022-03-18,2022-03-18 14:15:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,2.0628695352384434,True,TP_RANGE_EDGE,2.0628695352384434
development,2022-03-18,2022-03-18 14:15:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,1.650707737494606,True,TP_RANGE_EDGE,1.650707737494606
development,2022-03-18,2022-03-18 14:15:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,1.2392215642576647,True,TP_RANGE_EDGE,1.2392215642576647
development,2022-03-21,2022-03-21 13:45:00+00:00,NEXT_OPEN,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-6.53662165752793,True,CLOSE_INVALID,-7.557177709606499
development,2022-03-21,2022-03-21 13:45:00+00:00,F50,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-3.9825280435098915,True,CLOSE_INVALID,-5.00836206477927
development,2022-03-21,2022-03-21 13:45:00+00:00,F55,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-4.33795927795143,True,CLOSE_INVALID,-5.363058809656862
development,2022-03-21,2022-03-21 13:45:00+00:00,F60,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-4.692881904288004,True,CLOSE_INVALID,-5.717247997455144
development,2022-03-21,2022-03-21 13:45:00+00:00,F65,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-5.04729701343658,True,CLOSE_INVALID,-6.07093071683672
development,2022-03-21,2022-03-21 13:45:00+00:00,F70,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-5.40120569319612,True,CLOSE_INVALID,-6.4241080533526285
development,2022-03-21,2022-03-21 13:45:00+00:00,F75,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-5.754609028259128,True,CLOSE_INVALID,-6.776781089453998
development,2022-03-21,2022-03-21 13:45:00+00:00,F80,OPPOSITE_BREAK,True,SL_RANGE_EDGE,-6.107508100222692,True,CLOSE_INVALID,-7.128950904502651
development,2022-03-22,2022-03-22 14:35:00+00:00,NEXT_OPEN,NO_BREAK,True,TP_RANGE_EDGE,-0.38839535628580857,True,TP_RANGE_EDGE,-0.38839535628580857
development,2022-03-22,2022-03-22 14:35:00+00:00,F50,NO_BREAK,True,TIME_EXIT_SESSION_END,-4.0047938649801935,True,TIME_EXIT_SESSION_END,-4.0047938649801935
development,2022-03-22,2022-03-22 14:35:00+00:00,F55,NO_BREAK,True,TIME_EXIT_SESSION_END,-4.60097195532021,True,TIME_EXIT_SESSION_END,-4.60097195532021
development,2022-03-22,2022-03-22 14:35:00+00:00,F60,NO_BREAK,True,TIME_EXIT_SESSION_END,-5.195719725832982,True,TIME_EXIT_SESSION_END,-5.195719725832982
development,2022-03-22,2022-03-22 14:35:00+00:00,F65,NO_BREAK,True,TIME_EXIT_SESSION_END,-5.7890423176760635,True,TIME_EXIT_SESSION_END,-5.7890423176760635
development,2022-03-22,2022-03-22 14:35:00+00:00,F70,NO_BREAK,True,TIME_EXIT_SESSION_END,-6.380944847397196,True,TIME_EXIT_SESSION_END,-6.380944847397196
development,2022-03-22,2022-03-22 14:35:00+00:00,F75,NO_BREAK,True,TIME_EXIT_SESSION_END,-6.971432407081468,True,TIME_EXIT_SESSION_END,-6.971432407081468
development,2022-03-22,2022-03-22 14:35:00+00:00,F80,NO_BREAK,True,TIME_EXIT_SESSION_END,-7.56051006449725,True,TIME_EXIT_SESSION_END,-7.56051006449725
development,2022-03-23,2022-03-23 15:05:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.7550126130212002,True,TP_RANGE_EDGE,0.7550126130212002
development,2022-03-23,2022-03-23 15:05:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-23,2022-03-23 15:05:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-23,2022-03-23 15:05:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-23,2022-03-23 15:05:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-03-23,2022-03-23 15:05:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
