partition,date_utc,obs_start,obs_end,regime,side,router_selected,entry_start,entry_px,H,L,range,activated,activation_bar_start,ratchets,exit_ts,exit_px,exit_reason,net_pnl_usd,win,stop_px,E20_DOWN
development,2022-01-18,2022-01-18 00:00:00+00:00,2022-01-18 04:00:00+00:00,BEAR,LONG,False,2022-01-18 00:35:00+00:00,42254.79,42368.0,41523.68,844.3199999999997,False,,0,2022-01-18 04:00:00+00:00,42027.18,LONG_TIME_EXIT_4H_BOUNDARY,-3.093304120077289,False,,
development,2022-01-20,2022-01-20 16:00:00+00:00,2022-01-20 20:00:00+00:00,BULL,LONG,True,2022-01-20 16:30:00+00:00,43278.99,43440.0,41923.0,1517.0,False,,0,2022-01-20 20:00:00+00:00,42909.99,LONG_TIME_EXIT_4H_BOUNDARY,-4.6630384858796115,False,,
development,2022-01-22,2022-01-22 20:00:00+00:00,2022-01-23 00:00:00+00:00,BEAR,LONG,False,2022-01-22 21:35:00+00:00,35309.61,35488.0,34211.5,1276.5,True,2022-01-22 21:55:00+00:00,0,2022-01-22 22:00:00+00:00,35364.01,LONG_PROFIT_FLOOR_GAP_OPEN,0.3703285309580421,True,,
development,2022-01-23,2022-01-23 04:00:00+00:00,2022-01-23 08:00:00+00:00,BEAR,LONG,False,2022-01-23 07:15:00+00:00,35467.06,35502.0,34800.0,702.0,True,2022-01-23 07:20:00+00:00,0,2022-01-23 07:25:00+00:00,35547.67,LONG_PROFIT_FLOOR_GAP_OPEN,0.7364065699271952,True,,
development,2022-01-23,2022-01-23 08:00:00+00:00,2022-01-23 12:00:00+00:00,BEAR,LONG,False,2022-01-23 08:35:00+00:00,35692.52,35742.0,34920.64,821.3600000000006,True,2022-01-23 09:10:00+00:00,0,2022-01-23 09:15:00+00:00,35877.59,LONG_PROFIT_FLOOR_GAP_OPEN,2.192560009772371,True,,
development,2022-01-23,2022-01-23 20:00:00+00:00,2022-01-24 00:00:00+00:00,BEAR,LONG,False,2022-01-23 21:40:00+00:00,35322.13,35443.83,34588.8,855.0299999999988,True,2022-01-23 23:00:00+00:00,1,2022-01-23 23:40:00+00:00,36122.91,LONG_PROFIT_FLOOR_HIT,10.935386625891509,True,,
development,2022-01-25,2022-01-25 08:00:00+00:00,2022-01-25 12:00:00+00:00,BEAR,LONG,False,2022-01-25 09:35:00+00:00,36367.65,36480.0,35693.0,787.0,True,2022-01-25 10:10:00+00:00,0,2022-01-25 10:15:00+00:00,36534.27,LONG_PROFIT_FLOOR_GAP_OPEN,1.8907721560232464,True,,
development,2022-01-25,2022-01-25 20:00:00+00:00,2022-01-26 00:00:00+00:00,BULL,SHORT,False,2022-01-25 22:00:00+00:00,36642.5965,37561.03,36480.52,1080.510000000002,False,,0,2022-01-25 23:45:00+00:00,36966.7495,SHORT_PRE_E20_HARD_STOP_TOUCH,-4.823171813165539,False,36966.7495,36264.418
development,2022-01-30,2022-01-30 00:00:00+00:00,2022-01-30 04:00:00+00:00,BULL,SHORT,False,2022-01-30 01:30:00+00:00,37949.356,38750.94,37807.9,943.0400000000009,False,,0,2022-01-30 04:00:00+00:00,37900.0,SHORT_TIME_EXIT_4H_BOUNDARY,0.25028771502734226,True,38232.268,37619.292
development,2022-01-30,2022-01-30 04:00:00+00:00,2022-01-30 08:00:00+00:00,BULL,LONG,True,2022-01-30 05:25:00+00:00,38200.0,38280.73,37716.38,564.3500000000058,False,,0,2022-01-30 08:00:00+00:00,38228.0,LONG_TIME_EXIT_4H_BOUNDARY,-0.033507853403102694,False,,
development,2022-01-31,2022-01-31 08:00:00+00:00,2022-01-31 12:00:00+00:00,SIDEWAYS,LONG,False,2022-01-31 08:30:00+00:00,37149.0,37174.61,36794.81,379.8000000000029,True,2022-01-31 10:50:00+00:00,0,2022-01-31 10:55:00+00:00,37220.24,LONG_PROFIT_FLOOR_GAP_OPEN,0.5588414223801189,True,,
development,2022-01-31,2022-01-31 12:00:00+00:00,2022-01-31 16:00:00+00:00,BEAR,LONG,False,2022-01-31 13:45:00+00:00,37279.52,37338.33,36880.0,458.33000000000175,True,2022-01-31 14:30:00+00:00,0,2022-01-31 14:35:00+00:00,37422.0,LONG_PROFIT_FLOOR_GAP_OPEN,1.510968810757252,True,,
development,2022-02-03,2022-02-03 04:00:00+00:00,2022-02-03 08:00:00+00:00,BEAR,LONG,False,2022-02-03 05:55:00+00:00,37005.0,37040.0,36700.0,340.0,False,,0,2022-02-03 08:00:00+00:00,36995.5,LONG_TIME_EXIT_4H_BOUNDARY,-0.5283610322929119,False,,
development,2022-02-03,2022-02-03 08:00:00+00:00,2022-02-03 12:00:00+00:00,BEAR,LONG,False,2022-02-03 08:40:00+00:00,37035.48,37074.0,36764.0,310.0,False,,0,2022-02-03 10:00:00+00:00,36594.0,LONG_PRE_E20_CLOSE_INVALIDATION_F35,-6.360230568093139,False,,
development,2022-02-07,2022-02-07 04:00:00+00:00,2022-02-07 08:00:00+00:00,BULL,LONG,True,2022-02-07 05:50:00+00:00,42759.99,42933.82,41609.76,1324.0599999999977,False,,0,2022-02-07 08:00:00+00:00,42712.79,LONG_TIME_EXIT_4H_BOUNDARY,-0.9519178091482058,False,,
development,2022-02-07,2022-02-07 12:00:00+00:00,2022-02-07 16:00:00+00:00,BULL,LONG,True,2022-02-07 12:45:00+00:00,42674.11,42757.12,42201.68,555.4400000000023,True,2022-02-07 13:15:00+00:00,0,2022-02-07 13:20:00+00:00,42784.96,LONG_PROFIT_FLOOR_GAP_OPEN,0.898796858329343,True,,
development,2022-02-07,2022-02-07 16:00:00+00:00,2022-02-07 20:00:00+00:00,BULL,LONG,True,2022-02-07 16:20:00+00:00,43673.3,43887.81,42450.64,1437.1699999999983,True,2022-02-07 16:35:00+00:00,0,2022-02-07 16:40:00+00:00,43695.64,LONG_PROFIT_FLOOR_GAP_OPEN,-0.14423732578032722,False,,
development,2022-02-08,2022-02-08 04:00:00+00:00,2022-02-08 08:00:00+00:00,BULL,LONG,True,2022-02-08 04:25:00+00:00,44095.37,44171.3,43550.0,621.3000000000029,True,2022-02-08 04:50:00+00:00,0,2022-02-08 04:55:00+00:00,44257.8,LONG_PROFIT_FLOOR_GAP_OPEN,1.4418033457934247,True,,
development,2022-02-12,2022-02-12 12:00:00+00:00,2022-02-12 16:00:00+00:00,BEAR,SHORT,True,2022-02-12 15:30:00+00:00,41928.9875,42440.73,41838.68,602.0500000000029,False,,0,2022-02-12 15:40:00+00:00,42109.6025,SHORT_PRE_E20_HARD_STOP_TOUCH,-2.553820194203293,False,42109.6025,41718.27
development,2022-02-12,2022-02-12 16:00:00+00:00,2022-02-12 20:00:00+00:00,BEAR,LONG,False,2022-02-12 16:30:00+00:00,42344.33,42424.79,41756.57,668.2200000000012,True,2022-02-12 16:35:00+00:00,0,2022-02-12 16:40:00+00:00,42558.434,LONG_PROFIT_FLOOR_HIT,2.128130684792962,True,,
development,2022-02-13,2022-02-13 08:00:00+00:00,2022-02-13 12:00:00+00:00,BEAR,LONG,False,2022-02-13 08:30:00+00:00,42389.09,42438.0,42101.83,336.16999999999825,True,2022-02-13 10:35:00+00:00,0,2022-02-13 10:45:00+00:00,42505.234,LONG_PROFIT_FLOOR_HIT,0.9699751516250691,True,,
development,2022-02-13,2022-02-13 12:00:00+00:00,2022-02-13 16:00:00+00:00,BEAR,LONG,False,2022-02-13 15:05:00+00:00,42588.65,42647.25,42222.0,425.25,True,2022-02-13 15:35:00+00:00,0,2022-02-13 15:40:00+00:00,42614.52,LONG_PROFIT_FLOOR_GAP_OPEN,-0.09628058179826893,False,,
development,2022-02-16,2022-02-16 20:00:00+00:00,2022-02-17 00:00:00+00:00,BULL,LONG,True,2022-02-16 20:20:00+00:00,44271.2,44330.0,43336.5,993.5,False,,0,2022-02-17 00:00:00+00:00,43860.8,LONG_TIME_EXIT_4H_BOUNDARY,-5.0350674930880075,False,,
development,2022-02-19,2022-02-19 00:00:00+00:00,2022-02-19 04:00:00+00:00,BEAR,LONG,False,2022-02-19 01:30:00+00:00,40201.8,40269.2,39712.7,556.5,False,,0,2022-02-19 04:00:00+00:00,40107.7,LONG_TIME_EXIT_4H_BOUNDARY,-1.5703456064157124,False,,
development,2022-02-21,2022-02-21 04:00:00+00:00,2022-02-21 08:00:00+00:00,BEAR,LONG,False,2022-02-21 05:55:00+00:00,39245.2,39385.0,38177.0,1208.0,False,,0,2022-02-21 08:00:00+00:00,39266.0,LONG_TIME_EXIT_4H_BOUNDARY,-0.13499943942190085,False,,
development,2022-02-21,2022-02-21 12:00:00+00:00,2022-02-21 16:00:00+00:00,BEAR,SHORT,True,2022-02-21 13:55:00+00:00,37617.575,39335.0,37314.5,2020.5,False,,0,2022-02-21 14:15:00+00:00,38223.725,SHORT_PRE_E20_HARD_STOP_TOUCH,-8.456739436287487,False,38223.725,36910.4
development,2022-02-22,2022-02-22 12:00:00+00:00,2022-02-22 16:00:00+00:00,BEAR,LONG,False,2022-02-22 14:45:00+00:00,37706.9,37868.0,36727.1,1140.9000000000015,True,2022-02-22 14:50:00+00:00,0,2022-02-22 14:55:00+00:00,38096.18,LONG_PROFIT_FLOOR_HIT,4.761919966902628,True,,
development,2022-02-24,2022-02-24 04:00:00+00:00,2022-02-24 08:00:00+00:00,BEAR,SHORT,True,2022-02-24 04:35:00+00:00,35082.135,37400.0,34673.1,2726.9000000000015,False,,0,2022-02-24 08:00:00+00:00,35282.3,SHORT_TIME_EXIT_4H_BOUNDARY,-3.252805281092552,False,35900.205,34127.72
development,2022-02-24,2022-02-24 12:00:00+00:00,2022-02-24 16:00:00+00:00,BEAR,LONG,False,2022-02-24 15:15:00+00:00,35720.5,35870.0,34763.2,1106.800000000003,True,2022-02-24 15:20:00+00:00,0,2022-02-24 15:25:00+00:00,35776.4,LONG_PROFIT_FLOOR_GAP_OPEN,0.3824638512898829,True,,
development,2022-02-26,2022-02-26 16:00:00+00:00,2022-02-26 20:00:00+00:00,BULL,LONG,True,2022-02-26 19:40:00+00:00,39320.0,39409.7,38757.2,652.5,False,,0,2022-02-26 20:00:00+00:00,39238.4,LONG_TIME_EXIT_4H_BOUNDARY,-1.437639877924712,False,,
development,2022-02-27,2022-02-27 08:00:00+00:00,2022-02-27 12:00:00+00:00,BULL,LONG,True,2022-02-27 08:50:00+00:00,38808.8,38864.5,38434.6,429.90000000000146,True,2022-02-27 09:10:00+00:00,0,2022-02-27 09:15:00+00:00,38937.8,LONG_PROFIT_FLOOR_GAP_OPEN,1.261994186885396,True,,
development,2022-02-27,2022-02-27 12:00:00+00:00,2022-02-27 16:00:00+00:00,BULL,LONG,True,2022-02-27 12:25:00+00:00,39508.4,39549.9,38605.0,944.9000000000015,True,2022-02-27 12:45:00+00:00,0,2022-02-27 12:50:00+00:00,39727.0,LONG_PROFIT_FLOOR_GAP_OPEN,2.366500288546192,True,,
development,2022-02-28,2022-02-28 00:00:00+00:00,2022-02-28 04:00:00+00:00,BEAR,LONG,False,2022-02-28 01:55:00+00:00,38110.0,38300.0,36934.6,1365.4000000000015,False,,0,2022-02-28 04:00:00+00:00,37773.5,LONG_TIME_EXIT_4H_BOUNDARY,-4.814851744948823,False,,
development,2022-02-28,2022-02-28 20:00:00+00:00,2022-03-01 00:00:00+00:00,BULL,LONG,True,2022-02-28 20:15:00+00:00,41379.8,41489.0,40674.6,814.4000000000015,True,2022-02-28 20:20:00+00:00,0,2022-02-28 20:25:00+00:00,41612.1,LONG_PROFIT_FLOOR_GAP_OPEN,2.4069251180526945,True,,
development,2022-03-03,2022-03-03 20:00:00+00:00,2022-03-04 00:00:00+00:00,SIDEWAYS,SHORT,False,2022-03-03 20:25:00+00:00,42157.56,42761.4,42051.0,710.4000000000015,True,2022-03-03 20:40:00+00:00,0,2022-03-03 20:45:00+00:00,42099.8,SHORT_PROFIT_CEILING_GAP_OPEN,0.28504913472217097,True,42370.68,41908.92
development,2022-03-04,2022-03-04 16:00:00+00:00,2022-03-04 20:00:00+00:00,BEAR,SHORT,True,2022-03-04 16:50:00+00:00,40732.87,41825.8,40540.0,1285.800000000003,True,2022-03-04 19:05:00+00:00,0,2022-03-04 19:10:00+00:00,40299.9,SHORT_PROFIT_CEILING_GAP_OPEN,4.9147494885580345,True,41118.61,40282.84
development,2022-03-09,2022-03-09 08:00:00+00:00,2022-03-09 12:00:00+00:00,BULL,LONG,True,2022-03-09 08:40:00+00:00,41873.5,41893.5,41194.9,698.5999999999985,True,2022-03-09 08:40:00+00:00,0,2022-03-09 08:55:00+00:00,42033.22,LONG_PROFIT_FLOOR_HIT,1.5071727942493456,True,,
development,2022-03-09,2022-03-09 12:00:00+00:00,2022-03-09 16:00:00+00:00,BULL,LONG,True,2022-03-09 15:45:00+00:00,42383.7,42450.0,41605.0,845.0,False,,0,2022-03-09 16:00:00+00:00,42508.9,LONG_TIME_EXIT_4H_BOUNDARY,1.0769828967268196,True,,
development,2022-03-10,2022-03-10 12:00:00+00:00,2022-03-10 16:00:00+00:00,SIDEWAYS,LONG,False,2022-03-10 13:00:00+00:00,39225.9,39300.0,38740.1,559.9000000000015,True,2022-03-10 13:30:00+00:00,0,2022-03-10 13:35:00+00:00,39411.98,LONG_PROFIT_FLOOR_HIT,1.9719022380621625,True,,
development,2022-03-12,2022-03-12 08:00:00+00:00,2022-03-12 12:00:00+00:00,BEAR,LONG,False,2022-03-12 11:00:00+00:00,39208.3,39245.7,38909.5,336.1999999999971,False,,0,2022-03-12 12:00:00+00:00,39054.1,LONG_TIME_EXIT_4H_BOUNDARY,-2.366420375277722,False,,
development,2022-03-14,2022-03-14 08:00:00+00:00,2022-03-14 12:00:00+00:00,SIDEWAYS,LONG,False,2022-03-14 08:50:00+00:00,39049.3,39176.8,38100.9,1075.9000000000015,False,,0,2022-03-14 12:00:00+00:00,38885.0,LONG_TIME_EXIT_4H_BOUNDARY,-2.5037508995039865,False,,
development,2022-03-15,2022-03-15 16:00:00+00:00,2022-03-15 20:00:00+00:00,SIDEWAYS,LONG,False,2022-03-15 17:00:00+00:00,39151.2,39250.0,38437.0,813.0,True,2022-03-15 18:55:00+00:00,0,2022-03-15 19:00:00+00:00,39387.1,LONG_PROFIT_FLOOR_GAP_OPEN,2.6126790494289236,True,,
development,2022-03-15,2022-03-15 20:00:00+00:00,2022-03-16 00:00:00+00:00,BULL,LONG,True,2022-03-15 22:05:00+00:00,39692.5,39799.9,38910.0,889.9000000000015,False,,0,2022-03-16 00:00:00+00:00,39270.9,LONG_TIME_EXIT_4H_BOUNDARY,-5.710826982427408,False,,
development,2022-03-16,2022-03-16 12:00:00+00:00,2022-03-16 16:00:00+00:00,BULL,LONG,True,2022-03-16 14:15:00+00:00,40676.0,40760.0,39538.0,1222.0,True,2022-03-16 14:15:00+00:00,0,2022-03-16 14:20:00+00:00,40861.3,LONG_PROFIT_FLOOR_GAP_OPEN,1.8777559248697844,True,,
development,2022-03-17,2022-03-17 16:00:00+00:00,2022-03-17 20:00:00+00:00,BULL,SHORT,False,2022-03-17 16:30:00+00:00,40782.5,41250.0,40700.0,550.0,True,2022-03-17 17:10:00+00:00,0,2022-03-17 17:15:00+00:00,40619.9,SHORT_PROFIT_CEILING_GAP_OPEN,1.5935021148776989,True,40947.5,40590.0
development,2022-03-22,2022-03-22 12:00:00+00:00,2022-03-22 16:00:00+00:00,BULL,LONG,True,2022-03-22 12:15:00+00:00,42892.3,43027.9,42063.3,964.5999999999985,False,,0,2022-03-22 16:00:00+00:00,42567.1,LONG_TIME_EXIT_4H_BOUNDARY,-4.190890206400721,False,,
development,2022-03-23,2022-03-23 16:00:00+00:00,2022-03-23 20:00:00+00:00,BULL,LONG,True,2022-03-23 16:20:00+00:00,42634.2,42724.0,41860.9,863.0999999999985,False,,0,2022-03-23 17:50:00+00:00,42115.3,LONG_PRE_E20_CLOSE_INVALIDATION_F35,-6.485490052586796,False,,
development,2022-03-24,2022-03-24 00:00:00+00:00,2022-03-24 04:00:00+00:00,BULL,LONG,True,2022-03-24 00:40:00+00:00,42950.6,43051.0,42160.5,890.5,True,2022-03-24 00:40:00+00:00,0,2022-03-24 00:45:00+00:00,43175.3,LONG_PROFIT_FLOOR_GAP_OPEN,2.2157958212458255,True,,
development,2022-03-24,2022-03-24 04:00:00+00:00,2022-03-24 08:00:00+00:00,BULL,LONG,True,2022-03-24 06:45:00+00:00,43199.0,43296.0,42622.2,673.8000000000029,False,,0,2022-03-24 08:00:00+00:00,43060.9,LONG_TIME_EXIT_4H_BOUNDARY,-1.9984166300145874,False,,
development,2022-03-25,2022-03-25 20:00:00+00:00,2022-03-26 00:00:00+00:00,BULL,LONG,True,2022-03-25 21:55:00+00:00,44500.0,44580.0,44000.0,580.0,False,,0,2022-03-26 00:00:00+00:00,44290.6,LONG_TIME_EXIT_4H_BOUNDARY,-2.7528089887640546,False,,
development,2022-03-27,2022-03-27 08:00:00+00:00,2022-03-27 12:00:00+00:00,BULL,SHORT,False,2022-03-27 11:10:00+00:00,44545.33,44746.1,44509.9,236.1999999999971,False,,0,2022-03-27 11:30:00+00:00,44616.19,SHORT_PRE_E20_HARD_STOP_TOUCH,-1.1953695707271224,False,44616.19,44462.66
development,2022-03-28,2022-03-28 08:00:00+00:00,2022-03-28 12:00:00+00:00,BULL,LONG,True,2022-03-28 11:30:00+00:00,47325.7,47400.0,46755.2,644.8000000000029,False,,0,2022-03-28 12:00:00+00:00,47249.9,LONG_TIME_EXIT_4H_BOUNDARY,-1.2008333738327988,False,,
development,2022-03-29,2022-03-29 04:00:00+00:00,2022-03-29 08:00:00+00:00,BULL,LONG,True,2022-03-29 05:00:00+00:00,47579.2,47605.0,47042.5,562.5,True,2022-03-29 06:25:00+00:00,0,2022-03-29 06:30:00+00:00,47639.2,LONG_PROFIT_FLOOR_GAP_OPEN,0.2305276255170744,True,,
development,2022-03-30,2022-03-30 04:00:00+00:00,2022-03-30 08:00:00+00:00,BULL,LONG,True,2022-03-30 04:30:00+00:00,47315.4,47444.0,46535.0,909.0,False,,0,2022-03-30 08:00:00+00:00,47371.5,LONG_TIME_EXIT_4H_BOUNDARY,0.192830241316733,True,,
development,2022-03-31,2022-03-31 04:00:00+00:00,2022-03-31 08:00:00+00:00,BULL,SHORT,False,2022-03-31 06:15:00+00:00,47018.805,47408.7,46950.0,458.6999999999971,False,,0,2022-03-31 07:50:00+00:00,47156.415,SHORT_PRE_E20_HARD_STOP_TOUCH,-1.863350674267505,False,47156.415,46858.26
development,2022-04-07,2022-04-07 08:00:00+00:00,2022-04-07 12:00:00+00:00,BEAR,LONG,False,2022-04-07 09:00:00+00:00,43492.9,43523.0,43200.0,323.0,False,,0,2022-04-07 09:30:00+00:00,43307.7,LONG_PRE_E20_CLOSE_INVALIDATION_F35,-2.529083137707599,False,,
development,2022-04-09,2022-04-09 16:00:00+00:00,2022-04-09 20:00:00+00:00,BEAR,LONG,False,2022-04-09 17:10:00+00:00,42469.8,42509.1,42150.0,359.09999999999854,True,2022-04-09 17:30:00+00:00,0,2022-04-09 17:35:00+00:00,42547.0,LONG_PROFIT_FLOOR_GAP_OPEN,0.5088811343589409,True,,
development,2022-04-11,2022-04-11 00:00:00+00:00,2022-04-11 04:00:00+00:00,BEAR,SHORT,True,2022-04-11 03:10:00+00:00,42072.21,43399.4,41838.0,1561.4000000000015,False,,0,2022-04-11 04:00:00+00:00,42105.1,SHORT_TIME_EXIT_4H_BOUNDARY,-0.7908755922258367,False,42540.63,41525.72
development,2022-04-13,2022-04-13 12:00:00+00:00,2022-04-13 16:00:00+00:00,BEAR,SHORT,True,2022-04-13 12:40:00+00:00,39738.45,40200.0,39657.0,543.0,False,,0,2022-04-13 13:35:00+00:00,39901.35,SHORT_PRE_E20_HARD_STOP_TOUCH,-2.4496521630813946,False,39901.35,39548.4
development,2022-04-13,2022-04-13 16:00:00+00:00,2022-04-13 20:00:00+00:00,SIDEWAYS,LONG,False,2022-04-13 19:40:00+00:00,41178.7,41400.0,39600.6,1799.4000000000015,False,,0,2022-04-13 20:00:00+00:00,41041.4,LONG_TIME_EXIT_4H_BOUNDARY,-2.067124022856403,False,,
