partition,date_utc,signal_ts,structural_outcome,H,L,bars,first_close_break,first_close_break_ts,min_low,min_low_frac,min_close,min_close_frac,wick_L_before_target_close,close_L_before_target_close,wick_H_before_target_close,F50_first_touch_ts,F55_first_touch_ts,F60_first_touch_ts,F65_first_touch_ts,F70_first_touch_ts,F75_first_touch_ts,F80_first_touch_ts
development,2022-03-28,2022-03-28 13:35:00+00:00,TARGET_BREAK,47417.0,46834.8,1,HIGH,2022-03-28 13:40:00+00:00,47377.6,0.932325661284779,47525.9,1.1870491240123704,False,False,False,,,,,,,2022-03-28 16:20:00+00:00
development,2022-04-04,2022-04-04 14:15:00+00:00,OPPOSITE_BREAK,46280.0,45780.0,11,LOW,2022-04-04 15:10:00+00:00,45556.2,-0.4476000000000058,45674.3,-0.21139999999999418,False,False,False,2022-04-04 14:35:00+00:00,2022-04-04 14:30:00+00:00,2022-04-04 14:20:00+00:00,2022-04-04 14:15:00+00:00,2022-04-04 14:15:00+00:00,2022-04-04 14:15:00+00:00,
development,2022-04-18,2022-04-18 13:35:00+00:00,TARGET_BREAK,39489.0,38780.0,10,HIGH,2022-04-18 14:25:00+00:00,39217.8,0.6174894217207375,39301.9,0.7361071932299034,False,False,True,2022-04-18 15:25:00+00:00,2022-04-18 15:20:00+00:00,2022-04-18 15:20:00+00:00,2022-04-18 13:50:00+00:00,2022-04-18 13:45:00+00:00,2022-04-18 13:40:00+00:00,2022-04-18 13:35:00+00:00
development,2022-04-27,2022-04-27 13:35:00+00:00,TARGET_BREAK,39215.7,38614.3,2,HIGH,2022-04-27 13:45:00+00:00,39050.0,0.7244762221483227,39142.9,0.8789491187229858,False,False,True,2022-04-27 14:00:00+00:00,2022-04-27 14:00:00+00:00,2022-04-27 14:00:00+00:00,2022-04-27 14:00:00+00:00,2022-04-27 14:00:00+00:00,2022-04-27 13:35:00+00:00,2022-04-27 13:35:00+00:00
development,2022-05-10,2022-05-10 13:35:00+00:00,OPPOSITE_BREAK,32337.2,31231.0,15,LOW,2022-05-10 14:50:00+00:00,30950.0,-0.25402278069065254,30978.7,-0.2280781052250941,False,False,False,2022-05-10 13:35:00+00:00,2022-05-10 13:35:00+00:00,2022-05-10 13:35:00+00:00,2022-05-10 14:00:00+00:00,2022-05-10 14:05:00+00:00,2022-05-10 14:05:00+00:00,2022-05-10 14:05:00+00:00
development,2022-05-13,2022-05-13 13:55:00+00:00,TARGET_BREAK,30846.3,30160.6,7,HIGH,2022-05-13 14:30:00+00:00,30588.5,0.6240338340382106,30608.6,0.6533469447280145,False,False,True,2022-05-13 15:15:00+00:00,2022-05-13 15:15:00+00:00,2022-05-13 15:15:00+00:00,2022-05-13 14:15:00+00:00,2022-05-13 14:15:00+00:00,2022-05-13 14:15:00+00:00,2022-05-13 13:55:00+00:00
development,2022-05-19,2022-05-19 13:40:00+00:00,TARGET_BREAK,29737.2,28838.8,8,HIGH,2022-05-19 14:20:00+00:00,29345.0,0.5634461264470169,29413.8,0.640026714158503,False,False,True,,,2022-05-19 13:45:00+00:00,2022-05-19 13:45:00+00:00,2022-05-19 13:45:00+00:00,2022-05-19 13:40:00+00:00,2022-05-19 13:40:00+00:00
development,2022-05-25,2022-05-25 18:05:00+00:00,TARGET_BREAK,29949.2,29330.0,6,HIGH,2022-05-25 18:35:00+00:00,29521.7,0.3095930232558148,29755.0,0.6863695090439268,False,False,False,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00
development,2022-05-26,2022-05-26 16:20:00+00:00,NO_BREAK,29729.8,27952.1,44,,,29358.6,0.791190864600326,29374.8,0.800303763289644,False,False,False,,,,,,,2022-05-26 19:15:00+00:00
development,2022-06-01,2022-06-01 13:35:00+00:00,OPPOSITE_BREAK,31868.5,31427.5,9,LOW,2022-06-01 14:20:00+00:00,31395.0,-0.07369614512471655,31416.4,-0.025170068027207584,False,False,False,2022-06-01 13:45:00+00:00,2022-06-01 13:45:00+00:00,2022-06-01 13:35:00+00:00,2022-06-01 13:35:00+00:00,2022-06-01 13:35:00+00:00,2022-06-01 13:35:00+00:00,2022-06-01 13:35:00+00:00
development,2022-06-15,2022-06-15 13:55:00+00:00,TARGET_BREAK,21700.0,20100.2,58,HIGH,2022-06-15 18:45:00+00:00,20179.9,0.04981872734091809,20393.0,0.1830228778597321,False,False,True,2022-06-15 16:35:00+00:00,2022-06-15 16:30:00+00:00,2022-06-15 14:55:00+00:00,2022-06-15 14:50:00+00:00,2022-06-15 14:20:00+00:00,2022-06-15 14:15:00+00:00,2022-06-15 14:15:00+00:00
development,2022-06-20,2022-06-20 15:10:00+00:00,OPPOSITE_BREAK,21050.0,20010.0,34,LOW,2022-06-20 18:00:00+00:00,19954.5,-0.05336538461538461,19968.7,-0.039711538461537764,False,False,False,2022-06-20 16:15:00+00:00,2022-06-20 15:20:00+00:00,2022-06-20 15:20:00+00:00,2022-06-20 15:10:00+00:00,2022-06-20 15:10:00+00:00,2022-06-20 15:10:00+00:00,2022-06-20 15:10:00+00:00
development,2022-06-29,2022-06-29 19:55:00+00:00,NO_BREAK,20235.6,19817.2,1,,,20187.0,0.8838432122370966,20214.1,0.9486137667304012,False,False,False,,,,,,,
development,2022-07-06,2022-07-06 13:35:00+00:00,TARGET_BREAK,20295.0,19950.0,42,HIGH,2022-07-06 17:05:00+00:00,20028.9,0.22869565217391727,20082.2,0.38318840579710356,False,False,True,2022-07-06 13:35:00+00:00,2022-07-06 13:35:00+00:00,2022-07-06 13:35:00+00:00,2022-07-06 13:35:00+00:00,2022-07-06 13:35:00+00:00,2022-07-06 13:35:00+00:00,2022-07-06 13:35:00+00:00
development,2022-07-08,2022-07-08 14:50:00+00:00,TARGET_BREAK,21814.1,21175.2,5,HIGH,2022-07-08 15:15:00+00:00,21671.0,0.7760212865863217,21713.3,0.8422288308029432,False,False,True,,2022-07-08 16:40:00+00:00,2022-07-08 16:40:00+00:00,2022-07-08 16:40:00+00:00,2022-07-08 16:25:00+00:00,2022-07-08 16:25:00+00:00,2022-07-08 14:50:00+00:00
development,2022-07-11,2022-07-11 13:35:00+00:00,OPPOSITE_BREAK,20625.0,20405.8,3,LOW,2022-07-11 13:50:00+00:00,20309.8,-0.43795620437956057,20357.0,-0.22262773722627333,False,False,False,2022-07-11 13:35:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 13:35:00+00:00
development,2022-07-12,2022-07-12 13:35:00+00:00,TARGET_BREAK,19959.4,19552.4,37,HIGH,2022-07-12 16:40:00+00:00,19680.8,0.3154791154791101,19703.1,0.3702702702702631,False,False,True,2022-07-12 13:55:00+00:00,2022-07-12 13:55:00+00:00,2022-07-12 13:55:00+00:00,2022-07-12 13:55:00+00:00,2022-07-12 13:35:00+00:00,2022-07-12 13:35:00+00:00,2022-07-12 13:35:00+00:00
development,2022-07-14,2022-07-14 15:10:00+00:00,TARGET_BREAK,20047.0,19600.0,2,HIGH,2022-07-14 15:20:00+00:00,20018.0,0.9351230425055929,20026.4,0.9539149888143209,False,False,True,,,,,,,
development,2022-07-19,2022-07-19 13:35:00+00:00,TARGET_BREAK,22381.7,21686.3,15,HIGH,2022-07-19 14:50:00+00:00,22028.2,0.49165947656025416,22085.8,0.5744895024446349,False,False,False,2022-07-19 13:45:00+00:00,2022-07-19 13:45:00+00:00,2022-07-19 13:45:00+00:00,2022-07-19 13:45:00+00:00,2022-07-19 13:40:00+00:00,2022-07-19 13:40:00+00:00,2022-07-19 13:40:00+00:00
development,2022-07-20,2022-07-20 13:40:00+00:00,TARGET_BREAK,23975.7,23298.5,10,HIGH,2022-07-20 14:30:00+00:00,23677.0,0.5589190785587708,23766.2,0.6906379208505614,False,False,True,2022-07-20 16:40:00+00:00,2022-07-20 16:40:00+00:00,2022-07-20 14:05:00+00:00,2022-07-20 14:00:00+00:00,2022-07-20 13:55:00+00:00,2022-07-20 13:55:00+00:00,2022-07-20 13:50:00+00:00
development,2022-07-22,2022-07-22 13:55:00+00:00,OPPOSITE_BREAK,23690.0,23060.0,41,LOW,2022-07-22 17:20:00+00:00,23003.0,-0.09047619047619047,23023.3,-0.05825396825396941,False,False,False,2022-07-22 14:00:00+00:00,2022-07-22 14:00:00+00:00,2022-07-22 13:55:00+00:00,2022-07-22 13:55:00+00:00,2022-07-22 13:55:00+00:00,2022-07-22 13:55:00+00:00,2022-07-22 13:55:00+00:00
development,2022-07-28,2022-07-28 13:35:00+00:00,TARGET_BREAK,23210.2,22583.1,20,HIGH,2022-07-28 15:15:00+00:00,22731.1,0.2360070164248118,22811.1,0.3635783766544398,False,False,True,2022-07-28 13:45:00+00:00,2022-07-28 13:45:00+00:00,2022-07-28 13:40:00+00:00,2022-07-28 13:40:00+00:00,2022-07-28 13:40:00+00:00,2022-07-28 13:40:00+00:00,2022-07-28 13:40:00+00:00
development,2022-07-29,2022-07-29 14:25:00+00:00,TARGET_BREAK,24135.0,23426.3,3,HIGH,2022-07-29 14:40:00+00:00,24030.2,0.8521236066036416,24037.1,0.8618597431917576,False,False,True,2022-07-29 16:05:00+00:00,2022-07-29 16:00:00+00:00,2022-07-29 16:00:00+00:00,2022-07-29 15:25:00+00:00,2022-07-29 15:15:00+00:00,2022-07-29 15:00:00+00:00,2022-07-29 15:00:00+00:00
development,2022-08-22,2022-08-22 14:00:00+00:00,TARGET_BREAK,21334.8,20858.6,1,HIGH,2022-08-22 14:05:00+00:00,21266.0,0.8555228895422109,21347.8,1.0272994540109197,False,False,False,2022-08-22 18:30:00+00:00,2022-08-22 18:30:00+00:00,2022-08-22 18:10:00+00:00,2022-08-22 18:05:00+00:00,2022-08-22 14:20:00+00:00,2022-08-22 14:20:00+00:00,2022-08-22 14:15:00+00:00
development,2022-08-23,2022-08-23 13:40:00+00:00,TARGET_BREAK,21546.5,21279.0,5,HIGH,2022-08-23 14:05:00+00:00,21344.3,0.24411214953270757,21363.8,0.31700934579438983,False,False,False,2022-08-23 13:40:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 13:45:00+00:00,2022-08-23 13:50:00+00:00
development,2022-08-31,2022-08-31 13:50:00+00:00,OPPOSITE_BREAK,20410.0,20121.0,14,LOW,2022-08-31 15:00:00+00:00,20084.6,-0.12595155709343064,20097.0,-0.08304498269896193,False,False,False,2022-08-31 14:00:00+00:00,2022-08-31 14:00:00+00:00,2022-08-31 13:55:00+00:00,2022-08-31 13:55:00+00:00,2022-08-31 13:55:00+00:00,2022-08-31 13:55:00+00:00,2022-08-31 13:50:00+00:00
development,2022-09-02,2022-09-02 14:40:00+00:00,OPPOSITE_BREAK,20396.0,19978.0,33,LOW,2022-09-02 17:25:00+00:00,19868.0,-0.2631578947368421,19915.3,-0.15000000000000174,False,False,False,2022-09-02 16:35:00+00:00,2022-09-02 16:35:00+00:00,2022-09-02 16:30:00+00:00,2022-09-02 16:20:00+00:00,2022-09-02 16:20:00+00:00,2022-09-02 15:25:00+00:00,2022-09-02 15:20:00+00:00
development,2022-09-07,2022-09-07 13:35:00+00:00,TARGET_BREAK,18880.0,18663.6,1,HIGH,2022-09-07 13:40:00+00:00,18850.0,0.8613678373382634,18891.6,1.053604436229198,False,False,False,,,,2022-09-07 14:15:00+00:00,2022-09-07 14:00:00+00:00,2022-09-07 13:55:00+00:00,2022-09-07 13:50:00+00:00
development,2022-09-12,2022-09-12 13:45:00+00:00,NO_BREAK,22450.0,21961.1,75,,,22003.9,0.08754346492125749,22050.6,0.18306402127224328,False,False,False,2022-09-12 15:35:00+00:00,2022-09-12 15:00:00+00:00,2022-09-12 15:00:00+00:00,2022-09-12 15:00:00+00:00,2022-09-12 13:45:00+00:00,2022-09-12 13:45:00+00:00,2022-09-12 13:45:00+00:00
development,2022-09-19,2022-09-19 13:40:00+00:00,TARGET_BREAK,18863.2,18360.0,1,HIGH,2022-09-19 13:45:00+00:00,18825.4,0.9248807631160588,19033.5,1.3384340222575497,False,False,False,,,,,,,
development,2022-09-21,2022-09-21 13:35:00+00:00,TARGET_BREAK,19298.0,18811.4,3,HIGH,2022-09-21 13:50:00+00:00,19227.2,0.8545006165228124,19255.9,0.9134812988080586,False,False,True,2022-09-21 18:00:00+00:00,2022-09-21 15:20:00+00:00,2022-09-21 15:20:00+00:00,2022-09-21 15:05:00+00:00,2022-09-21 15:00:00+00:00,2022-09-21 15:00:00+00:00,2022-09-21 15:00:00+00:00
development,2022-09-28,2022-09-28 13:35:00+00:00,TARGET_BREAK,19175.0,18558.6,11,HIGH,2022-09-28 14:30:00+00:00,19023.6,0.7543802725502903,19035.0,0.7728747566515255,False,False,True,,,,,,,2022-09-28 13:40:00+00:00
development,2022-10-04,2022-10-04 14:05:00+00:00,TARGET_BREAK,20159.3,19805.4,1,HIGH,2022-10-04 14:10:00+00:00,20134.1,0.9287934444758381,20160.8,1.0042384854478668,False,False,False,2022-10-04 16:10:00+00:00,2022-10-04 16:10:00+00:00,2022-10-04 16:10:00+00:00,2022-10-04 14:30:00+00:00,2022-10-04 14:30:00+00:00,2022-10-04 14:20:00+00:00,2022-10-04 14:20:00+00:00
development,2022-10-13,2022-10-13 15:45:00+00:00,TARGET_BREAK,19036.6,17917.8,12,HIGH,2022-10-13 16:45:00+00:00,18880.0,0.8600286020736515,18896.4,0.874687164819452,False,False,False,,,,,,,
development,2022-10-17,2022-10-17 13:35:00+00:00,TARGET_BREAK,19588.0,19237.0,1,HIGH,2022-10-17 13:40:00+00:00,19566.2,0.93789173789174,19608.8,1.0592592592592571,False,False,False,,2022-10-17 15:15:00+00:00,2022-10-17 14:50:00+00:00,2022-10-17 14:50:00+00:00,2022-10-17 14:45:00+00:00,2022-10-17 14:45:00+00:00,2022-10-17 14:20:00+00:00
development,2022-10-18,2022-10-18 13:35:00+00:00,OPPOSITE_BREAK,19663.0,19457.5,12,LOW,2022-10-18 14:35:00+00:00,19369.0,-0.4306569343065693,19415.0,-0.20681265206812652,False,False,False,2022-10-18 13:40:00+00:00,2022-10-18 13:40:00+00:00,2022-10-18 13:40:00+00:00,2022-10-18 13:35:00+00:00,2022-10-18 13:35:00+00:00,2022-10-18 13:35:00+00:00,2022-10-18 13:35:00+00:00
development,2022-10-21,2022-10-21 13:55:00+00:00,TARGET_BREAK,19033.0,18600.0,1,HIGH,2022-10-21 14:00:00+00:00,19011.4,0.9501154734411119,19054.0,1.048498845265589,False,False,False,,,,,,,2022-10-21 14:35:00+00:00
development,2022-11-02,2022-11-02 17:00:00+00:00,TARGET_BREAK,20529.9,20323.0,13,HIGH,2022-11-02 18:05:00+00:00,20146.8,-0.8516191396810029,20405.0,0.39632672788786577,False,False,False,2022-11-02 17:50:00+00:00,2022-11-02 17:50:00+00:00,2022-11-02 17:30:00+00:00,2022-11-02 17:30:00+00:00,2022-11-02 17:00:00+00:00,2022-11-02 17:00:00+00:00,2022-11-02 17:00:00+00:00
development,2022-12-07,2022-12-07 13:40:00+00:00,TARGET_BREAK,16859.9,16655.0,11,HIGH,2022-12-07 14:35:00+00:00,16827.7,0.8428501708150293,16836.0,0.883357735480716,False,False,True,,,2022-12-07 16:40:00+00:00,2022-12-07 16:25:00+00:00,2022-12-07 16:20:00+00:00,2022-12-07 15:10:00+00:00,2022-12-07 14:45:00+00:00
development,2022-12-14,2022-12-14 14:35:00+00:00,TARGET_BREAK,17964.3,17784.0,1,HIGH,2022-12-14 14:40:00+00:00,17946.9,0.9034941763727239,18034.1,1.3871325568496924,False,False,False,2022-12-14 18:55:00+00:00,2022-12-14 18:55:00+00:00,2022-12-14 18:55:00+00:00,2022-12-14 18:55:00+00:00,2022-12-14 18:55:00+00:00,2022-12-14 18:55:00+00:00,2022-12-14 18:55:00+00:00
development,2022-12-21,2022-12-21 14:50:00+00:00,OPPOSITE_BREAK,16889.2,16788.0,3,LOW,2022-12-21 15:05:00+00:00,16694.2,-0.9268774703557173,16787.4,-0.0059288537549262894,False,False,False,2022-12-21 14:50:00+00:00,2022-12-21 14:50:00+00:00,2022-12-21 14:50:00+00:00,2022-12-21 14:50:00+00:00,2022-12-21 14:50:00+00:00,2022-12-21 14:50:00+00:00,2022-12-21 14:50:00+00:00
development,2022-12-29,2022-12-29 13:35:00+00:00,TARGET_BREAK,16638.6,16514.6,13,HIGH,2022-12-29 14:40:00+00:00,16595.0,0.6483870967742053,16600.0,0.6887096774193666,False,False,True,,,2022-12-29 19:50:00+00:00,2022-12-29 14:05:00+00:00,2022-12-29 14:05:00+00:00,2022-12-29 14:00:00+00:00,2022-12-29 13:55:00+00:00
development,2023-01-03,2023-01-03 14:35:00+00:00,OPPOSITE_BREAK,16750.5,16691.7,5,LOW,2023-01-03 15:00:00+00:00,16633.0,-0.9982993197279159,16653.1,-0.6564625850340589,False,False,False,2023-01-03 14:45:00+00:00,2023-01-03 14:45:00+00:00,2023-01-03 14:35:00+00:00,2023-01-03 14:35:00+00:00,2023-01-03 14:35:00+00:00,2023-01-03 14:35:00+00:00,2023-01-03 14:35:00+00:00
development,2023-01-09,2023-01-09 13:45:00+00:00,TARGET_BREAK,17277.7,17180.0,25,HIGH,2023-01-09 15:50:00+00:00,17181.9,0.019447287615163164,17204.9,0.2548618219038001,False,False,True,2023-01-09 13:45:00+00:00,2023-01-09 13:45:00+00:00,2023-01-09 13:45:00+00:00,2023-01-09 13:45:00+00:00,2023-01-09 13:45:00+00:00,2023-01-09 13:45:00+00:00,2023-01-09 13:45:00+00:00
development,2023-01-13,2023-01-13 14:55:00+00:00,TARGET_BREAK,19050.0,18801.4,2,HIGH,2023-01-13 15:05:00+00:00,18981.8,0.7256637168141548,18990.1,0.7590506838294376,False,False,True,,,,,,2023-01-13 14:55:00+00:00,2023-01-13 14:55:00+00:00
development,2023-01-18,2023-01-18 13:35:00+00:00,TARGET_BREAK,21318.1,21132.1,3,HIGH,2023-01-18 13:50:00+00:00,21235.0,0.5532258064516207,21285.5,0.8247311827957068,False,False,True,2023-01-18 15:45:00+00:00,2023-01-18 15:45:00+00:00,2023-01-18 13:35:00+00:00,2023-01-18 13:35:00+00:00,2023-01-18 13:35:00+00:00,2023-01-18 13:35:00+00:00,2023-01-18 13:35:00+00:00
