partition,date_utc,signal_ts,regime_at_signal,regime_bar_start,regime_available_ts,source
external,2021-09-03,2021-09-03 14:20:00+00:00,BULL,2021-09-03 08:00:00+00:00,2021-09-03 12:00:00+00:00,K1
external,2021-09-14,2021-09-14 13:35:00+00:00,SIDEWAYS,2021-09-14 08:00:00+00:00,2021-09-14 12:00:00+00:00,K1
external,2021-09-15,2021-09-15 14:15:00+00:00,BULL,2021-09-15 08:00:00+00:00,2021-09-15 12:00:00+00:00,K1
external,2021-10-01,2021-10-01 17:05:00+00:00,BULL,2021-10-01 12:00:00+00:00,2021-10-01 16:00:00+00:00,K1
external,2021-10-05,2021-10-05 19:20:00+00:00,BULL,2021-10-05 12:00:00+00:00,2021-10-05 16:00:00+00:00,K1
external,2021-10-06,2021-10-06 13:50:00+00:00,SIDEWAYS,2021-10-06 08:00:00+00:00,2021-10-06 12:00:00+00:00,K1
external,2021-10-14,2021-10-14 13:35:00+00:00,BULL,2021-10-14 08:00:00+00:00,2021-10-14 12:00:00+00:00,K1
external,2021-10-25,2021-10-25 14:05:00+00:00,BULL,2021-10-25 08:00:00+00:00,2021-10-25 12:00:00+00:00,K1
external,2021-10-28,2021-10-28 13:35:00+00:00,SIDEWAYS,2021-10-28 08:00:00+00:00,2021-10-28 12:00:00+00:00,K1
external,2021-11-16,2021-11-16 14:50:00+00:00,BEAR,2021-11-16 08:00:00+00:00,2021-11-16 12:00:00+00:00,K1
external,2021-11-17,2021-11-17 19:05:00+00:00,BEAR,2021-11-17 12:00:00+00:00,2021-11-17 16:00:00+00:00,K1
external,2021-11-25,2021-11-25 13:35:00+00:00,BULL,2021-11-25 08:00:00+00:00,2021-11-25 12:00:00+00:00,K1
external,2021-11-29,2021-11-29 13:45:00+00:00,BULL,2021-11-29 08:00:00+00:00,2021-11-29 12:00:00+00:00,K1
external,2021-11-30,2021-11-30 13:50:00+00:00,BULL,2021-11-30 08:00:00+00:00,2021-11-30 12:00:00+00:00,K1
external,2021-12-10,2021-12-10 13:35:00+00:00,BEAR,2021-12-10 08:00:00+00:00,2021-12-10 12:00:00+00:00,K1
external,2021-12-16,2021-12-16 13:55:00+00:00,BULL,2021-12-16 08:00:00+00:00,2021-12-16 12:00:00+00:00,K1
external,2021-12-23,2021-12-23 16:10:00+00:00,BEAR,2021-12-23 12:00:00+00:00,2021-12-23 16:00:00+00:00,K1
external,2021-12-27,2021-12-27 13:35:00+00:00,BULL,2021-12-27 08:00:00+00:00,2021-12-27 12:00:00+00:00,K1
development,2022-01-03,2022-01-03 14:40:00+00:00,BULL,2022-01-03 08:00:00+00:00,2022-01-03 12:00:00+00:00,K1
development,2022-01-06,2022-01-06 18:50:00+00:00,BEAR,2022-01-06 12:00:00+00:00,2022-01-06 16:00:00+00:00,K1
development,2022-01-19,2022-01-19 14:35:00+00:00,BEAR,2022-01-19 08:00:00+00:00,2022-01-19 12:00:00+00:00,K1
development,2022-01-25,2022-01-25 14:40:00+00:00,BEAR,2022-01-25 08:00:00+00:00,2022-01-25 12:00:00+00:00,K1
development,2022-01-26,2022-01-26 13:35:00+00:00,SIDEWAYS,2022-01-26 08:00:00+00:00,2022-01-26 12:00:00+00:00,K1
development,2022-02-01,2022-02-01 13:45:00+00:00,BULL,2022-02-01 08:00:00+00:00,2022-02-01 12:00:00+00:00,K1
development,2022-02-09,2022-02-09 14:45:00+00:00,BULL,2022-02-09 08:00:00+00:00,2022-02-09 12:00:00+00:00,K1
development,2022-02-14,2022-02-14 13:35:00+00:00,BEAR,2022-02-14 08:00:00+00:00,2022-02-14 12:00:00+00:00,K1
development,2022-02-22,2022-02-22 14:00:00+00:00,BEAR,2022-02-22 08:00:00+00:00,2022-02-22 12:00:00+00:00,K1
development,2022-02-24,2022-02-24 14:35:00+00:00,BEAR,2022-02-24 08:00:00+00:00,2022-02-24 12:00:00+00:00,K1
development,2022-03-03,2022-03-03 14:05:00+00:00,BULL,2022-03-03 08:00:00+00:00,2022-03-03 12:00:00+00:00,K1
development,2022-03-16,2022-03-16 14:20:00+00:00,BULL,2022-03-16 08:00:00+00:00,2022-03-16 12:00:00+00:00,K1
development,2022-03-17,2022-03-17 14:00:00+00:00,BULL,2022-03-17 08:00:00+00:00,2022-03-17 12:00:00+00:00,K1
development,2022-03-21,2022-03-21 13:45:00+00:00,BULL,2022-03-21 08:00:00+00:00,2022-03-21 12:00:00+00:00,K1
development,2022-03-22,2022-03-22 14:40:00+00:00,BULL,2022-03-22 08:00:00+00:00,2022-03-22 12:00:00+00:00,K1
development,2022-04-13,2022-04-13 13:50:00+00:00,BEAR,2022-04-13 08:00:00+00:00,2022-04-13 12:00:00+00:00,K1
development,2022-04-18,2022-04-18 13:35:00+00:00,BEAR,2022-04-18 08:00:00+00:00,2022-04-18 12:00:00+00:00,K1
development,2022-05-13,2022-05-13 14:05:00+00:00,BEAR,2022-05-13 08:00:00+00:00,2022-05-13 12:00:00+00:00,K1
development,2022-05-19,2022-05-19 13:40:00+00:00,BEAR,2022-05-19 08:00:00+00:00,2022-05-19 12:00:00+00:00,K1
development,2022-05-25,2022-05-25 13:40:00+00:00,BEAR,2022-05-25 08:00:00+00:00,2022-05-25 12:00:00+00:00,K1
development,2022-05-30,2022-05-30 14:15:00+00:00,BULL,2022-05-30 08:00:00+00:00,2022-05-30 12:00:00+00:00,K1
development,2022-06-01,2022-06-01 13:35:00+00:00,BULL,2022-06-01 08:00:00+00:00,2022-06-01 12:00:00+00:00,K1
development,2022-06-07,2022-06-07 14:35:00+00:00,BEAR,2022-06-07 08:00:00+00:00,2022-06-07 12:00:00+00:00,K1
development,2022-06-15,2022-06-15 13:50:00+00:00,BEAR,2022-06-15 08:00:00+00:00,2022-06-15 12:00:00+00:00,K1
development,2022-06-21,2022-06-21 13:50:00+00:00,BULL,2022-06-21 08:00:00+00:00,2022-06-21 12:00:00+00:00,K1
development,2022-06-24,2022-06-24 19:45:00+00:00,BULL,2022-06-24 12:00:00+00:00,2022-06-24 16:00:00+00:00,K1
development,2022-06-28,2022-06-28 13:35:00+00:00,BULL,2022-06-28 08:00:00+00:00,2022-06-28 12:00:00+00:00,K1
development,2022-07-06,2022-07-06 18:35:00+00:00,BULL,2022-07-06 12:00:00+00:00,2022-07-06 16:00:00+00:00,K1
development,2022-07-07,2022-07-07 13:40:00+00:00,BULL,2022-07-07 08:00:00+00:00,2022-07-07 12:00:00+00:00,K1
development,2022-07-11,2022-07-11 13:35:00+00:00,BEAR,2022-07-11 08:00:00+00:00,2022-07-11 12:00:00+00:00,K1
development,2022-07-12,2022-07-12 13:35:00+00:00,BEAR,2022-07-12 08:00:00+00:00,2022-07-12 12:00:00+00:00,K1
development,2022-07-14,2022-07-14 15:00:00+00:00,BEAR,2022-07-14 08:00:00+00:00,2022-07-14 12:00:00+00:00,K1
development,2022-07-15,2022-07-15 14:30:00+00:00,BULL,2022-07-15 08:00:00+00:00,2022-07-15 12:00:00+00:00,K1
development,2022-07-19,2022-07-19 13:35:00+00:00,BULL,2022-07-19 08:00:00+00:00,2022-07-19 12:00:00+00:00,K1
development,2022-07-20,2022-07-20 13:40:00+00:00,BULL,2022-07-20 08:00:00+00:00,2022-07-20 12:00:00+00:00,K1
development,2022-07-28,2022-07-28 13:35:00+00:00,BULL,2022-07-28 08:00:00+00:00,2022-07-28 12:00:00+00:00,K1
development,2022-07-29,2022-07-29 14:15:00+00:00,BULL,2022-07-29 08:00:00+00:00,2022-07-29 12:00:00+00:00,K1
development,2022-08-10,2022-08-10 14:50:00+00:00,BEAR,2022-08-10 08:00:00+00:00,2022-08-10 12:00:00+00:00,K1
development,2022-08-12,2022-08-12 15:35:00+00:00,BULL,2022-08-12 08:00:00+00:00,2022-08-12 12:00:00+00:00,K1
development,2022-08-22,2022-08-22 14:10:00+00:00,BEAR,2022-08-22 08:00:00+00:00,2022-08-22 12:00:00+00:00,K1
development,2022-08-23,2022-08-23 13:40:00+00:00,BEAR,2022-08-23 08:00:00+00:00,2022-08-23 12:00:00+00:00,K1
development,2022-08-24,2022-08-24 14:30:00+00:00,BULL,2022-08-24 08:00:00+00:00,2022-08-24 12:00:00+00:00,K1
development,2022-08-25,2022-08-25 14:35:00+00:00,BULL,2022-08-25 08:00:00+00:00,2022-08-25 12:00:00+00:00,K1
development,2022-08-29,2022-08-29 13:40:00+00:00,BEAR,2022-08-29 08:00:00+00:00,2022-08-29 12:00:00+00:00,K1
development,2022-09-02,2022-09-02 14:40:00+00:00,BULL,2022-09-02 08:00:00+00:00,2022-09-02 12:00:00+00:00,K1
development,2022-09-05,2022-09-05 14:15:00+00:00,BULL,2022-09-05 08:00:00+00:00,2022-09-05 12:00:00+00:00,K1
development,2022-09-08,2022-09-08 13:45:00+00:00,BULL,2022-09-08 08:00:00+00:00,2022-09-08 12:00:00+00:00,K1
development,2022-09-20,2022-09-20 15:10:00+00:00,BEAR,2022-09-20 08:00:00+00:00,2022-09-20 12:00:00+00:00,K1
development,2022-09-26,2022-09-26 13:40:00+00:00,BEAR,2022-09-26 08:00:00+00:00,2022-09-26 12:00:00+00:00,K1
development,2022-09-28,2022-09-28 13:35:00+00:00,BEAR,2022-09-28 08:00:00+00:00,2022-09-28 12:00:00+00:00,K1
development,2022-09-30,2022-09-30 14:40:00+00:00,BULL,2022-09-30 08:00:00+00:00,2022-09-30 12:00:00+00:00,K1
development,2022-10-04,2022-10-04 14:05:00+00:00,BULL,2022-10-04 08:00:00+00:00,2022-10-04 12:00:00+00:00,K1
development,2022-10-06,2022-10-06 13:45:00+00:00,BULL,2022-10-06 08:00:00+00:00,2022-10-06 12:00:00+00:00,K1
development,2022-10-13,2022-10-13 18:50:00+00:00,BEAR,2022-10-13 12:00:00+00:00,2022-10-13 16:00:00+00:00,K1
development,2022-10-17,2022-10-17 13:35:00+00:00,BULL,2022-10-17 08:00:00+00:00,2022-10-17 12:00:00+00:00,K1
development,2022-11-22,2022-11-22 13:35:00+00:00,BEAR,2022-11-22 08:00:00+00:00,2022-11-22 12:00:00+00:00,K1
development,2022-11-30,2022-11-30 16:45:00+00:00,BULL,2022-11-30 12:00:00+00:00,2022-11-30 16:00:00+00:00,K1
development,2022-12-07,2022-12-07 13:35:00+00:00,BEAR,2022-12-07 08:00:00+00:00,2022-12-07 12:00:00+00:00,K1
development,2022-12-08,2022-12-08 14:05:00+00:00,BEAR,2022-12-08 08:00:00+00:00,2022-12-08 12:00:00+00:00,K1
development,2022-12-21,2022-12-21 14:50:00+00:00,BULL,2022-12-21 08:00:00+00:00,2022-12-21 12:00:00+00:00,K1
development,2022-12-29,2022-12-29 13:35:00+00:00,BEAR,2022-12-29 08:00:00+00:00,2022-12-29 12:00:00+00:00,K1
development,2023-01-03,2023-01-03 14:35:00+00:00,BULL,2023-01-03 08:00:00+00:00,2023-01-03 12:00:00+00:00,K1
development,2023-01-09,2023-01-09 15:00:00+00:00,BULL,2023-01-09 08:00:00+00:00,2023-01-09 12:00:00+00:00,K1
development,2023-01-10,2023-01-10 14:10:00+00:00,BULL,2023-01-10 08:00:00+00:00,2023-01-10 12:00:00+00:00,K1
development,2023-01-18,2023-01-18 13:35:00+00:00,BULL,2023-01-18 08:00:00+00:00,2023-01-18 12:00:00+00:00,K1
development,2023-01-20,2023-01-20 14:45:00+00:00,BULL,2023-01-20 08:00:00+00:00,2023-01-20 12:00:00+00:00,K1
development,2023-01-26,2023-01-26 14:05:00+00:00,SIDEWAYS,2023-01-26 08:00:00+00:00,2023-01-26 12:00:00+00:00,K1
development,2023-01-31,2023-01-31 13:35:00+00:00,BEAR,2023-01-31 08:00:00+00:00,2023-01-31 12:00:00+00:00,K1
development,2023-02-09,2023-02-09 14:30:00+00:00,BEAR,2023-02-09 08:00:00+00:00,2023-02-09 12:00:00+00:00,K1
development,2023-02-15,2023-02-15 18:50:00+00:00,BULL,2023-02-15 12:00:00+00:00,2023-02-15 16:00:00+00:00,K1
development,2023-02-28,2023-02-28 14:45:00+00:00,BULL,2023-02-28 08:00:00+00:00,2023-02-28 12:00:00+00:00,K1
development,2023-03-09,2023-03-09 13:55:00+00:00,BEAR,2023-03-09 08:00:00+00:00,2023-03-09 12:00:00+00:00,K1
development,2023-03-10,2023-03-10 13:35:00+00:00,BEAR,2023-03-10 08:00:00+00:00,2023-03-10 12:00:00+00:00,K1
development,2023-03-14,2023-03-14 15:00:00+00:00,BULL,2023-03-14 08:00:00+00:00,2023-03-14 12:00:00+00:00,K1
development,2023-03-21,2023-03-21 13:35:00+00:00,SIDEWAYS,2023-03-21 08:00:00+00:00,2023-03-21 12:00:00+00:00,K1
development,2023-03-22,2023-03-22 13:35:00+00:00,BULL,2023-03-22 08:00:00+00:00,2023-03-22 12:00:00+00:00,K1
development,2023-04-12,2023-04-12 14:10:00+00:00,SIDEWAYS,2023-04-12 08:00:00+00:00,2023-04-12 12:00:00+00:00,K1
development,2023-04-13,2023-04-13 17:10:00+00:00,BULL,2023-04-13 12:00:00+00:00,2023-04-13 16:00:00+00:00,K1
development,2023-04-20,2023-04-20 13:55:00+00:00,BEAR,2023-04-20 08:00:00+00:00,2023-04-20 12:00:00+00:00,K1
development,2023-04-24,2023-04-24 13:35:00+00:00,BEAR,2023-04-24 08:00:00+00:00,2023-04-24 12:00:00+00:00,K1
development,2023-04-25,2023-04-25 13:35:00+00:00,BEAR,2023-04-25 08:00:00+00:00,2023-04-25 12:00:00+00:00,K1
development,2023-04-27,2023-04-27 14:05:00+00:00,BULL,2023-04-27 08:00:00+00:00,2023-04-27 12:00:00+00:00,K1
development,2023-05-03,2023-05-03 17:30:00+00:00,BEAR,2023-05-03 12:00:00+00:00,2023-05-03 16:00:00+00:00,K1
development,2023-05-08,2023-05-08 15:05:00+00:00,BEAR,2023-05-08 08:00:00+00:00,2023-05-08 12:00:00+00:00,K1
