partition,date_utc,signal_ts,variant,H,L,range,F75,F15,E10,touch_bar_start,frozen_h2_bar_start,confirmation_status,confirmation_kind,confirmation_bar_start,confirmation_ts,entry_executed,entry_ts,entry_px,entry_fraction,exit_ts,exit_px,exit_reason,net_pnl_usd,hold_minutes,h2_before_exit
development,2022-02-22,2022-02-22 14:00:00+00:00,EARLY_RECLAIM,2622.62,2512.67,109.94999999999982,2595.1324999999997,2529.1625,2633.615,2022-02-22 14:10:00+00:00,2022-02-22 14:45:00+00:00,CONFIRMED,LATER_RECLAIM,2022-02-22 14:40:00+00:00,2022-02-22 14:45:00+00:00,True,2022-02-22 14:45:00+00:00,2606.98,0.8577535243292415,2022-02-22 14:50:00+00:00,2633.615,TP_E10,4.708401291916253,5.0,True
development,2022-02-22,2022-02-22 14:00:00+00:00,SAME_BAR_REJECTION,2622.62,2512.67,109.94999999999982,2595.1324999999997,2529.1625,2633.615,2022-02-22 14:10:00+00:00,2022-02-22 14:45:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-03-03,2022-03-03 14:05:00+00:00,EARLY_RECLAIM,2934.48,2877.35,57.13000000000011,2920.1975,2885.9195,2940.193,2022-03-03 14:10:00+00:00,,CONFIRMED,SAME_BAR,2022-03-03 14:10:00+00:00,2022-03-03 14:15:00+00:00,True,2022-03-03 14:15:00+00:00,2922.69,0.7936285664274472,2022-03-03 14:50:00+00:00,2883.28,CLOSE_INVALIDATION_F15,-7.142076648566853,35.0,False
development,2022-03-03,2022-03-03 14:05:00+00:00,SAME_BAR_REJECTION,2934.48,2877.35,57.13000000000011,2920.1975,2885.9195,2940.193,2022-03-03 14:10:00+00:00,,CONFIRMED,SAME_BAR,2022-03-03 14:10:00+00:00,2022-03-03 14:15:00+00:00,True,2022-03-03 14:15:00+00:00,2922.69,0.7936285664274472,2022-03-03 14:50:00+00:00,2883.28,CLOSE_INVALIDATION_F15,-7.142076648566853,35.0,False
development,2022-03-21,2022-03-21 13:45:00+00:00,EARLY_RECLAIM,2938.5,2873.0,65.5,2922.125,2882.825,2945.05,2022-03-21 13:50:00+00:00,2022-03-21 15:15:00+00:00,CONFIRMED,LATER_RECLAIM,2022-03-21 14:55:00+00:00,2022-03-21 15:00:00+00:00,True,2022-03-21 15:00:00+00:00,2923.5,0.7709923664122137,2022-03-21 15:15:00+00:00,2945.05,TP_E10,3.2856507610740775,15.0,True
development,2022-03-21,2022-03-21 13:45:00+00:00,SAME_BAR_REJECTION,2938.5,2873.0,65.5,2922.125,2882.825,2945.05,2022-03-21 13:50:00+00:00,2022-03-21 15:15:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-03-22,2022-03-22 14:40:00+00:00,EARLY_RECLAIM,3027.92,2984.71,43.210000000000036,3017.1175000000003,2991.1915,3032.241,2022-03-22 15:15:00+00:00,,CONFIRMED,SAME_BAR,2022-03-22 15:15:00+00:00,2022-03-22 15:20:00+00:00,True,2022-03-22 15:20:00+00:00,3017.13,0.7502892848877585,2022-03-22 20:00:00+00:00,2982.71,CLOSE_INVALIDATION_F15,-6.10409627692542,280.0,False
development,2022-03-22,2022-03-22 14:40:00+00:00,SAME_BAR_REJECTION,3027.92,2984.71,43.210000000000036,3017.1175000000003,2991.1915,3032.241,2022-03-22 15:15:00+00:00,,CONFIRMED,SAME_BAR,2022-03-22 15:15:00+00:00,2022-03-22 15:20:00+00:00,True,2022-03-22 15:20:00+00:00,3017.13,0.7502892848877585,2022-03-22 20:00:00+00:00,2982.71,CLOSE_INVALIDATION_F15,-6.10409627692542,280.0,False
development,2022-04-18,2022-04-18 13:35:00+00:00,EARLY_RECLAIM,2947.0,2887.0,60.0,2932.0,2896.0,2953.0,2022-04-18 13:40:00+00:00,2022-04-18 17:10:00+00:00,CONFIRMED,LATER_RECLAIM,2022-04-18 14:10:00+00:00,2022-04-18 14:15:00+00:00,True,2022-04-18 14:15:00+00:00,2934.77,0.7961666666666664,2022-04-18 17:10:00+00:00,2953.0,TP_E10,2.705865195568991,175.0,True
development,2022-04-18,2022-04-18 13:35:00+00:00,SAME_BAR_REJECTION,2947.0,2887.0,60.0,2932.0,2896.0,2953.0,2022-04-18 13:40:00+00:00,2022-04-18 17:10:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-05-19,2022-05-19 13:40:00+00:00,EARLY_RECLAIM,1985.99,1912.39,73.59999999999991,1967.5900000000001,1923.43,1993.35,2022-05-19 13:45:00+00:00,2022-05-19 14:20:00+00:00,CONFIRMED,LATER_RECLAIM,2022-05-19 14:00:00+00:00,2022-05-19 14:05:00+00:00,True,2022-05-19 14:05:00+00:00,1969.78,0.7797554347826079,2022-05-19 15:15:00+00:00,1993.35,TP_E10,5.582901643838412,70.0,True
development,2022-05-19,2022-05-19 13:40:00+00:00,SAME_BAR_REJECTION,1985.99,1912.39,73.59999999999991,1967.5900000000001,1923.43,1993.35,2022-05-19 13:45:00+00:00,2022-05-19 14:20:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-06-01,2022-06-01 13:35:00+00:00,EARLY_RECLAIM,1967.86,1924.0,43.8599999999999,1956.895,1930.579,1972.2459999999999,2022-06-01 13:45:00+00:00,,CONFIRMED,LATER_RECLAIM,2022-06-01 13:50:00+00:00,2022-06-01 13:55:00+00:00,True,2022-06-01 13:55:00+00:00,1958.9,0.7957136342909296,2022-06-01 14:20:00+00:00,1927.6,CLOSE_INVALIDATION_F15,-8.389177599673324,25.0,False
development,2022-06-01,2022-06-01 13:35:00+00:00,SAME_BAR_REJECTION,1967.86,1924.0,43.8599999999999,1956.895,1930.579,1972.2459999999999,2022-06-01 13:45:00+00:00,,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-06-28,2022-06-28 13:35:00+00:00,EARLY_RECLAIM,1234.0,1203.32,30.680000000000064,1226.33,1207.922,1237.068,2022-06-28 13:45:00+00:00,,CONFIRMED,SAME_BAR,2022-06-28 13:45:00+00:00,2022-06-28 13:50:00+00:00,True,2022-06-28 13:50:00+00:00,1228.94,0.835071707953066,2022-06-28 14:35:00+00:00,1200.87,CLOSE_INVALIDATION_F15,-11.820411085976579,45.0,False
development,2022-06-28,2022-06-28 13:35:00+00:00,SAME_BAR_REJECTION,1234.0,1203.32,30.680000000000064,1226.33,1207.922,1237.068,2022-06-28 13:45:00+00:00,,CONFIRMED,SAME_BAR,2022-06-28 13:45:00+00:00,2022-06-28 13:50:00+00:00,True,2022-06-28 13:50:00+00:00,1228.94,0.835071707953066,2022-06-28 14:35:00+00:00,1200.87,CLOSE_INVALIDATION_F15,-11.820411085976579,45.0,False
development,2022-07-15,2022-07-15 14:30:00+00:00,EARLY_RECLAIM,1235.35,1202.75,32.59999999999991,1227.1999999999998,1207.6399999999999,1238.61,2022-07-15 14:40:00+00:00,2022-07-15 15:05:00+00:00,CONFIRMED,LATER_RECLAIM,2022-07-15 15:00:00+00:00,2022-07-15 15:05:00+00:00,True,2022-07-15 15:05:00+00:00,1230.53,0.8521472392638052,2022-07-15 16:25:00+00:00,1205.78,CLOSE_INVALIDATION_F15,-10.456642259839265,80.0,True
development,2022-07-15,2022-07-15 14:30:00+00:00,SAME_BAR_REJECTION,1235.35,1202.75,32.59999999999991,1227.1999999999998,1207.6399999999999,1238.61,2022-07-15 14:40:00+00:00,2022-07-15 15:05:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-07-19,2022-07-19 13:35:00+00:00,EARLY_RECLAIM,1574.53,1505.2,69.32999999999993,1557.1975,1515.5995,1581.463,2022-07-19 13:40:00+00:00,2022-07-19 16:25:00+00:00,CONFIRMED,LATER_RECLAIM,2022-07-19 13:55:00+00:00,2022-07-19 14:00:00+00:00,True,2022-07-19 14:00:00+00:00,1558.76,0.772537141208712,2022-07-19 16:30:00+00:00,1581.463,TP_E10,6.882391131412158,150.0,True
development,2022-07-19,2022-07-19 13:35:00+00:00,SAME_BAR_REJECTION,1574.53,1505.2,69.32999999999993,1557.1975,1515.5995,1581.463,2022-07-19 13:40:00+00:00,2022-07-19 16:25:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-07-20,2022-07-20 13:40:00+00:00,EARLY_RECLAIM,1616.0,1525.59,90.41000000000008,1593.3975,1539.1515,1625.041,2022-07-20 13:50:00+00:00,,CONFIRMED,LATER_RECLAIM,2022-07-20 14:05:00+00:00,2022-07-20 14:10:00+00:00,True,2022-07-20 14:10:00+00:00,1598.1,0.8020130516535773,2022-07-20 20:00:00+00:00,1551.0,TIME_EXIT_SESSION_END,-15.136249296039006,350.0,False
development,2022-07-20,2022-07-20 13:40:00+00:00,SAME_BAR_REJECTION,1616.0,1525.59,90.41000000000008,1593.3975,1539.1515,1625.041,2022-07-20 13:50:00+00:00,,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-07-28,2022-07-28 13:35:00+00:00,EARLY_RECLAIM,1659.0,1595.0,64.0,1643.0,1604.6,1665.4,2022-07-28 14:45:00+00:00,2022-07-28 15:15:00+00:00,CONFIRMED,SAME_BAR,2022-07-28 14:45:00+00:00,2022-07-28 14:50:00+00:00,True,2022-07-28 14:50:00+00:00,1647.84,0.8256249999999987,2022-07-28 15:20:00+00:00,1665.4,TP_E10,4.9281872026410545,30.0,True
development,2022-07-28,2022-07-28 13:35:00+00:00,SAME_BAR_REJECTION,1659.0,1595.0,64.0,1643.0,1604.6,1665.4,2022-07-28 14:45:00+00:00,2022-07-28 15:15:00+00:00,CONFIRMED,SAME_BAR,2022-07-28 14:45:00+00:00,2022-07-28 14:50:00+00:00,True,2022-07-28 14:50:00+00:00,1647.84,0.8256249999999987,2022-07-28 15:20:00+00:00,1665.4,TP_E10,4.9281872026410545,30.0,True
development,2022-08-22,2022-08-22 14:10:00+00:00,EARLY_RECLAIM,1580.0,1528.0,52.0,1567.0,1535.8,1585.2,2022-08-22 14:15:00+00:00,2022-08-22 15:40:00+00:00,CONFIRMED,LATER_RECLAIM,2022-08-22 14:35:00+00:00,2022-08-22 14:40:00+00:00,True,2022-08-22 14:40:00+00:00,1570.52,0.8176923076923074,2022-08-22 15:40:00+00:00,1585.2,TP_E10,4.2736112879810495,60.0,True
development,2022-08-22,2022-08-22 14:10:00+00:00,SAME_BAR_REJECTION,1580.0,1528.0,52.0,1567.0,1535.8,1585.2,2022-08-22 14:15:00+00:00,2022-08-22 15:40:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-08-24,2022-08-24 14:30:00+00:00,EARLY_RECLAIM,1660.25,1625.18,35.069999999999936,1651.4825,1630.4405000000002,1663.757,2022-08-24 14:35:00+00:00,2022-08-24 15:15:00+00:00,CONFIRMED,LATER_RECLAIM,2022-08-24 15:05:00+00:00,2022-08-24 15:10:00+00:00,True,2022-08-24 15:10:00+00:00,1653.13,0.7969774736241829,2022-08-24 15:20:00+00:00,1663.757,TP_E10,2.8142057793397295,10.0,True
development,2022-08-24,2022-08-24 14:30:00+00:00,SAME_BAR_REJECTION,1660.25,1625.18,35.069999999999936,1651.4825,1630.4405000000002,1663.757,2022-08-24 14:35:00+00:00,2022-08-24 15:15:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-09-02,2022-09-02 14:40:00+00:00,EARLY_RECLAIM,1644.8,1581.33,63.47000000000003,1628.9325,1590.8505,1651.147,2022-09-02 15:40:00+00:00,,CONFIRMED,SAME_BAR,2022-09-02 15:40:00+00:00,2022-09-02 15:45:00+00:00,True,2022-09-02 15:45:00+00:00,1630.65,0.7770600283598573,2022-09-02 17:50:00+00:00,1586.18,CLOSE_INVALIDATION_F15,-14.03566675865452,125.0,False
development,2022-09-02,2022-09-02 14:40:00+00:00,SAME_BAR_REJECTION,1644.8,1581.33,63.47000000000003,1628.9325,1590.8505,1651.147,2022-09-02 15:40:00+00:00,,CONFIRMED,SAME_BAR,2022-09-02 15:40:00+00:00,2022-09-02 15:45:00+00:00,True,2022-09-02 15:45:00+00:00,1630.65,0.7770600283598573,2022-09-02 17:50:00+00:00,1586.18,CLOSE_INVALIDATION_F15,-14.03566675865452,125.0,False
development,2022-09-08,2022-09-08 13:45:00+00:00,EARLY_RECLAIM,1646.6,1597.0,49.59999999999991,1634.1999999999998,1604.44,1651.56,2022-09-08 13:55:00+00:00,2022-09-08 15:05:00+00:00,CONFIRMED,SAME_BAR,2022-09-08 13:55:00+00:00,2022-09-08 14:00:00+00:00,True,2022-09-08 14:00:00+00:00,1634.26,0.7512096774193561,2022-09-08 15:05:00+00:00,1651.56,TP_E10,4.892915447970281,65.0,True
development,2022-09-08,2022-09-08 13:45:00+00:00,SAME_BAR_REJECTION,1646.6,1597.0,49.59999999999991,1634.1999999999998,1604.44,1651.56,2022-09-08 13:55:00+00:00,2022-09-08 15:05:00+00:00,CONFIRMED,SAME_BAR,2022-09-08 13:55:00+00:00,2022-09-08 14:00:00+00:00,True,2022-09-08 14:00:00+00:00,1634.26,0.7512096774193561,2022-09-08 15:05:00+00:00,1651.56,TP_E10,4.892915447970281,65.0,True
development,2022-09-20,2022-09-20 15:10:00+00:00,EARLY_RECLAIM,1366.4,1328.76,37.6400000000001,1356.99,1334.406,1370.1640000000002,2022-09-20 15:30:00+00:00,2022-09-20 15:50:00+00:00,H2_BEFORE_CONFIRMATION,,,,False,,,,,,H2_BEFORE_CONFIRMATION,,,False
development,2022-09-20,2022-09-20 15:10:00+00:00,SAME_BAR_REJECTION,1366.4,1328.76,37.6400000000001,1356.99,1334.406,1370.1640000000002,2022-09-20 15:30:00+00:00,2022-09-20 15:50:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-10-04,2022-10-04 14:05:00+00:00,EARLY_RECLAIM,1359.8,1341.51,18.289999999999964,1355.2275,1344.2535,1361.629,2022-10-04 14:20:00+00:00,,LOW_BREAK_BEFORE_CONFIRMATION,,,,False,,,,,,LOW_BREAK_BEFORE_CONFIRMATION,,,False
development,2022-10-04,2022-10-04 14:05:00+00:00,SAME_BAR_REJECTION,1359.8,1341.51,18.289999999999964,1355.2275,1344.2535,1361.629,2022-10-04 14:20:00+00:00,,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-10-06,2022-10-06 13:45:00+00:00,EARLY_RECLAIM,1378.0,1354.0,24.0,1372.0,1357.6,1380.4,2022-10-06 13:50:00+00:00,,CONFIRMED,SAME_BAR,2022-10-06 13:50:00+00:00,2022-10-06 13:55:00+00:00,True,2022-10-06 13:55:00+00:00,1372.1,0.7541666666666629,2022-10-06 14:05:00+00:00,1355.29,CLOSE_INVALIDATION_F15,-6.525646818744946,10.0,False
development,2022-10-06,2022-10-06 13:45:00+00:00,SAME_BAR_REJECTION,1378.0,1354.0,24.0,1372.0,1357.6,1380.4,2022-10-06 13:50:00+00:00,,CONFIRMED,SAME_BAR,2022-10-06 13:50:00+00:00,2022-10-06 13:55:00+00:00,True,2022-10-06 13:55:00+00:00,1372.1,0.7541666666666629,2022-10-06 14:05:00+00:00,1355.29,CLOSE_INVALIDATION_F15,-6.525646818744946,10.0,False
development,2022-11-30,2022-11-30 16:45:00+00:00,EARLY_RECLAIM,1276.93,1253.37,23.560000000000173,1271.04,1256.904,1279.286,2022-11-30 16:50:00+00:00,2022-11-30 18:30:00+00:00,CONFIRMED,SAME_BAR,2022-11-30 16:50:00+00:00,2022-11-30 16:55:00+00:00,True,2022-11-30 16:55:00+00:00,1272.01,0.7911714770797947,2022-11-30 18:35:00+00:00,1279.286,TP_E10,2.460040408487419,100.0,True
development,2022-11-30,2022-11-30 16:45:00+00:00,SAME_BAR_REJECTION,1276.93,1253.37,23.560000000000173,1271.04,1256.904,1279.286,2022-11-30 16:50:00+00:00,2022-11-30 18:30:00+00:00,CONFIRMED,SAME_BAR,2022-11-30 16:50:00+00:00,2022-11-30 16:55:00+00:00,True,2022-11-30 16:55:00+00:00,1272.01,0.7911714770797947,2022-11-30 18:35:00+00:00,1279.286,TP_E10,2.460040408487419,100.0,True
development,2022-12-08,2022-12-08 14:05:00+00:00,EARLY_RECLAIM,1247.33,1227.36,19.970000000000027,1242.3374999999999,1230.3555,1249.327,2022-12-08 14:10:00+00:00,2022-12-08 14:55:00+00:00,CONFIRMED,LATER_RECLAIM,2022-12-08 14:15:00+00:00,2022-12-08 14:20:00+00:00,True,2022-12-08 14:20:00+00:00,1242.5,0.758137205808717,2022-12-08 15:00:00+00:00,1249.327,TP_E10,2.3472837022133324,40.0,True
development,2022-12-08,2022-12-08 14:05:00+00:00,SAME_BAR_REJECTION,1247.33,1227.36,19.970000000000027,1242.3374999999999,1230.3555,1249.327,2022-12-08 14:10:00+00:00,2022-12-08 14:55:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-12-21,2022-12-21 14:50:00+00:00,EARLY_RECLAIM,1218.99,1206.63,12.3599999999999,1215.9,1208.4840000000002,1220.226,2022-12-21 15:35:00+00:00,,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-12-21,2022-12-21 14:50:00+00:00,SAME_BAR_REJECTION,1218.99,1206.63,12.3599999999999,1215.9,1208.4840000000002,1220.226,2022-12-21 15:35:00+00:00,,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-12-29,2022-12-29 13:35:00+00:00,EARLY_RECLAIM,1203.85,1189.58,14.269999999999982,1200.2824999999998,1191.7205,1205.2769999999998,2022-12-29 13:50:00+00:00,2022-12-29 14:30:00+00:00,CONFIRMED,SAME_BAR,2022-12-29 13:50:00+00:00,2022-12-29 13:55:00+00:00,True,2022-12-29 13:55:00+00:00,1200.52,0.766643307638407,2022-12-29 15:05:00+00:00,1205.2769999999998,TP_E10,1.5812248025854463,70.0,True
development,2022-12-29,2022-12-29 13:35:00+00:00,SAME_BAR_REJECTION,1203.85,1189.58,14.269999999999982,1200.2824999999998,1191.7205,1205.2769999999998,2022-12-29 13:50:00+00:00,2022-12-29 14:30:00+00:00,CONFIRMED,SAME_BAR,2022-12-29 13:50:00+00:00,2022-12-29 13:55:00+00:00,True,2022-12-29 13:55:00+00:00,1200.52,0.766643307638407,2022-12-29 15:05:00+00:00,1205.2769999999998,TP_E10,1.5812248025854463,70.0,True
development,2023-01-09,2023-01-09 15:00:00+00:00,EARLY_RECLAIM,1328.0,1307.5,20.5,1322.875,1310.575,1330.05,2023-01-09 15:20:00+00:00,2023-01-09 15:40:00+00:00,CONFIRMED,LATER_RECLAIM,2023-01-09 15:25:00+00:00,2023-01-09 15:30:00+00:00,True,2023-01-09 15:30:00+00:00,1324.1,0.8097560975609712,2023-01-09 15:40:00+00:00,1330.05,TP_E10,1.8468091533872637,10.0,True
development,2023-01-09,2023-01-09 15:00:00+00:00,SAME_BAR_REJECTION,1328.0,1307.5,20.5,1322.875,1310.575,1330.05,2023-01-09 15:20:00+00:00,2023-01-09 15:40:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2023-01-10,2023-01-10 14:10:00+00:00,EARLY_RECLAIM,1336.27,1321.27,15.0,1332.52,1323.52,1337.77,2023-01-10 14:20:00+00:00,2023-01-10 14:30:00+00:00,H2_BEFORE_CONFIRMATION,,,,False,,,,,,H2_BEFORE_CONFIRMATION,,,False
development,2023-01-10,2023-01-10 14:10:00+00:00,SAME_BAR_REJECTION,1336.27,1321.27,15.0,1332.52,1323.52,1337.77,2023-01-10 14:20:00+00:00,2023-01-10 14:30:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2023-02-28,2023-02-28 14:45:00+00:00,EARLY_RECLAIM,1641.92,1615.6,26.320000000000164,1635.3400000000001,1619.548,1644.5520000000001,2023-02-28 14:55:00+00:00,2023-02-28 15:00:00+00:00,H2_BEFORE_CONFIRMATION,,,,False,,,,,,H2_BEFORE_CONFIRMATION,,,False
development,2023-02-28,2023-02-28 14:45:00+00:00,SAME_BAR_REJECTION,1641.92,1615.6,26.320000000000164,1635.3400000000001,1619.548,1644.5520000000001,2023-02-28 14:55:00+00:00,2023-02-28 15:00:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2023-03-22,2023-03-22 13:35:00+00:00,EARLY_RECLAIM,1802.55,1780.02,22.529999999999973,1796.9175,1783.3995,1804.8029999999999,2023-03-22 13:55:00+00:00,2023-03-22 14:30:00+00:00,CONFIRMED,LATER_RECLAIM,2023-03-22 14:00:00+00:00,2023-03-22 14:05:00+00:00,True,2023-03-22 14:05:00+00:00,1798.89,0.8375499334221101,2023-03-22 14:30:00+00:00,1804.8029999999999,TP_E10,1.243513499991589,25.0,True
development,2023-03-22,2023-03-22 13:35:00+00:00,SAME_BAR_REJECTION,1802.55,1780.02,22.529999999999973,1796.9175,1783.3995,1804.8029999999999,2023-03-22 13:55:00+00:00,2023-03-22 14:30:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2023-04-25,2023-04-25 13:35:00+00:00,EARLY_RECLAIM,1831.22,1804.44,26.779999999999973,1824.525,1808.457,1833.8980000000001,2023-04-25 13:40:00+00:00,2023-04-25 17:40:00+00:00,CONFIRMED,LATER_RECLAIM,2023-04-25 17:35:00+00:00,2023-04-25 17:40:00+00:00,True,2023-04-25 17:40:00+00:00,1826.47,0.8226288274831962,2023-04-25 17:40:00+00:00,1833.8980000000001,TP_E10,1.6334306065799002,0.0,True
development,2023-04-25,2023-04-25 13:35:00+00:00,SAME_BAR_REJECTION,1831.22,1804.44,26.779999999999973,1824.525,1808.457,1833.8980000000001,2023-04-25 13:40:00+00:00,2023-04-25 17:40:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2023-04-27,2023-04-27 14:05:00+00:00,EARLY_RECLAIM,1895.0,1858.55,36.450000000000045,1885.8875,1864.0175,1898.645,2023-04-27 14:10:00+00:00,2023-04-27 15:20:00+00:00,CONFIRMED,SAME_BAR,2023-04-27 14:10:00+00:00,2023-04-27 14:15:00+00:00,True,2023-04-27 14:15:00+00:00,1890.15,0.8669410150891659,2023-04-27 15:20:00+00:00,1898.645,TP_E10,1.8471761500409971,65.0,True
development,2023-04-27,2023-04-27 14:05:00+00:00,SAME_BAR_REJECTION,1895.0,1858.55,36.450000000000045,1885.8875,1864.0175,1898.645,2023-04-27 14:10:00+00:00,2023-04-27 15:20:00+00:00,CONFIRMED,SAME_BAR,2023-04-27 14:10:00+00:00,2023-04-27 14:15:00+00:00,True,2023-04-27 14:15:00+00:00,1890.15,0.8669410150891659,2023-04-27 15:20:00+00:00,1898.645,TP_E10,1.8471761500409971,65.0,True
development,2023-05-09,2023-05-09 17:05:00+00:00,EARLY_RECLAIM,1853.83,1833.03,20.799999999999955,1848.6299999999999,1836.1499999999999,1855.9099999999999,2023-05-09 17:10:00+00:00,,CONFIRMED,LATER_RECLAIM,2023-05-09 17:15:00+00:00,2023-05-09 17:20:00+00:00,True,2023-05-09 17:20:00+00:00,1851.27,0.8769230769230792,2023-05-09 20:00:00+00:00,1851.79,TIME_EXIT_SESSION_END,-0.25955587245511913,160.0,False
