partition,date_utc,source_start,source_end,obs_start,obs_end,H,L,range,off_return_bp,close_break_high,close_break_low,first_close_break,first_close_break_ts
external,2020-02-26,2020-02-26 13:30:00+00:00,2020-02-26 20:00:00+00:00,2020-02-26 20:00:00+00:00,2020-02-27 00:00:00+00:00,9231.0,8610.0,621.0,-52.13672312548767,False,False,NO_BREAK,
external,2020-02-27,2020-02-27 13:30:00+00:00,2020-02-27 20:00:00+00:00,2020-02-27 20:00:00+00:00,2020-02-28 00:00:00+00:00,8978.0,8793.26,184.73999999999978,-103.13901345291532,False,True,LOW,2020-02-27 21:40:00+00:00
external,2020-02-28,2020-02-28 13:30:00+00:00,2020-02-28 20:00:00+00:00,2020-02-28 20:00:00+00:00,2020-02-29 00:00:00+00:00,8741.93,8500.0,241.9300000000003,132.0728566986218,True,False,HIGH,2020-02-28 22:40:00+00:00
external,2020-03-02,2020-03-02 13:30:00+00:00,2020-03-02 20:00:00+00:00,2020-03-02 20:00:00+00:00,2020-03-03 00:00:00+00:00,8925.32,8775.0,150.3199999999997,38.33151016696679,True,False,HIGH,2020-03-02 21:20:00+00:00
external,2020-03-03,2020-03-03 13:30:00+00:00,2020-03-03 20:00:00+00:00,2020-03-03 20:00:00+00:00,2020-03-04 00:00:00+00:00,8891.38,8657.41,233.96999999999935,54.003707306329304,False,False,NO_BREAK,
external,2020-03-04,2020-03-04 13:30:00+00:00,2020-03-04 20:00:00+00:00,2020-03-04 20:00:00+00:00,2020-03-05 00:00:00+00:00,8787.23,8669.23,118.0,12.336870893903118,False,False,NO_BREAK,
external,2020-03-05,2020-03-05 13:30:00+00:00,2020-03-05 20:00:00+00:00,2020-03-05 20:00:00+00:00,2020-03-06 00:00:00+00:00,9163.56,9027.0,136.5599999999995,-107.53897086995035,False,False,NO_BREAK,
external,2020-03-06,2020-03-06 13:30:00+00:00,2020-03-06 20:00:00+00:00,2020-03-06 20:00:00+00:00,2020-03-07 00:00:00+00:00,9114.58,9016.0,98.57999999999993,50.010996261271586,True,False,HIGH,2020-03-06 20:40:00+00:00
external,2020-03-09,2020-03-09 13:30:00+00:00,2020-03-09 20:00:00+00:00,2020-03-09 20:00:00+00:00,2020-03-10 00:00:00+00:00,7891.71,7635.21,256.5,107.93315025900085,True,False,HIGH,2020-03-09 23:05:00+00:00
external,2020-03-10,2020-03-10 13:30:00+00:00,2020-03-10 20:00:00+00:00,2020-03-10 20:00:00+00:00,2020-03-11 00:00:00+00:00,8138.92,7733.0,405.9200000000001,-108.98370379276324,False,False,NO_BREAK,
external,2020-03-11,2020-03-11 13:30:00+00:00,2020-03-11 20:00:00+00:00,2020-03-11 20:00:00+00:00,2020-03-12 00:00:00+00:00,7894.09,7593.29,300.8000000000002,132.7739180048937,True,False,HIGH,2020-03-11 22:35:00+00:00
external,2020-03-12,2020-03-12 13:30:00+00:00,2020-03-12 20:00:00+00:00,2020-03-12 20:00:00+00:00,2020-03-13 00:00:00+00:00,6227.75,5711.1,516.6499999999996,-2102.680976256579,False,True,LOW,2020-03-12 20:55:00+00:00
external,2020-03-13,2020-03-13 13:30:00+00:00,2020-03-13 20:00:00+00:00,2020-03-13 20:00:00+00:00,2020-03-14 00:00:00+00:00,5971.0,4739.22,1231.7799999999997,318.94614576637224,False,False,NO_BREAK,
external,2020-03-16,2020-03-16 13:30:00+00:00,2020-03-16 20:00:00+00:00,2020-03-16 20:00:00+00:00,2020-03-17 00:00:00+00:00,5200.0,4481.0,719.0,185.91473942754178,False,False,NO_BREAK,
external,2020-03-17,2020-03-17 13:30:00+00:00,2020-03-17 20:00:00+00:00,2020-03-17 20:00:00+00:00,2020-03-18 00:00:00+00:00,5485.0,5054.62,430.3800000000001,-120.25361226214449,False,False,NO_BREAK,
external,2020-03-18,2020-03-18 13:30:00+00:00,2020-03-18 20:00:00+00:00,2020-03-18 20:00:00+00:00,2020-03-19 00:00:00+00:00,5390.0,5082.46,307.53999999999996,124.3366613756125,False,False,NO_BREAK,
external,2020-03-19,2020-03-19 13:30:00+00:00,2020-03-19 20:00:00+00:00,2020-03-19 20:00:00+00:00,2020-03-20 00:00:00+00:00,6358.0,5706.38,651.6199999999999,-76.31743024374194,True,False,HIGH,2020-03-19 22:55:00+00:00
external,2020-03-20,2020-03-20 13:30:00+00:00,2020-03-20 20:00:00+00:00,2020-03-20 20:00:00+00:00,2020-03-21 00:00:00+00:00,6710.12,6157.26,552.8599999999997,29.099045066338647,False,True,LOW,2020-03-20 20:05:00+00:00
external,2020-03-23,2020-03-23 13:30:00+00:00,2020-03-23 20:00:00+00:00,2020-03-23 20:00:00+00:00,2020-03-24 00:00:00+00:00,6380.0,6136.63,243.3699999999999,320.14969696582796,True,False,HIGH,2020-03-23 20:55:00+00:00
external,2020-03-24,2020-03-24 13:30:00+00:00,2020-03-24 20:00:00+00:00,2020-03-24 20:00:00+00:00,2020-03-25 00:00:00+00:00,6756.03,6456.78,299.25,68.90010753973108,True,False,HIGH,2020-03-24 22:35:00+00:00
external,2020-03-25,2020-03-25 13:30:00+00:00,2020-03-25 20:00:00+00:00,2020-03-25 20:00:00+00:00,2020-03-26 00:00:00+00:00,6814.33,6512.78,301.5500000000002,84.28999505865286,False,False,NO_BREAK,
external,2020-03-26,2020-03-26 13:30:00+00:00,2020-03-26 20:00:00+00:00,2020-03-26 20:00:00+00:00,2020-03-27 00:00:00+00:00,6688.83,6500.0,188.82999999999993,121.29756833697547,True,False,HIGH,2020-03-26 20:15:00+00:00
external,2020-03-27,2020-03-27 13:30:00+00:00,2020-03-27 20:00:00+00:00,2020-03-27 20:00:00+00:00,2020-03-28 00:00:00+00:00,6684.55,6566.0,118.55000000000018,-450.177735358438,True,True,HIGH,2020-03-27 21:10:00+00:00
external,2020-03-30,2020-03-30 13:30:00+00:00,2020-03-30 20:00:00+00:00,2020-03-30 20:00:00+00:00,2020-03-31 00:00:00+00:00,6449.97,6260.0,189.97000000000025,44.177483156448986,True,False,HIGH,2020-03-30 20:50:00+00:00
external,2020-03-31,2020-03-31 13:30:00+00:00,2020-03-31 20:00:00+00:00,2020-03-31 20:00:00+00:00,2020-04-01 00:00:00+00:00,6498.0,6392.37,105.63000000000011,-83.11664190193136,False,False,NO_BREAK,
external,2020-04-01,2020-04-01 13:30:00+00:00,2020-04-01 20:00:00+00:00,2020-04-01 20:00:00+00:00,2020-04-02 00:00:00+00:00,6255.0,6140.0,115.0,718.613223503286,True,False,HIGH,2020-04-01 20:35:00+00:00
external,2020-04-02,2020-04-02 13:30:00+00:00,2020-04-02 20:00:00+00:00,2020-04-02 20:00:00+00:00,2020-04-03 00:00:00+00:00,7290.0,6623.01,666.9899999999998,-12.499761033980539,False,False,NO_BREAK,
external,2020-04-03,2020-04-03 13:30:00+00:00,2020-04-03 20:00:00+00:00,2020-04-03 20:00:00+00:00,2020-04-04 00:00:00+00:00,6904.89,6600.0,304.8900000000003,-52.032520325202555,False,False,NO_BREAK,
external,2020-04-06,2020-04-06 13:30:00+00:00,2020-04-06 20:00:00+00:00,2020-04-06 20:00:00+00:00,2020-04-07 00:00:00+00:00,7302.0,7026.77,275.22999999999956,86.16096321843791,True,False,HIGH,2020-04-07 00:00:00+00:00
external,2020-04-07,2020-04-07 13:30:00+00:00,2020-04-07 20:00:00+00:00,2020-04-07 20:00:00+00:00,2020-04-08 00:00:00+00:00,7389.0,7253.05,135.94999999999982,-125.4617814502168,False,True,LOW,2020-04-07 20:05:00+00:00
external,2020-04-08,2020-04-08 13:30:00+00:00,2020-04-08 20:00:00+00:00,2020-04-08 20:00:00+00:00,2020-04-09 00:00:00+00:00,7347.59,7192.0,155.59000000000015,74.55625676928257,True,False,HIGH,2020-04-08 21:35:00+00:00
external,2020-04-09,2020-04-09 13:30:00+00:00,2020-04-09 20:00:00+00:00,2020-04-09 20:00:00+00:00,2020-04-10 00:00:00+00:00,7345.0,7225.09,119.90999999999985,28.437546930906166,False,False,NO_BREAK,
external,2020-04-10,2020-04-10 13:30:00+00:00,2020-04-10 20:00:00+00:00,2020-04-10 20:00:00+00:00,2020-04-11 00:00:00+00:00,6946.96,6741.0,205.96000000000004,-57.70106210547965,False,False,NO_BREAK,
external,2020-04-13,2020-04-13 13:30:00+00:00,2020-04-13 20:00:00+00:00,2020-04-13 20:00:00+00:00,2020-04-14 00:00:00+00:00,6800.0,6592.96,207.03999999999996,97.50281101830404,True,False,HIGH,2020-04-13 20:25:00+00:00
external,2020-04-14,2020-04-14 13:30:00+00:00,2020-04-14 20:00:00+00:00,2020-04-14 20:00:00+00:00,2020-04-15 00:00:00+00:00,6975.6,6841.0,134.60000000000036,-68.52377280086696,False,True,LOW,2020-04-14 20:40:00+00:00
external,2020-04-15,2020-04-15 13:30:00+00:00,2020-04-15 20:00:00+00:00,2020-04-15 20:00:00+00:00,2020-04-16 00:00:00+00:00,6770.4,6686.0,84.39999999999964,-161.2118995258216,False,True,LOW,2020-04-15 23:05:00+00:00
external,2020-04-16,2020-04-16 13:30:00+00:00,2020-04-16 20:00:00+00:00,2020-04-16 20:00:00+00:00,2020-04-17 00:00:00+00:00,7095.0,6950.0,145.0,43.58069148973742,True,False,HIGH,2020-04-16 22:05:00+00:00
external,2020-04-17,2020-04-17 13:30:00+00:00,2020-04-17 20:00:00+00:00,2020-04-17 20:00:00+00:00,2020-04-18 00:00:00+00:00,7084.65,6981.0,103.64999999999964,-64.95150919238691,True,False,HIGH,2020-04-17 23:25:00+00:00
external,2020-04-20,2020-04-20 13:30:00+00:00,2020-04-20 20:00:00+00:00,2020-04-20 20:00:00+00:00,2020-04-21 00:00:00+00:00,7090.0,6763.68,326.3199999999997,86.55596803177845,False,False,NO_BREAK,
external,2020-04-21,2020-04-21 13:30:00+00:00,2020-04-21 20:00:00+00:00,2020-04-21 20:00:00+00:00,2020-04-22 00:00:00+00:00,6940.0,6780.01,159.98999999999978,-35.42538882679524,False,False,NO_BREAK,
external,2020-04-22,2020-04-22 13:30:00+00:00,2020-04-22 20:00:00+00:00,2020-04-22 20:00:00+00:00,2020-04-23 00:00:00+00:00,7154.9,7030.2,124.69999999999982,58.37197015288176,False,False,NO_BREAK,
external,2020-04-23,2020-04-23 13:30:00+00:00,2020-04-23 20:00:00+00:00,2020-04-23 20:00:00+00:00,2020-04-24 00:00:00+00:00,7802.38,7146.05,656.3299999999999,-50.40378872688822,False,False,NO_BREAK,
external,2020-04-24,2020-04-24 13:30:00+00:00,2020-04-24 20:00:00+00:00,2020-04-24 20:00:00+00:00,2020-04-25 00:00:00+00:00,7546.03,7388.0,158.02999999999975,-20.30752535448488,False,False,NO_BREAK,
external,2020-04-27,2020-04-27 13:30:00+00:00,2020-04-27 20:00:00+00:00,2020-04-27 20:00:00+00:00,2020-04-28 00:00:00+00:00,7722.0,7623.98,98.02000000000044,97.15295095594323,True,False,HIGH,2020-04-27 21:20:00+00:00
external,2020-04-28,2020-04-28 13:30:00+00:00,2020-04-28 20:00:00+00:00,2020-04-28 20:00:00+00:00,2020-04-29 00:00:00+00:00,7749.53,7662.49,87.03999999999996,28.715515453225926,True,False,HIGH,2020-04-28 23:10:00+00:00
external,2020-04-29,2020-04-29 13:30:00+00:00,2020-04-29 20:00:00+00:00,2020-04-29 20:00:00+00:00,2020-04-30 00:00:00+00:00,8988.66,8256.0,732.6599999999999,65.935879248189,False,False,NO_BREAK,
external,2020-04-30,2020-04-30 13:30:00+00:00,2020-04-30 20:00:00+00:00,2020-04-30 20:00:00+00:00,2020-05-01 00:00:00+00:00,8899.0,8400.0,499.0,-247.57709151475905,False,False,NO_BREAK,
external,2020-05-01,2020-05-01 13:30:00+00:00,2020-05-01 20:00:00+00:00,2020-05-01 20:00:00+00:00,2020-05-02 00:00:00+00:00,8865.53,8656.0,209.53000000000065,111.27472421776918,True,False,HIGH,2020-05-01 23:25:00+00:00
external,2020-05-04,2020-05-04 13:30:00+00:00,2020-05-04 20:00:00+00:00,2020-05-04 20:00:00+00:00,2020-05-05 00:00:00+00:00,8888.0,8731.09,156.90999999999985,48.91980096888293,True,False,HIGH,2020-05-04 20:40:00+00:00
external,2020-05-05,2020-05-05 13:30:00+00:00,2020-05-05 20:00:00+00:00,2020-05-05 20:00:00+00:00,2020-05-06 00:00:00+00:00,8955.0,8820.0,135.0,131.47774063548167,True,False,HIGH,2020-05-05 21:05:00+00:00
external,2020-05-06,2020-05-06 13:30:00+00:00,2020-05-06 20:00:00+00:00,2020-05-06 20:00:00+00:00,2020-05-07 00:00:00+00:00,9326.12,9174.98,151.14000000000124,-102.48836957697627,True,True,HIGH,2020-05-06 22:10:00+00:00
external,2020-05-07,2020-05-07 13:30:00+00:00,2020-05-07 20:00:00+00:00,2020-05-07 20:00:00+00:00,2020-05-08 00:00:00+00:00,9965.0,9346.49,618.5100000000002,124.9332686364113,True,False,HIGH,2020-05-07 23:30:00+00:00
external,2020-05-08,2020-05-08 13:30:00+00:00,2020-05-08 20:00:00+00:00,2020-05-08 20:00:00+00:00,2020-05-09 00:00:00+00:00,10024.98,9866.6,158.3799999999992,-147.46420635143974,False,True,LOW,2020-05-08 23:50:00+00:00
external,2020-05-11,2020-05-11 13:30:00+00:00,2020-05-11 20:00:00+00:00,2020-05-11 20:00:00+00:00,2020-05-12 00:00:00+00:00,8955.0,8151.12,803.8800000000001,-212.94424832178026,False,False,NO_BREAK,
external,2020-05-12,2020-05-12 13:30:00+00:00,2020-05-12 20:00:00+00:00,2020-05-12 20:00:00+00:00,2020-05-13 00:00:00+00:00,8981.0,8706.77,274.22999999999956,23.634662958553765,False,False,NO_BREAK,
external,2020-05-13,2020-05-13 13:30:00+00:00,2020-05-13 20:00:00+00:00,2020-05-13 20:00:00+00:00,2020-05-14 00:00:00+00:00,9180.48,9019.0,161.47999999999956,175.0417130448656,True,False,HIGH,2020-05-13 20:05:00+00:00
external,2020-05-14,2020-05-14 13:30:00+00:00,2020-05-14 20:00:00+00:00,2020-05-14 20:00:00+00:00,2020-05-15 00:00:00+00:00,9782.1,9570.0,212.10000000000036,134.42076671923652,True,False,HIGH,2020-05-14 20:25:00+00:00
external,2020-05-15,2020-05-15 13:30:00+00:00,2020-05-15 20:00:00+00:00,2020-05-15 20:00:00+00:00,2020-05-16 00:00:00+00:00,9615.0,9320.0,295.0,-28.103335450365698,False,True,LOW,2020-05-15 20:40:00+00:00
external,2020-05-18,2020-05-18 13:30:00+00:00,2020-05-18 20:00:00+00:00,2020-05-18 20:00:00+00:00,2020-05-19 00:00:00+00:00,9730.0,9540.01,189.98999999999978,34.03763009004912,True,False,HIGH,2020-05-18 22:20:00+00:00
external,2020-05-19,2020-05-19 13:30:00+00:00,2020-05-19 20:00:00+00:00,2020-05-19 20:00:00+00:00,2020-05-20 00:00:00+00:00,9736.82,9590.0,146.8199999999997,134.84590816707387,True,False,HIGH,2020-05-19 22:50:00+00:00
external,2020-05-20,2020-05-20 13:30:00+00:00,2020-05-20 20:00:00+00:00,2020-05-20 20:00:00+00:00,2020-05-21 00:00:00+00:00,9798.0,9281.42,516.5799999999999,-17.87900230337702,False,False,NO_BREAK,
external,2020-05-21,2020-05-21 13:30:00+00:00,2020-05-21 20:00:00+00:00,2020-05-21 20:00:00+00:00,2020-05-22 00:00:00+00:00,9368.34,8812.2,556.1399999999994,-2.7917148963929606,False,False,NO_BREAK,
external,2020-05-22,2020-05-22 13:30:00+00:00,2020-05-22 20:00:00+00:00,2020-05-22 20:00:00+00:00,2020-05-23 00:00:00+00:00,9259.38,9076.41,182.96999999999935,-5.004912228668834,False,False,NO_BREAK,
external,2020-05-25,2020-05-25 13:30:00+00:00,2020-05-25 20:00:00+00:00,2020-05-25 20:00:00+00:00,2020-05-26 00:00:00+00:00,8977.0,8728.0,249.0,-29.734885420380497,False,False,NO_BREAK,
external,2020-05-26,2020-05-26 13:30:00+00:00,2020-05-26 20:00:00+00:00,2020-05-26 20:00:00+00:00,2020-05-27 00:00:00+00:00,8855.0,8693.18,161.8199999999997,46.68036230145667,True,False,HIGH,2020-05-26 20:50:00+00:00
external,2020-05-27,2020-05-27 13:30:00+00:00,2020-05-27 20:00:00+00:00,2020-05-27 20:00:00+00:00,2020-05-28 00:00:00+00:00,9230.0,9116.01,113.98999999999978,47.33455028899991,False,True,LOW,2020-05-27 21:35:00+00:00
external,2020-05-28,2020-05-28 13:30:00+00:00,2020-05-28 20:00:00+00:00,2020-05-28 20:00:00+00:00,2020-05-29 00:00:00+00:00,9537.0,9385.93,151.0699999999997,127.58981609752418,True,False,HIGH,2020-05-28 23:20:00+00:00
external,2020-05-29,2020-05-29 13:30:00+00:00,2020-05-29 20:00:00+00:00,2020-05-29 20:00:00+00:00,2020-05-30 00:00:00+00:00,9473.5,9317.42,156.07999999999993,21.601901733150353,False,False,NO_BREAK,
external,2020-06-01,2020-06-01 13:30:00+00:00,2020-06-01 20:00:00+00:00,2020-06-01 20:00:00+00:00,2020-06-02 00:00:00+00:00,9610.0,9490.3,119.70000000000073,695.0405016984585,True,False,HIGH,2020-06-01 20:50:00+00:00
external,2020-06-02,2020-06-02 13:30:00+00:00,2020-06-02 20:00:00+00:00,2020-06-02 20:00:00+00:00,2020-06-03 00:00:00+00:00,10196.0,9264.15,931.8500000000004,9.58363271227114,False,False,NO_BREAK,
external,2020-06-03,2020-06-03 13:30:00+00:00,2020-06-03 20:00:00+00:00,2020-06-03 20:00:00+00:00,2020-06-04 00:00:00+00:00,9623.57,9472.62,150.9499999999989,91.45771568743078,True,False,HIGH,2020-06-03 23:40:00+00:00
external,2020-06-04,2020-06-04 13:30:00+00:00,2020-06-04 20:00:00+00:00,2020-06-04 20:00:00+00:00,2020-06-05 00:00:00+00:00,9884.0,9715.78,168.21999999999935,-29.255224329099995,False,False,NO_BREAK,
