partition,side,signal_ts,net_pnl_usd,swing_high,swing_low,swing_high_ts,swing_low_ts,range_known_ts,upper_test_candles,lower_test_candles,total_test_candles,ambiguous_both_candles,side_visits,side_switches,visit_sequence,true_swing_breakout
external,SHORT,2020-01-13 04:00:00+00:00,-3.552321981424122,8195.0,8070.13,2020-01-12 16:00:00+00:00,2020-01-12 16:00:00+00:00,2020-01-13 00:00:00+00:00,1,0,1,0,1,0,H,False
external,LONG,2020-01-14 00:00:00+00:00,42.166656512632365,8135.93,8055.0,2020-01-13 08:00:00+00:00,2020-01-13 12:00:00+00:00,2020-01-13 20:00:00+00:00,1,0,1,0,1,0,H,True
external,LONG,2020-01-19 00:00:00+00:00,-14.927810692206878,8968.0,8855.0,2020-01-18 12:00:00+00:00,2020-01-18 16:00:00+00:00,2020-01-19 00:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-01-19 08:00:00+00:00,-25.19249584072507,9205.3,8898.88,2020-01-19 00:00:00+00:00,2020-01-19 00:00:00+00:00,2020-01-19 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-01-28 00:00:00+00:00,-11.957855582698508,8700.0,8565.0,2020-01-27 00:00:00+00:00,2020-01-27 08:00:00+00:00,2020-01-27 16:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-01-28 20:00:00+00:00,40.26716880928368,9207.81,8952.41,2020-01-28 12:00:00+00:00,2020-01-28 08:00:00+00:00,2020-01-28 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-02-09 04:00:00+00:00,-4.2582500059190505,9900.0,9765.0,2020-02-07 08:00:00+00:00,2020-02-08 12:00:00+00:00,2020-02-08 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-02-09 20:00:00+00:00,-5.188357264464694,10184.34,10026.0,2020-02-09 04:00:00+00:00,2020-02-09 12:00:00+00:00,2020-02-09 20:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-02-10 04:00:00+00:00,-7.37548191461983,10184.34,10070.0,2020-02-09 04:00:00+00:00,2020-02-09 20:00:00+00:00,2020-02-10 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-02-11 12:00:00+00:00,-20.243917964818824,9908.0,9729.36,2020-02-10 20:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 12:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-02-15 12:00:00+00:00,-14.822975789915471,10390.0,10203.98,2020-02-14 20:00:00+00:00,2020-02-15 04:00:00+00:00,2020-02-15 12:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-02-19 20:00:00+00:00,58.69534873781836,10270.0,10026.08,2020-02-18 20:00:00+00:00,2020-02-19 08:00:00+00:00,2020-02-19 16:00:00+00:00,1,0,1,0,1,0,H,True
external,SHORT,2020-02-29 08:00:00+00:00,7.429485587751206,8809.05,8450.0,2020-02-28 20:00:00+00:00,2020-02-28 12:00:00+00:00,2020-02-29 04:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-02-29 20:00:00+00:00,-9.036976267213603,8799.83,8580.0,2020-02-29 04:00:00+00:00,2020-02-29 12:00:00+00:00,2020-02-29 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-03-02 00:00:00+00:00,11.671270677800893,8762.24,8409.0,2020-03-01 12:00:00+00:00,2020-03-01 16:00:00+00:00,2020-03-02 00:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-03-02 12:00:00+00:00,-6.488666201560234,8762.24,8409.0,2020-03-01 12:00:00+00:00,2020-03-01 16:00:00+00:00,2020-03-02 00:00:00+00:00,1,0,1,0,1,0,H,True
external,SHORT,2020-03-04 08:00:00+00:00,-6.745212576943871,8907.0,8657.41,2020-03-03 12:00:00+00:00,2020-03-03 16:00:00+00:00,2020-03-04 00:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-03-05 00:00:00+00:00,13.40296062523878,8853.88,8669.23,2020-03-04 04:00:00+00:00,2020-03-04 12:00:00+00:00,2020-03-04 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-03-05 08:00:00+00:00,-11.898803500652855,8853.88,8669.23,2020-03-04 04:00:00+00:00,2020-03-04 12:00:00+00:00,2020-03-04 20:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-03-07 16:00:00+00:00,34.06996901310628,9153.57,9056.1,2020-03-07 00:00:00+00:00,2020-03-07 04:00:00+00:00,2020-03-07 12:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-03-08 16:00:00+00:00,13.44742371547798,9204.0,8707.28,2020-03-07 16:00:00+00:00,2020-03-08 00:00:00+00:00,2020-03-08 08:00:00+00:00,0,1,1,0,1,0,L,True
external,SHORT,2020-03-08 20:00:00+00:00,32.78824877254495,9204.0,8707.28,2020-03-07 16:00:00+00:00,2020-03-08 00:00:00+00:00,2020-03-08 08:00:00+00:00,0,1,1,0,1,0,L,True
external,SHORT,2020-03-12 04:00:00+00:00,35.95220720933846,7988.0,7593.29,2020-03-11 20:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-12 04:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-03-12 08:00:00+00:00,-118.12396421666476,7988.0,7593.29,2020-03-11 20:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-12 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-04-23 12:00:00+00:00,56.23808505409684,7178.0,7020.0,2020-04-23 00:00:00+00:00,2020-04-23 04:00:00+00:00,2020-04-23 12:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-04-29 12:00:00+00:00,27.447673953692146,7760.0,7701.0,2020-04-28 12:00:00+00:00,2020-04-28 20:00:00+00:00,2020-04-29 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-04-29 16:00:00+00:00,45.91210566241839,7760.0,7701.0,2020-04-28 12:00:00+00:00,2020-04-28 20:00:00+00:00,2020-04-29 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-05-07 12:00:00+00:00,26.15656586349797,9405.0,9022.0,2020-05-06 20:00:00+00:00,2020-05-07 00:00:00+00:00,2020-05-07 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-05-07 20:00:00+00:00,-13.643966326287604,9405.0,9022.0,2020-05-06 20:00:00+00:00,2020-05-07 00:00:00+00:00,2020-05-07 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-05-08 04:00:00+00:00,-6.581628560458119,10080.0,9022.0,2020-05-07 20:00:00+00:00,2020-05-07 00:00:00+00:00,2020-05-08 04:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-05-08 20:00:00+00:00,20.76083888994791,10024.98,9800.0,2020-05-08 12:00:00+00:00,2020-05-08 12:00:00+00:00,2020-05-08 20:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-05-10 00:00:00+00:00,-56.01999768008352,9804.9,9528.23,2020-05-09 16:00:00+00:00,2020-05-09 08:00:00+00:00,2020-05-10 00:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-05-14 08:00:00+00:00,-11.170158799675187,9397.0,8828.0,2020-05-13 20:00:00+00:00,2020-05-13 08:00:00+00:00,2020-05-14 04:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-05-15 00:00:00+00:00,-20.03950685585236,9950.0,8828.0,2020-05-14 08:00:00+00:00,2020-05-13 08:00:00+00:00,2020-05-14 16:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-05-17 12:00:00+00:00,-15.704890904146607,9572.38,9260.0,2020-05-17 00:00:00+00:00,2020-05-16 16:00:00+00:00,2020-05-17 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-05-18 08:00:00+00:00,-9.001835639825751,9958.67,9600.0,2020-05-18 00:00:00+00:00,2020-05-17 20:00:00+00:00,2020-05-18 08:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-05-19 08:00:00+00:00,-9.648782609498465,9753.18,9540.01,2020-05-18 20:00:00+00:00,2020-05-18 16:00:00+00:00,2020-05-19 04:00:00+00:00,0,1,1,0,1,0,L,False
external,LONG,2020-05-19 20:00:00+00:00,-8.357403613755132,9900.0,9555.0,2020-05-19 08:00:00+00:00,2020-05-19 12:00:00+00:00,2020-05-19 20:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-05-20 12:00:00+00:00,40.83051810729411,9838.0,9635.0,2020-05-20 04:00:00+00:00,2020-05-20 04:00:00+00:00,2020-05-20 12:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-05-25 04:00:00+00:00,-6.401139742598638,9090.0,9111.0,2020-05-24 20:00:00+00:00,2020-05-24 00:00:00+00:00,2020-05-25 04:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-05-25 08:00:00+00:00,-7.850604657756932,9090.0,8623.38,2020-05-24 20:00:00+00:00,2020-05-25 00:00:00+00:00,2020-05-25 08:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-05-25 16:00:00+00:00,-9.67912236695516,8876.6,8657.0,2020-05-25 08:00:00+00:00,2020-05-25 08:00:00+00:00,2020-05-25 16:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-05-26 12:00:00+00:00,-11.419896589565704,8977.0,8817.36,2020-05-25 16:00:00+00:00,2020-05-26 00:00:00+00:00,2020-05-26 08:00:00+00:00,0,0,0,1,0,0,,True
external,LONG,2020-05-27 08:00:00+00:00,32.80754386866576,8892.0,8693.18,2020-05-27 00:00:00+00:00,2020-05-26 16:00:00+00:00,2020-05-27 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-05-30 20:00:00+00:00,-16.09878630711813,9596.0,9326.01,2020-05-30 04:00:00+00:00,2020-05-30 00:00:00+00:00,2020-05-30 12:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-05-31 20:00:00+00:00,-4.511580068363985,9638.0,9436.04,2020-05-31 12:00:00+00:00,2020-05-31 12:00:00+00:00,2020-05-31 20:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-06-01 00:00:00+00:00,13.208255626218367,9638.0,9436.04,2020-05-31 12:00:00+00:00,2020-05-31 12:00:00+00:00,2020-05-31 20:00:00+00:00,0,1,1,0,1,0,L,False
external,LONG,2020-06-01 20:00:00+00:00,-33.501195124120294,9615.0,9486.89,2020-06-01 04:00:00+00:00,2020-06-01 12:00:00+00:00,2020-06-01 20:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-06-02 12:00:00+00:00,-38.91467975383394,10497.25,9486.89,2020-06-01 20:00:00+00:00,2020-06-01 12:00:00+00:00,2020-06-02 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-07-26 08:00:00+00:00,27.071305142527272,9735.1,9655.2,2020-07-25 20:00:00+00:00,2020-07-26 00:00:00+00:00,2020-07-26 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-07-27 16:00:00+00:00,46.09230279497929,10360.0,10128.99,2020-07-27 00:00:00+00:00,2020-07-27 08:00:00+00:00,2020-07-27 16:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-08-01 16:00:00+00:00,-9.344170599071155,11765.05,11201.0,2020-08-01 04:00:00+00:00,2020-08-01 00:00:00+00:00,2020-08-01 12:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-08-02 04:00:00+00:00,-36.883575659666086,11765.05,11505.0,2020-08-01 04:00:00+00:00,2020-08-01 12:00:00+00:00,2020-08-01 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-08-17 12:00:00+00:00,-26.305276362324257,11947.0,11780.0,2020-08-17 00:00:00+00:00,2020-08-17 00:00:00+00:00,2020-08-17 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-08-19 04:00:00+00:00,-2.94163007491337,12100.0,11810.0,2020-08-18 20:00:00+00:00,2020-08-18 12:00:00+00:00,2020-08-19 04:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-08-19 12:00:00+00:00,15.576112524733633,12100.0,11620.0,2020-08-18 20:00:00+00:00,2020-08-19 04:00:00+00:00,2020-08-19 12:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-08-25 12:00:00+00:00,-8.750464959627658,11790.0,11706.61,2020-08-24 20:00:00+00:00,2020-08-24 16:00:00+00:00,2020-08-25 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-08-30 00:00:00+00:00,13.232638444109336,11549.99,11419.34,2020-08-29 16:00:00+00:00,2020-08-29 08:00:00+00:00,2020-08-30 00:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-09-01 04:00:00+00:00,-10.800327125983712,11784.21,11575.78,2020-08-31 12:00:00+00:00,2020-08-31 08:00:00+00:00,2020-08-31 20:00:00+00:00,0,1,1,0,1,0,L,True
external,SHORT,2020-09-02 08:00:00+00:00,30.035734617911103,12061.07,11812.0,2020-09-01 16:00:00+00:00,2020-09-01 12:00:00+00:00,2020-09-02 00:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-09-03 12:00:00+00:00,-27.541041312938702,11450.0,11156.0,2020-09-03 00:00:00+00:00,2020-09-02 08:00:00+00:00,2020-09-03 08:00:00+00:00,1,0,1,0,1,0,H,True
external,LONG,2020-10-10 00:00:00+00:00,31.438484088643207,11103.61,11011.0,2020-10-09 16:00:00+00:00,2020-10-09 16:00:00+00:00,2020-10-10 00:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-10-21 00:00:00+00:00,23.971809964453207,12045.78,11696.0,2020-10-20 16:00:00+00:00,2020-10-20 08:00:00+00:00,2020-10-21 00:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-10-21 12:00:00+00:00,36.11350648595697,12045.78,11851.0,2020-10-20 16:00:00+00:00,2020-10-20 20:00:00+00:00,2020-10-21 04:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-10-28 08:00:00+00:00,-14.891338618159432,13863.0,12729.0,2020-10-28 00:00:00+00:00,2020-10-26 16:00:00+00:00,2020-10-28 08:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-10-31 08:00:00+00:00,-15.820029706502911,13735.0,13403.36,2020-10-31 00:00:00+00:00,2020-10-31 00:00:00+00:00,2020-10-31 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-11-02 08:00:00+00:00,-12.56395643741608,13858.75,13631.0,2020-11-01 20:00:00+00:00,2020-11-01 20:00:00+00:00,2020-11-02 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-03 12:00:00+00:00,16.784463114164886,13696.99,13276.33,2020-11-02 20:00:00+00:00,2020-11-03 04:00:00+00:00,2020-11-03 12:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-04 16:00:00+00:00,15.779751369948093,14070.0,13512.0,2020-11-03 20:00:00+00:00,2020-11-04 04:00:00+00:00,2020-11-04 12:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-05 08:00:00+00:00,25.49172058934464,14280.0,13512.0,2020-11-04 16:00:00+00:00,2020-11-04 04:00:00+00:00,2020-11-05 00:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-05 20:00:00+00:00,-19.059840474294692,14280.0,13512.0,2020-11-04 16:00:00+00:00,2020-11-04 04:00:00+00:00,2020-11-05 00:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-11-07 16:00:00+00:00,-26.563907489254344,15774.0,15177.0,2020-11-07 00:00:00+00:00,2020-11-06 20:00:00+00:00,2020-11-07 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-08 12:00:00+00:00,15.560912052117247,15125.0,14350.0,2020-11-08 00:00:00+00:00,2020-11-07 20:00:00+00:00,2020-11-08 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-09 08:00:00+00:00,-21.74661868218968,15598.0,15247.0,2020-11-09 00:00:00+00:00,2020-11-08 20:00:00+00:00,2020-11-09 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-11-09 12:00:00+00:00,-27.302309539151736,15598.0,15247.0,2020-11-09 00:00:00+00:00,2020-11-08 20:00:00+00:00,2020-11-09 08:00:00+00:00,0,1,1,0,1,0,L,True
external,LONG,2020-11-11 16:00:00+00:00,-6.000745121992878,15520.0,15071.0,2020-11-11 00:00:00+00:00,2020-11-10 12:00:00+00:00,2020-11-11 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-12 04:00:00+00:00,15.99654292036241,16000.0,15071.0,2020-11-11 16:00:00+00:00,2020-11-10 12:00:00+00:00,2020-11-12 00:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-11-13 00:00:00+00:00,-5.692913064777693,16176.22,15437.7,2020-11-12 08:00:00+00:00,2020-11-12 00:00:00+00:00,2020-11-12 16:00:00+00:00,1,0,1,0,1,0,H,True
external,SHORT,2020-11-13 04:00:00+00:00,11.69787322797201,16176.22,15437.7,2020-11-12 08:00:00+00:00,2020-11-12 00:00:00+00:00,2020-11-12 16:00:00+00:00,1,0,1,0,1,0,H,False
external,SHORT,2020-11-14 08:00:00+00:00,-7.040547201948177,16355.0,15955.6,2020-11-13 20:00:00+00:00,2020-11-13 16:00:00+00:00,2020-11-14 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-14 20:00:00+00:00,-7.063446317379141,16355.0,15743.0,2020-11-13 20:00:00+00:00,2020-11-14 08:00:00+00:00,2020-11-14 16:00:00+00:00,0,1,1,0,1,0,L,False
external,SHORT,2020-11-15 16:00:00+00:00,-6.996409277054183,16161.23,15700.0,2020-11-15 08:00:00+00:00,2020-11-14 16:00:00+00:00,2020-11-15 16:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-11-16 04:00:00+00:00,15.356243635622224,16161.23,15768.0,2020-11-15 08:00:00+00:00,2020-11-15 20:00:00+00:00,2020-11-16 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-16 16:00:00+00:00,20.318031983662955,16161.23,15768.0,2020-11-15 08:00:00+00:00,2020-11-15 20:00:00+00:00,2020-11-16 04:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-17 16:00:00+00:00,-12.445680103631329,16882.0,16550.0,2020-11-16 20:00:00+00:00,2020-11-17 04:00:00+00:00,2020-11-17 12:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-19 00:00:00+00:00,-10.26643294104006,18520.0,17284.0,2020-11-18 04:00:00+00:00,2020-11-18 12:00:00+00:00,2020-11-18 20:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-11-19 12:00:00+00:00,21.79006725051209,18079.0,17500.0,2020-11-19 00:00:00+00:00,2020-11-18 20:00:00+00:00,2020-11-19 08:00:00+00:00,0,1,1,0,1,0,L,False
external,LONG,2020-11-21 12:00:00+00:00,-13.97192709404742,18986.0,18453.0,2020-11-21 00:00:00+00:00,2020-11-21 04:00:00+00:00,2020-11-21 12:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-11-22 08:00:00+00:00,-17.325877493456087,18780.0,18302.08,2020-11-22 00:00:00+00:00,2020-11-21 12:00:00+00:00,2020-11-22 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-11-22 16:00:00+00:00,-9.140564377215265,18780.0,17645.98,2020-11-22 00:00:00+00:00,2020-11-22 08:00:00+00:00,2020-11-22 16:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-11-23 00:00:00+00:00,-4.610346588249037,18780.0,17645.98,2020-11-22 00:00:00+00:00,2020-11-22 08:00:00+00:00,2020-11-22 16:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-11-23 08:00:00+00:00,-3.835955150385528,18718.13,18013.97,2020-11-22 20:00:00+00:00,2020-11-23 00:00:00+00:00,2020-11-23 08:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-11-23 12:00:00+00:00,-12.662549833700677,18718.13,18013.97,2020-11-22 20:00:00+00:00,2020-11-23 00:00:00+00:00,2020-11-23 08:00:00+00:00,1,0,1,0,1,0,H,False
external,LONG,2020-11-24 08:00:00+00:00,-18.93618366772841,18560.0,18156.52,2020-11-24 00:00:00+00:00,2020-11-23 16:00:00+00:00,2020-11-24 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-11-26 00:00:00+00:00,-28.58432794199665,19554.19,18635.01,2020-11-25 12:00:00+00:00,2020-11-25 04:00:00+00:00,2020-11-25 20:00:00+00:00,0,1,1,0,1,0,L,True
external,LONG,2020-11-30 12:00:00+00:00,-19.516669984410917,18691.0,17523.0,2020-11-30 04:00:00+00:00,2020-11-29 00:00:00+00:00,2020-11-30 12:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-12-02 00:00:00+00:00,-9.907950092725205,19956.0,18050.0,2020-12-01 08:00:00+00:00,2020-12-01 12:00:00+00:00,2020-12-01 20:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-12-02 04:00:00+00:00,-21.4619968488136,19956.0,18050.0,2020-12-01 08:00:00+00:00,2020-12-01 12:00:00+00:00,2020-12-01 20:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-12-08 20:00:00+00:00,-14.747413360641382,19319.38,18600.51,2020-12-08 04:00:00+00:00,2020-12-08 12:00:00+00:00,2020-12-08 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-12-12 16:00:00+00:00,22.902310758837487,18134.0,17555.0,2020-12-11 12:00:00+00:00,2020-12-11 08:00:00+00:00,2020-12-11 20:00:00+00:00,1,0,1,0,1,0,H,True
external,LONG,2020-12-16 08:00:00+00:00,18.782898843678964,19549.99,19274.55,2020-12-15 16:00:00+00:00,2020-12-16 00:00:00+00:00,2020-12-16 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-12-16 12:00:00+00:00,46.77733877402508,19549.99,19274.55,2020-12-15 16:00:00+00:00,2020-12-16 00:00:00+00:00,2020-12-16 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-12-17 08:00:00+00:00,20.59719557402924,19549.99,19274.55,2020-12-15 16:00:00+00:00,2020-12-16 00:00:00+00:00,2020-12-16 08:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-12-18 12:00:00+00:00,-12.414382335591712,23277.99,22349.97,2020-12-18 00:00:00+00:00,2020-12-17 20:00:00+00:00,2020-12-18 08:00:00+00:00,1,0,1,0,1,0,H,False
external,LONG,2020-12-18 20:00:00+00:00,19.5062892578602,23330.0,22363.94,2020-12-18 08:00:00+00:00,2020-12-18 12:00:00+00:00,2020-12-18 20:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-12-19 16:00:00+00:00,-7.753184988069306,23256.86,22735.81,2020-12-19 00:00:00+00:00,2020-12-19 08:00:00+00:00,2020-12-19 16:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-12-20 00:00:00+00:00,-10.96951273262552,24281.61,22735.81,2020-12-19 16:00:00+00:00,2020-12-19 08:00:00+00:00,2020-12-20 00:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-12-20 12:00:00+00:00,-12.7000308787386,24281.61,23100.0,2020-12-19 16:00:00+00:00,2020-12-20 04:00:00+00:00,2020-12-20 12:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-12-20 20:00:00+00:00,-19.63575041238945,24281.61,23312.0,2020-12-19 16:00:00+00:00,2020-12-20 12:00:00+00:00,2020-12-20 20:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-12-25 08:00:00+00:00,40.04751479564101,23836.0,23034.56,2020-12-25 00:00:00+00:00,2020-12-24 12:00:00+00:00,2020-12-25 08:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-12-26 20:00:00+00:00,25.4310058078739,25071.0,24552.0,2020-12-26 00:00:00+00:00,2020-12-26 08:00:00+00:00,2020-12-26 16:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-12-27 20:00:00+00:00,-16.125943815166785,28459.84,24552.0,2020-12-27 08:00:00+00:00,2020-12-26 08:00:00+00:00,2020-12-27 16:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-12-28 00:00:00+00:00,-21.84133249044888,28459.84,24552.0,2020-12-27 08:00:00+00:00,2020-12-26 08:00:00+00:00,2020-12-27 16:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-12-29 04:00:00+00:00,-3.470746027438398,27538.82,26423.96,2020-12-28 12:00:00+00:00,2020-12-28 20:00:00+00:00,2020-12-29 04:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-12-29 08:00:00+00:00,-8.773063026464124,27538.82,26423.96,2020-12-28 12:00:00+00:00,2020-12-28 20:00:00+00:00,2020-12-29 04:00:00+00:00,0,1,1,0,1,0,L,False
external,LONG,2020-12-29 20:00:00+00:00,21.412345659189214,27133.76,25913.01,2020-12-29 12:00:00+00:00,2020-12-29 04:00:00+00:00,2020-12-29 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-12-30 04:00:00+00:00,-12.339391040946824,27133.76,26266.15,2020-12-29 12:00:00+00:00,2020-12-29 16:00:00+00:00,2020-12-30 00:00:00+00:00,0,0,0,0,0,0,,True
