partition,k,entry_method,exit_reason,n
development,1,SIG_LOW,SL_RANGE_EDGE,29
development,1,SIG_LOW,SL_SAME_5M_CONSERVATIVE,1
development,1,SIG_LOW,TIME_EXIT_SESSION_END,10
development,1,SIG_LOW,TP_RANGE_EDGE,66
development,1,SIG_MID,NO_FILL,1
development,1,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,18
development,1,SIG_MID,RANGE_BROKE_BEFORE_FILL,38
development,1,SIG_MID,SL_RANGE_EDGE,12
development,1,SIG_MID,SL_SAME_5M_CONSERVATIVE,1
development,1,SIG_MID,TIME_EXIT_SESSION_END,9
development,1,SIG_MID,TP_RANGE_EDGE,85
development,2,F50,NO_ELIGIBLE_5M,1
development,2,F50,NO_FILL,2
development,2,F50,RANGE_BROKE_BEFORE_FILL,32
development,2,F50,SL_RANGE_EDGE,4
development,2,F50,TIME_EXIT_SESSION_END,2
development,2,F50,TP_RANGE_EDGE,3
development,2,F55,NO_ELIGIBLE_5M,1
development,2,F55,NO_FILL,1
development,2,F55,RANGE_BROKE_BEFORE_FILL,29
development,2,F55,SL_RANGE_EDGE,4
development,2,F55,TIME_EXIT_SESSION_END,3
development,2,F55,TP_RANGE_EDGE,6
development,2,F60,NO_ELIGIBLE_5M,1
development,2,F60,NO_FILL,1
development,2,F60,RANGE_BROKE_BEFORE_FILL,29
development,2,F60,SL_RANGE_EDGE,4
development,2,F60,TIME_EXIT_SESSION_END,3
development,2,F60,TP_RANGE_EDGE,6
development,2,F65,NO_ELIGIBLE_5M,1
development,2,F65,NO_FILL,1
development,2,F65,RANGE_BROKE_BEFORE_FILL,25
development,2,F65,SL_RANGE_EDGE,4
development,2,F65,TIME_EXIT_SESSION_END,3
development,2,F65,TP_RANGE_EDGE,10
development,2,F70,NO_ELIGIBLE_5M,1
development,2,F70,NO_FILL,1
development,2,F70,RANGE_BROKE_BEFORE_FILL,23
development,2,F70,SL_RANGE_EDGE,4
development,2,F70,TIME_EXIT_SESSION_END,3
development,2,F70,TP_RANGE_EDGE,12
development,2,F75,NO_ELIGIBLE_5M,1
development,2,F75,NO_FILL,1
development,2,F75,RANGE_BROKE_BEFORE_FILL,21
development,2,F75,SL_RANGE_EDGE,3
development,2,F75,TIME_EXIT_SESSION_END,3
development,2,F75,TP_RANGE_EDGE,15
development,2,F80,NO_ELIGIBLE_5M,1
development,2,F80,RANGE_BROKE_BEFORE_FILL,20
development,2,F80,SL_RANGE_EDGE,2
development,2,F80,TIME_EXIT_SESSION_END,3
development,2,F80,TP_RANGE_EDGE,18
development,2,NEXT_OPEN,NO_ELIGIBLE_5M,1
development,2,NEXT_OPEN,SL_RANGE_EDGE,2
development,2,NEXT_OPEN,TIME_EXIT_SESSION_END,2
development,2,NEXT_OPEN,TP_RANGE_EDGE,39
development,2,SIG_LOW,NO_ELIGIBLE_5M,1
development,2,SIG_LOW,RANGE_BROKE_BEFORE_FILL,17
development,2,SIG_LOW,SL_RANGE_EDGE,3
development,2,SIG_LOW,TIME_EXIT_SESSION_END,4
development,2,SIG_LOW,TP_RANGE_EDGE,19
development,2,SIG_MID,NO_ELIGIBLE_5M,1
development,2,SIG_MID,NO_FILL,2
development,2,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,4
development,2,SIG_MID,RANGE_BROKE_BEFORE_FILL,10
development,2,SIG_MID,SL_RANGE_EDGE,2
development,2,SIG_MID,TP_RANGE_EDGE,25
external,1,F50,NO_FILL,2
external,1,F50,RANGE_BROKE_BEFORE_FILL,82
external,1,F50,SL_FILL_5M_CONSERVATIVE,1
external,1,F50,SL_RANGE_EDGE,3
external,1,F50,TIME_EXIT_SESSION_END,5
external,1,F50,TP_RANGE_EDGE,8
external,1,F55,NO_FILL,1
external,1,F55,RANGE_BROKE_BEFORE_FILL,81
external,1,F55,SL_RANGE_EDGE,3
external,1,F55,TIME_EXIT_SESSION_END,6
external,1,F55,TP_RANGE_EDGE,10
external,1,F60,NO_FILL,1
external,1,F60,RANGE_BROKE_BEFORE_FILL,79
external,1,F60,SL_RANGE_EDGE,3
external,1,F60,TIME_EXIT_SESSION_END,6
external,1,F60,TP_RANGE_EDGE,12
external,1,F65,NO_FILL,1
external,1,F65,RANGE_BROKE_BEFORE_FILL,76
external,1,F65,SL_RANGE_EDGE,3
external,1,F65,TIME_EXIT_SESSION_END,6
external,1,F65,TP_RANGE_EDGE,15
external,1,F70,NO_FILL,1
external,1,F70,RANGE_BROKE_BEFORE_FILL,69
external,1,F70,SL_RANGE_EDGE,3
external,1,F70,TIME_EXIT_SESSION_END,6
external,1,F70,TP_RANGE_EDGE,22
external,1,F75,RANGE_BROKE_BEFORE_FILL,61
external,1,F75,SL_RANGE_EDGE,3
external,1,F75,TIME_EXIT_SESSION_END,7
external,1,F75,TP_RANGE_EDGE,30
external,1,F80,NO_FILL,2
external,1,F80,RANGE_BROKE_BEFORE_FILL,54
external,1,F80,SL_RANGE_EDGE,2
external,1,F80,TIME_EXIT_SESSION_END,6
external,1,F80,TP_RANGE_EDGE,37
external,1,NEXT_OPEN,SL_RANGE_EDGE,4
external,1,NEXT_OPEN,TIME_EXIT_SESSION_END,5
external,1,NEXT_OPEN,TP_RANGE_EDGE,92
external,1,SIG_LOW,RANGE_BROKE_BEFORE_FILL,43
external,1,SIG_LOW,SL_FILL_5M_CONSERVATIVE,2
external,1,SIG_LOW,SL_RANGE_EDGE,3
external,1,SIG_LOW,TIME_EXIT_SESSION_END,5
external,1,SIG_LOW,TP_RANGE_EDGE,48
external,1,SIG_MID,NO_FILL,3
external,1,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,10
external,1,SIG_MID,RANGE_BROKE_BEFORE_FILL,29
external,1,SIG_MID,SL_RANGE_EDGE,1
external,1,SIG_MID,TIME_EXIT_SESSION_END,4
external,1,SIG_MID,TP_RANGE_EDGE,54
external,2,F50,NO_FILL,1
external,2,F50,RANGE_BROKE_BEFORE_FILL,25
external,2,F50,TP_RANGE_EDGE,1
external,2,F55,NO_FILL,1
external,2,F55,RANGE_BROKE_BEFORE_FILL,25
external,2,F55,TP_RANGE_EDGE,1
external,2,F60,NO_FILL,1
external,2,F60,RANGE_BROKE_BEFORE_FILL,25
external,2,F60,TP_RANGE_EDGE,1
external,2,F65,NO_FILL,1
external,2,F65,RANGE_BROKE_BEFORE_FILL,23
external,2,F65,TP_RANGE_EDGE,3
external,2,F70,NO_FILL,1
external,2,F70,RANGE_BROKE_BEFORE_FILL,22
external,2,F70,TP_RANGE_EDGE,4
external,2,F75,RANGE_BROKE_BEFORE_FILL,21
external,2,F75,TIME_EXIT_SESSION_END,1
external,2,F75,TP_RANGE_EDGE,5
external,2,F80,RANGE_BROKE_BEFORE_FILL,19
external,2,F80,TIME_EXIT_SESSION_END,1
external,2,F80,TP_RANGE_EDGE,7
external,2,NEXT_OPEN,NEXT_OPEN_OUTSIDE_RANGE,1
external,2,NEXT_OPEN,TIME_EXIT_SESSION_END,1
external,2,NEXT_OPEN,TP_RANGE_EDGE,25
external,2,SIG_LOW,RANGE_BROKE_BEFORE_FILL,10
external,2,SIG_LOW,TIME_EXIT_SESSION_END,1
external,2,SIG_LOW,TP_RANGE_EDGE,16
external,2,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,4
external,2,SIG_MID,RANGE_BROKE_BEFORE_FILL,6
external,2,SIG_MID,TIME_EXIT_SESSION_END,1
external,2,SIG_MID,TP_RANGE_EDGE,16
reference_validation,1,F50,NO_FILL,1
reference_validation,1,F50,RANGE_BROKE_BEFORE_FILL,53
reference_validation,1,F50,SL_RANGE_EDGE,9
reference_validation,1,F50,TIME_EXIT_SESSION_END,2
reference_validation,1,F50,TP_RANGE_EDGE,17
reference_validation,1,F55,RANGE_BROKE_BEFORE_FILL,50
reference_validation,1,F55,SL_RANGE_EDGE,8
reference_validation,1,F55,TIME_EXIT_SESSION_END,3
reference_validation,1,F55,TP_RANGE_EDGE,21
reference_validation,1,F60,RANGE_BROKE_BEFORE_FILL,47
reference_validation,1,F60,SL_RANGE_EDGE,8
reference_validation,1,F60,TIME_EXIT_SESSION_END,3
reference_validation,1,F60,TP_RANGE_EDGE,24
reference_validation,1,F65,RANGE_BROKE_BEFORE_FILL,45
reference_validation,1,F65,SL_RANGE_EDGE,7
reference_validation,1,F65,TIME_EXIT_SESSION_END,3
reference_validation,1,F65,TP_RANGE_EDGE,27
reference_validation,1,F70,RANGE_BROKE_BEFORE_FILL,45
reference_validation,1,F70,SL_RANGE_EDGE,6
reference_validation,1,F70,TIME_EXIT_SESSION_END,3
reference_validation,1,F70,TP_RANGE_EDGE,28
reference_validation,1,F75,RANGE_BROKE_BEFORE_FILL,43
reference_validation,1,F75,SL_RANGE_EDGE,5
reference_validation,1,F75,TIME_EXIT_SESSION_END,3
reference_validation,1,F75,TP_RANGE_EDGE,31
reference_validation,1,F80,RANGE_BROKE_BEFORE_FILL,41
reference_validation,1,F80,SL_RANGE_EDGE,4
reference_validation,1,F80,TIME_EXIT_SESSION_END,3
reference_validation,1,F80,TP_RANGE_EDGE,34
reference_validation,1,NEXT_OPEN,SL_RANGE_EDGE,9
reference_validation,1,NEXT_OPEN,TIME_EXIT_SESSION_END,3
reference_validation,1,NEXT_OPEN,TP_RANGE_EDGE,70
reference_validation,1,SIG_LOW,RANGE_BROKE_BEFORE_FILL,33
reference_validation,1,SIG_LOW,SL_RANGE_EDGE,9
reference_validation,1,SIG_LOW,TIME_EXIT_SESSION_END,3
reference_validation,1,SIG_LOW,TP_RANGE_EDGE,37
reference_validation,1,SIG_MID,NO_FILL,2
reference_validation,1,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,7
reference_validation,1,SIG_MID,RANGE_BROKE_BEFORE_FILL,36
reference_validation,1,SIG_MID,TIME_EXIT_SESSION_END,1
reference_validation,1,SIG_MID,TP_RANGE_EDGE,36
reference_validation,2,F50,RANGE_BROKE_BEFORE_FILL,14
reference_validation,2,F50,TP_RANGE_EDGE,3
reference_validation,2,F55,RANGE_BROKE_BEFORE_FILL,12
reference_validation,2,F55,TP_RANGE_EDGE,5
reference_validation,2,F60,RANGE_BROKE_BEFORE_FILL,12
reference_validation,2,F60,TP_RANGE_EDGE,5
reference_validation,2,F65,RANGE_BROKE_BEFORE_FILL,12
reference_validation,2,F65,TP_RANGE_EDGE,5
reference_validation,2,F70,RANGE_BROKE_BEFORE_FILL,12
reference_validation,2,F70,TP_RANGE_EDGE,5
reference_validation,2,F75,RANGE_BROKE_BEFORE_FILL,12
reference_validation,2,F75,TP_RANGE_EDGE,5
reference_validation,2,F80,RANGE_BROKE_BEFORE_FILL,11
reference_validation,2,F80,TP_RANGE_EDGE,6
reference_validation,2,NEXT_OPEN,TP_RANGE_EDGE,17
reference_validation,2,SIG_LOW,RANGE_BROKE_BEFORE_FILL,8
reference_validation,2,SIG_LOW,TP_RANGE_EDGE,9
reference_validation,2,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,2
reference_validation,2,SIG_MID,RANGE_BROKE_BEFORE_FILL,7
reference_validation,2,SIG_MID,TP_RANGE_EDGE,8
