symbol,clock,side,partition,sessions,k1_opp0,k1_rate,causal_leave,leave_rate,h2,opposite,ambiguous,no_h2,h2_rate,resolved_h2_wr,median_min_to_h2,m1_replication
BTCUSDT,RAW_2330,LONG,development,782,159,0.20332480818414322,112,0.7044025157232704,88,6,0,18,0.7857142857142857,0.9361702127659575,20.0,
BTCUSDT,RAW_2330,LONG,reference_validation,411,79,0.1922141119221411,56,0.7088607594936709,48,2,0,6,0.8571428571428571,0.96,15.0,
BTCUSDT,RAW_2330,LONG,august,17,4,0.23529411764705882,3,0.75,2,0,0,1,0.6666666666666666,1.0,25.0,
BTCUSDT,RAW_2330,LONG,POOLED_MAJOR,1715,329,0.19183673469387755,238,0.723404255319149,193,11,0,34,0.8109243697478992,0.946078431372549,15.0,
BTCUSDT,SHORT_2000,SHORT,external,522,102,0.19540229885057472,70,0.6862745098039216,51,2,0,17,0.7285714285714285,0.9622641509433962,20.0,
BTCUSDT,SHORT_2000,SHORT,development,782,114,0.14578005115089515,77,0.6754385964912281,54,8,0,15,0.7012987012987013,0.8709677419354839,15.0,
BTCUSDT,SHORT_2000,SHORT,reference_validation,411,78,0.1897810218978102,45,0.5769230769230769,38,4,0,3,0.8444444444444444,0.9047619047619048,15.0,
BTCUSDT,SHORT_2000,SHORT,august,17,5,0.29411764705882354,2,0.4,2,0,0,0,1.0,1.0,37.5,
BTCUSDT,SHORT_2000,SHORT,POOLED_MAJOR,1715,294,0.17142857142857143,192,0.6530612244897959,143,14,0,35,0.7447916666666666,0.910828025477707,15.0,
BNBUSDT,ALT_0330,LONG,external,494,109,0.22064777327935223,73,0.6697247706422018,54,11,0,8,0.7397260273972602,0.8307692307692308,20.0,
BNBUSDT,ALT_0330,LONG,development,782,203,0.2595907928388747,130,0.6403940886699507,101,15,0,14,0.7769230769230769,0.8706896551724138,20.0,
BNBUSDT,ALT_0330,LONG,reference_validation,411,89,0.21654501216545013,58,0.651685393258427,47,2,0,9,0.8103448275862069,0.9591836734693877,20.0,
BNBUSDT,ALT_0330,LONG,august,17,1,0.058823529411764705,0,0.0,0,0,0,0,,,,
BNBUSDT,ALT_0330,LONG,POOLED_MAJOR,1687,401,0.23770005927682275,261,0.6508728179551122,202,28,0,31,0.7739463601532567,0.8782608695652174,20.0,PASS
BNBUSDT,RAW_0530,LONG,external,494,85,0.1720647773279352,54,0.6352941176470588,37,13,0,4,0.6851851851851852,0.74,15.0,
BNBUSDT,RAW_0530,LONG,development,782,182,0.23273657289002558,132,0.7252747252747253,103,18,0,11,0.7803030303030303,0.8512396694214877,20.0,
BNBUSDT,RAW_0530,LONG,reference_validation,411,87,0.2116788321167883,56,0.6436781609195402,50,3,0,3,0.8928571428571429,0.9433962264150944,10.0,
BNBUSDT,RAW_0530,LONG,august,17,4,0.23529411764705882,3,0.75,2,1,0,0,0.6666666666666666,0.6666666666666666,60.0,
BNBUSDT,RAW_0530,LONG,POOLED_MAJOR,1687,354,0.2098399525785418,242,0.6836158192090396,190,34,0,18,0.7851239669421488,0.8482142857142857,15.0,PASS
BNBUSDT,LONDON,LONG,external,495,105,0.21212121212121213,69,0.6571428571428571,45,6,0,18,0.6521739130434783,0.8823529411764706,10.0,
BNBUSDT,LONDON,LONG,development,782,168,0.21483375959079284,101,0.6011904761904762,79,15,0,7,0.7821782178217822,0.8404255319148937,15.0,
BNBUSDT,LONDON,LONG,reference_validation,411,87,0.2116788321167883,47,0.5402298850574713,38,4,0,5,0.8085106382978723,0.9047619047619048,10.0,
BNBUSDT,LONDON,LONG,august,17,7,0.4117647058823529,4,0.5714285714285714,4,0,0,0,1.0,1.0,20.0,
BNBUSDT,LONDON,LONG,POOLED_MAJOR,1688,360,0.2132701421800948,217,0.6027777777777777,162,25,0,30,0.7465437788018433,0.8663101604278075,15.0,PASS
BNBUSDT,RAW_2330,LONG,external,494,92,0.1862348178137652,53,0.5760869565217391,43,3,0,7,0.8113207547169812,0.9347826086956522,20.0,
BNBUSDT,RAW_2330,LONG,development,782,158,0.2020460358056266,95,0.6012658227848101,74,9,0,12,0.7789473684210526,0.891566265060241,20.0,
BNBUSDT,RAW_2330,LONG,reference_validation,411,83,0.20194647201946472,42,0.5060240963855421,30,4,0,8,0.7142857142857143,0.8823529411764706,27.5,
BNBUSDT,RAW_2330,LONG,august,17,3,0.17647058823529413,2,0.6666666666666666,2,0,0,0,1.0,1.0,5.0,
BNBUSDT,RAW_2330,LONG,POOLED_MAJOR,1687,333,0.1973918197984588,190,0.5705705705705706,147,16,0,27,0.7736842105263158,0.901840490797546,20.0,PASS
BNBUSDT,SHORT_2000,SHORT,external,494,91,0.18421052631578946,55,0.6043956043956044,50,3,0,2,0.9090909090909091,0.9433962264150944,17.5,
BNBUSDT,SHORT_2000,SHORT,development,782,155,0.19820971867007672,97,0.6258064516129033,69,11,0,17,0.711340206185567,0.8625,30.0,
BNBUSDT,SHORT_2000,SHORT,reference_validation,411,72,0.17518248175182483,43,0.5972222222222222,32,6,0,5,0.7441860465116279,0.8421052631578947,15.0,
BNBUSDT,SHORT_2000,SHORT,august,17,3,0.17647058823529413,1,0.3333333333333333,1,0,0,0,1.0,1.0,80.0,
BNBUSDT,SHORT_2000,SHORT,POOLED_MAJOR,1687,318,0.1885002963841138,195,0.6132075471698113,151,20,0,24,0.7743589743589744,0.8830409356725146,20.0,PASS
