partition,date_utc,signal_bar_start,signal_ts,session_end,H,L,range,k1_episode_bars,window_status,leave_bar_start,leave_ts,eligible_start,h2_bar_start,h2_ts,opposite_break_bar_start,opposite_break_ts,terminal_bar_start,window_id
development,2022-03-17,2022-03-17 13:55:00+00:00,2022-03-17 14:00:00+00:00,2022-03-17 20:00:00+00:00,2818.49,2750.5,67.98999999999978,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-03-17|2022-03-17T14:00:00+00:00
development,2022-03-21,2022-03-21 13:40:00+00:00,2022-03-21 13:45:00+00:00,2022-03-21 20:00:00+00:00,2938.5,2873.0,65.5,1,H2_ARRIVAL,2022-03-21 13:45:00+00:00,2022-03-21 13:50:00+00:00,2022-03-21 13:50:00+00:00,2022-03-21 15:15:00+00:00,2022-03-21 15:20:00+00:00,,,2022-03-21 15:15:00+00:00,development|2022-03-21|2022-03-21T13:45:00+00:00
development,2022-03-22,2022-03-22 14:35:00+00:00,2022-03-22 14:40:00+00:00,2022-03-22 20:00:00+00:00,3027.92,2984.71,43.210000000000036,1,OPPOSITE_BREAK_BEFORE_H2,2022-03-22 14:40:00+00:00,2022-03-22 14:45:00+00:00,2022-03-22 14:45:00+00:00,,,2022-03-22 19:55:00+00:00,2022-03-22 20:00:00+00:00,2022-03-22 19:55:00+00:00,development|2022-03-22|2022-03-22T14:40:00+00:00
development,2022-04-13,2022-04-13 13:45:00+00:00,2022-04-13 13:50:00+00:00,2022-04-13 20:00:00+00:00,3058.34,2995.23,63.11000000000013,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-04-13|2022-04-13T13:50:00+00:00
development,2022-04-18,2022-04-18 13:30:00+00:00,2022-04-18 13:35:00+00:00,2022-04-18 20:00:00+00:00,2947.0,2887.0,60.0,1,H2_ARRIVAL,2022-04-18 13:35:00+00:00,2022-04-18 13:40:00+00:00,2022-04-18 13:40:00+00:00,2022-04-18 17:10:00+00:00,2022-04-18 17:15:00+00:00,,,2022-04-18 17:10:00+00:00,development|2022-04-18|2022-04-18T13:35:00+00:00
development,2022-05-13,2022-05-13 14:00:00+00:00,2022-05-13 14:05:00+00:00,2022-05-13 20:00:00+00:00,2135.56,2047.57,87.99000000000001,3,H2_ARRIVAL,2022-05-13 14:15:00+00:00,2022-05-13 14:20:00+00:00,2022-05-13 14:20:00+00:00,2022-05-13 14:20:00+00:00,2022-05-13 14:25:00+00:00,,,2022-05-13 14:20:00+00:00,development|2022-05-13|2022-05-13T14:05:00+00:00
development,2022-05-19,2022-05-19 13:35:00+00:00,2022-05-19 13:40:00+00:00,2022-05-19 20:00:00+00:00,1985.99,1912.39,73.59999999999991,1,H2_ARRIVAL,2022-05-19 13:40:00+00:00,2022-05-19 13:45:00+00:00,2022-05-19 13:45:00+00:00,2022-05-19 14:20:00+00:00,2022-05-19 14:25:00+00:00,,,2022-05-19 14:20:00+00:00,development|2022-05-19|2022-05-19T13:40:00+00:00
development,2022-05-25,2022-05-25 13:35:00+00:00,2022-05-25 13:40:00+00:00,2022-05-25 20:00:00+00:00,1981.87,1933.0,48.86999999999989,1,H2_ARRIVAL,2022-05-25 13:40:00+00:00,2022-05-25 13:45:00+00:00,2022-05-25 13:45:00+00:00,2022-05-25 13:45:00+00:00,2022-05-25 13:50:00+00:00,,,2022-05-25 13:45:00+00:00,development|2022-05-25|2022-05-25T13:40:00+00:00
development,2022-05-30,2022-05-30 14:10:00+00:00,2022-05-30 14:15:00+00:00,2022-05-30 20:00:00+00:00,1915.0,1872.22,42.77999999999997,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-05-30|2022-05-30T14:15:00+00:00
development,2022-06-01,2022-06-01 13:30:00+00:00,2022-06-01 13:35:00+00:00,2022-06-01 20:00:00+00:00,1967.86,1924.0,43.8599999999999,2,OPPOSITE_BREAK_BEFORE_H2,2022-06-01 13:40:00+00:00,2022-06-01 13:45:00+00:00,2022-06-01 13:45:00+00:00,,,2022-06-01 14:25:00+00:00,2022-06-01 14:30:00+00:00,2022-06-01 14:25:00+00:00,development|2022-06-01|2022-06-01T13:35:00+00:00
development,2022-06-07,2022-06-07 14:30:00+00:00,2022-06-07 14:35:00+00:00,2022-06-07 20:00:00+00:00,1779.26,1735.45,43.809999999999945,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-06-07|2022-06-07T14:35:00+00:00
development,2022-06-15,2022-06-15 13:45:00+00:00,2022-06-15 13:50:00+00:00,2022-06-15 20:00:00+00:00,1150.0,1012.42,137.58000000000004,3,H2_ARRIVAL,2022-06-15 14:00:00+00:00,2022-06-15 14:05:00+00:00,2022-06-15 14:05:00+00:00,2022-06-15 14:05:00+00:00,2022-06-15 14:10:00+00:00,,,2022-06-15 14:05:00+00:00,development|2022-06-15|2022-06-15T13:50:00+00:00
development,2022-06-21,2022-06-21 13:45:00+00:00,2022-06-21 13:50:00+00:00,2022-06-21 20:00:00+00:00,1180.0,1134.65,45.34999999999991,1,H2_ARRIVAL,2022-06-21 13:50:00+00:00,2022-06-21 13:55:00+00:00,2022-06-21 13:55:00+00:00,2022-06-21 13:55:00+00:00,2022-06-21 14:00:00+00:00,,,2022-06-21 13:55:00+00:00,development|2022-06-21|2022-06-21T13:50:00+00:00
development,2022-06-24,2022-06-24 19:40:00+00:00,2022-06-24 19:45:00+00:00,2022-06-24 20:00:00+00:00,1227.33,1142.15,85.17999999999984,1,H2_ARRIVAL,2022-06-24 19:45:00+00:00,2022-06-24 19:50:00+00:00,2022-06-24 19:50:00+00:00,2022-06-24 19:55:00+00:00,2022-06-24 20:00:00+00:00,,,2022-06-24 19:55:00+00:00,development|2022-06-24|2022-06-24T19:45:00+00:00
development,2022-06-28,2022-06-28 13:30:00+00:00,2022-06-28 13:35:00+00:00,2022-06-28 20:00:00+00:00,1234.0,1203.32,30.680000000000064,1,OPPOSITE_BREAK_BEFORE_H2,2022-06-28 13:35:00+00:00,2022-06-28 13:40:00+00:00,2022-06-28 13:40:00+00:00,,,2022-06-28 14:30:00+00:00,2022-06-28 14:35:00+00:00,2022-06-28 14:30:00+00:00,development|2022-06-28|2022-06-28T13:35:00+00:00
development,2022-07-06,2022-07-06 18:30:00+00:00,2022-07-06 18:35:00+00:00,2022-07-06 20:00:00+00:00,1155.4,1122.22,33.180000000000064,2,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-07-06|2022-07-06T18:35:00+00:00
development,2022-07-07,2022-07-07 13:35:00+00:00,2022-07-07 13:40:00+00:00,2022-07-07 20:00:00+00:00,1194.08,1172.3,21.779999999999973,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-07-07|2022-07-07T13:40:00+00:00
development,2022-07-11,2022-07-11 13:30:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 20:00:00+00:00,1156.45,1138.4,18.049999999999955,1,OPPOSITE_BREAK_BEFORE_H2,2022-07-11 13:35:00+00:00,2022-07-11 13:40:00+00:00,2022-07-11 13:40:00+00:00,,,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,2022-07-11 13:45:00+00:00,development|2022-07-11|2022-07-11T13:35:00+00:00
development,2022-07-12,2022-07-12 13:30:00+00:00,2022-07-12 13:35:00+00:00,2022-07-12 20:00:00+00:00,1076.97,1052.63,24.339999999999918,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-07-12|2022-07-12T13:35:00+00:00
development,2022-07-14,2022-07-14 14:55:00+00:00,2022-07-14 15:00:00+00:00,2022-07-14 20:00:00+00:00,1100.28,1070.57,29.710000000000036,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-07-14|2022-07-14T15:00:00+00:00
development,2022-07-15,2022-07-15 14:25:00+00:00,2022-07-15 14:30:00+00:00,2022-07-15 20:00:00+00:00,1235.35,1202.75,32.59999999999991,2,H2_ARRIVAL,2022-07-15 14:35:00+00:00,2022-07-15 14:40:00+00:00,2022-07-15 14:40:00+00:00,2022-07-15 15:05:00+00:00,2022-07-15 15:10:00+00:00,,,2022-07-15 15:05:00+00:00,development|2022-07-15|2022-07-15T14:30:00+00:00
development,2022-07-19,2022-07-19 13:30:00+00:00,2022-07-19 13:35:00+00:00,2022-07-19 20:00:00+00:00,1574.53,1505.2,69.32999999999993,1,H2_ARRIVAL,2022-07-19 13:35:00+00:00,2022-07-19 13:40:00+00:00,2022-07-19 13:40:00+00:00,2022-07-19 16:25:00+00:00,2022-07-19 16:30:00+00:00,,,2022-07-19 16:25:00+00:00,development|2022-07-19|2022-07-19T13:35:00+00:00
development,2022-07-20,2022-07-20 13:35:00+00:00,2022-07-20 13:40:00+00:00,2022-07-20 20:00:00+00:00,1616.0,1525.59,90.41000000000008,1,NO_H2_BY_SESSION_END,2022-07-20 13:40:00+00:00,2022-07-20 13:45:00+00:00,2022-07-20 13:45:00+00:00,,,,,,development|2022-07-20|2022-07-20T13:40:00+00:00
development,2022-07-28,2022-07-28 13:30:00+00:00,2022-07-28 13:35:00+00:00,2022-07-28 20:00:00+00:00,1659.0,1595.0,64.0,2,H2_ARRIVAL,2022-07-28 13:40:00+00:00,2022-07-28 13:45:00+00:00,2022-07-28 13:45:00+00:00,2022-07-28 15:15:00+00:00,2022-07-28 15:20:00+00:00,,,2022-07-28 15:15:00+00:00,development|2022-07-28|2022-07-28T13:35:00+00:00
development,2022-07-29,2022-07-29 14:10:00+00:00,2022-07-29 14:15:00+00:00,2022-07-29 20:00:00+00:00,1732.43,1656.0,76.43000000000006,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-07-29|2022-07-29T14:15:00+00:00
development,2022-08-10,2022-08-10 14:45:00+00:00,2022-08-10 14:50:00+00:00,2022-08-10 20:00:00+00:00,1849.99,1683.5,166.49,1,H2_ARRIVAL,2022-08-10 14:50:00+00:00,2022-08-10 14:55:00+00:00,2022-08-10 14:55:00+00:00,2022-08-10 15:05:00+00:00,2022-08-10 15:10:00+00:00,,,2022-08-10 15:05:00+00:00,development|2022-08-10|2022-08-10T14:50:00+00:00
development,2022-08-12,2022-08-12 15:30:00+00:00,2022-08-12 15:35:00+00:00,2022-08-12 20:00:00+00:00,1903.13,1852.0,51.13000000000011,1,H2_ARRIVAL,2022-08-12 15:35:00+00:00,2022-08-12 15:40:00+00:00,2022-08-12 15:40:00+00:00,2022-08-12 16:00:00+00:00,2022-08-12 16:05:00+00:00,,,2022-08-12 16:00:00+00:00,development|2022-08-12|2022-08-12T15:35:00+00:00
development,2022-08-22,2022-08-22 14:05:00+00:00,2022-08-22 14:10:00+00:00,2022-08-22 20:00:00+00:00,1580.0,1528.0,52.0,1,H2_ARRIVAL,2022-08-22 14:10:00+00:00,2022-08-22 14:15:00+00:00,2022-08-22 14:15:00+00:00,2022-08-22 15:40:00+00:00,2022-08-22 15:45:00+00:00,,,2022-08-22 15:40:00+00:00,development|2022-08-22|2022-08-22T14:10:00+00:00
development,2022-08-23,2022-08-23 13:35:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 20:00:00+00:00,1626.84,1586.85,39.99000000000001,2,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-08-23|2022-08-23T13:40:00+00:00
development,2022-08-24,2022-08-24 14:25:00+00:00,2022-08-24 14:30:00+00:00,2022-08-24 20:00:00+00:00,1660.25,1625.18,35.069999999999936,1,H2_ARRIVAL,2022-08-24 14:30:00+00:00,2022-08-24 14:35:00+00:00,2022-08-24 14:35:00+00:00,2022-08-24 15:15:00+00:00,2022-08-24 15:20:00+00:00,,,2022-08-24 15:15:00+00:00,development|2022-08-24|2022-08-24T14:30:00+00:00
development,2022-08-25,2022-08-25 14:30:00+00:00,2022-08-25 14:35:00+00:00,2022-08-25 20:00:00+00:00,1716.86,1692.7,24.159999999999854,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-08-25|2022-08-25T14:35:00+00:00
development,2022-08-29,2022-08-29 13:35:00+00:00,2022-08-29 13:40:00+00:00,2022-08-29 20:00:00+00:00,1495.0,1441.1,53.90000000000009,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-08-29|2022-08-29T13:40:00+00:00
development,2022-09-02,2022-09-02 14:35:00+00:00,2022-09-02 14:40:00+00:00,2022-09-02 20:00:00+00:00,1644.8,1581.33,63.47000000000003,2,OPPOSITE_BREAK_BEFORE_H2,2022-09-02 14:45:00+00:00,2022-09-02 14:50:00+00:00,2022-09-02 14:50:00+00:00,,,2022-09-02 18:10:00+00:00,2022-09-02 18:15:00+00:00,2022-09-02 18:10:00+00:00,development|2022-09-02|2022-09-02T14:40:00+00:00
development,2022-09-05,2022-09-05 14:10:00+00:00,2022-09-05 14:15:00+00:00,2022-09-05 20:00:00+00:00,1582.59,1556.54,26.049999999999955,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-09-05|2022-09-05T14:15:00+00:00
development,2022-09-08,2022-09-08 13:40:00+00:00,2022-09-08 13:45:00+00:00,2022-09-08 20:00:00+00:00,1646.6,1597.0,49.59999999999991,2,H2_ARRIVAL,2022-09-08 13:50:00+00:00,2022-09-08 13:55:00+00:00,2022-09-08 13:55:00+00:00,2022-09-08 15:05:00+00:00,2022-09-08 15:10:00+00:00,,,2022-09-08 15:05:00+00:00,development|2022-09-08|2022-09-08T13:45:00+00:00
development,2022-09-20,2022-09-20 15:05:00+00:00,2022-09-20 15:10:00+00:00,2022-09-20 20:00:00+00:00,1366.4,1328.76,37.6400000000001,1,H2_ARRIVAL,2022-09-20 15:10:00+00:00,2022-09-20 15:15:00+00:00,2022-09-20 15:15:00+00:00,2022-09-20 15:50:00+00:00,2022-09-20 15:55:00+00:00,,,2022-09-20 15:50:00+00:00,development|2022-09-20|2022-09-20T15:10:00+00:00
development,2022-09-26,2022-09-26 13:35:00+00:00,2022-09-26 13:40:00+00:00,2022-09-26 20:00:00+00:00,1324.61,1288.16,36.44999999999982,1,H2_ARRIVAL,2022-09-26 13:40:00+00:00,2022-09-26 13:45:00+00:00,2022-09-26 13:45:00+00:00,2022-09-26 13:50:00+00:00,2022-09-26 13:55:00+00:00,,,2022-09-26 13:50:00+00:00,development|2022-09-26|2022-09-26T13:40:00+00:00
development,2022-09-28,2022-09-28 13:30:00+00:00,2022-09-28 13:35:00+00:00,2022-09-28 20:00:00+00:00,1313.0,1250.0,63.0,1,H2_ARRIVAL,2022-09-28 13:35:00+00:00,2022-09-28 13:40:00+00:00,2022-09-28 13:40:00+00:00,2022-09-28 13:40:00+00:00,2022-09-28 13:45:00+00:00,,,2022-09-28 13:40:00+00:00,development|2022-09-28|2022-09-28T13:35:00+00:00
development,2022-09-30,2022-09-30 14:35:00+00:00,2022-09-30 14:40:00+00:00,2022-09-30 20:00:00+00:00,1348.98,1307.53,41.450000000000045,1,H2_ARRIVAL,2022-09-30 14:40:00+00:00,2022-09-30 14:45:00+00:00,2022-09-30 14:45:00+00:00,2022-09-30 14:45:00+00:00,2022-09-30 14:50:00+00:00,,,2022-09-30 14:45:00+00:00,development|2022-09-30|2022-09-30T14:40:00+00:00
development,2022-10-04,2022-10-04 14:00:00+00:00,2022-10-04 14:05:00+00:00,2022-10-04 20:00:00+00:00,1359.8,1341.51,18.289999999999964,2,OPPOSITE_BREAK_BEFORE_H2,2022-10-04 14:10:00+00:00,2022-10-04 14:15:00+00:00,2022-10-04 14:15:00+00:00,,,2022-10-04 17:15:00+00:00,2022-10-04 17:20:00+00:00,2022-10-04 17:15:00+00:00,development|2022-10-04|2022-10-04T14:05:00+00:00
development,2022-10-06,2022-10-06 13:40:00+00:00,2022-10-06 13:45:00+00:00,2022-10-06 20:00:00+00:00,1378.0,1354.0,24.0,1,OPPOSITE_BREAK_BEFORE_H2,2022-10-06 13:45:00+00:00,2022-10-06 13:50:00+00:00,2022-10-06 13:50:00+00:00,,,2022-10-06 14:05:00+00:00,2022-10-06 14:10:00+00:00,2022-10-06 14:05:00+00:00,development|2022-10-06|2022-10-06T13:45:00+00:00
development,2022-10-13,2022-10-13 18:45:00+00:00,2022-10-13 18:50:00+00:00,2022-10-13 20:00:00+00:00,1284.0,1176.0,108.0,2,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-10-13|2022-10-13T18:50:00+00:00
development,2022-10-17,2022-10-17 13:30:00+00:00,2022-10-17 13:35:00+00:00,2022-10-17 20:00:00+00:00,1325.45,1306.66,18.789999999999964,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-10-17|2022-10-17T13:35:00+00:00
development,2022-11-22,2022-11-22 13:30:00+00:00,2022-11-22 13:35:00+00:00,2022-11-22 20:00:00+00:00,1120.0,1071.52,48.48000000000002,1,H2_ARRIVAL,2022-11-22 13:35:00+00:00,2022-11-22 13:40:00+00:00,2022-11-22 13:40:00+00:00,2022-11-22 13:50:00+00:00,2022-11-22 13:55:00+00:00,,,2022-11-22 13:50:00+00:00,development|2022-11-22|2022-11-22T13:35:00+00:00
development,2022-11-30,2022-11-30 16:40:00+00:00,2022-11-30 16:45:00+00:00,2022-11-30 20:00:00+00:00,1276.93,1253.37,23.560000000000173,1,H2_ARRIVAL,2022-11-30 16:45:00+00:00,2022-11-30 16:50:00+00:00,2022-11-30 16:50:00+00:00,2022-11-30 18:30:00+00:00,2022-11-30 18:35:00+00:00,,,2022-11-30 18:30:00+00:00,development|2022-11-30|2022-11-30T16:45:00+00:00
development,2022-12-07,2022-12-07 13:30:00+00:00,2022-12-07 13:35:00+00:00,2022-12-07 20:00:00+00:00,1233.33,1217.02,16.309999999999945,2,H2_ARRIVAL,2022-12-07 13:40:00+00:00,2022-12-07 13:45:00+00:00,2022-12-07 13:45:00+00:00,2022-12-07 13:50:00+00:00,2022-12-07 13:55:00+00:00,,,2022-12-07 13:50:00+00:00,development|2022-12-07|2022-12-07T13:35:00+00:00
development,2022-12-08,2022-12-08 14:00:00+00:00,2022-12-08 14:05:00+00:00,2022-12-08 20:00:00+00:00,1247.33,1227.36,19.970000000000027,1,H2_ARRIVAL,2022-12-08 14:05:00+00:00,2022-12-08 14:10:00+00:00,2022-12-08 14:10:00+00:00,2022-12-08 14:55:00+00:00,2022-12-08 15:00:00+00:00,,,2022-12-08 14:55:00+00:00,development|2022-12-08|2022-12-08T14:05:00+00:00
development,2022-12-21,2022-12-21 14:45:00+00:00,2022-12-21 14:50:00+00:00,2022-12-21 20:00:00+00:00,1218.99,1206.63,12.3599999999999,1,NO_H2_BY_SESSION_END,2022-12-21 14:50:00+00:00,2022-12-21 14:55:00+00:00,2022-12-21 14:55:00+00:00,,,,,,development|2022-12-21|2022-12-21T14:50:00+00:00
development,2022-12-29,2022-12-29 13:30:00+00:00,2022-12-29 13:35:00+00:00,2022-12-29 20:00:00+00:00,1203.85,1189.58,14.269999999999982,1,H2_ARRIVAL,2022-12-29 13:35:00+00:00,2022-12-29 13:40:00+00:00,2022-12-29 13:40:00+00:00,2022-12-29 14:30:00+00:00,2022-12-29 14:35:00+00:00,,,2022-12-29 14:30:00+00:00,development|2022-12-29|2022-12-29T13:35:00+00:00
development,2023-01-03,2023-01-03 14:30:00+00:00,2023-01-03 14:35:00+00:00,2023-01-03 20:00:00+00:00,1218.2,1213.32,4.880000000000109,1,H2_ARRIVAL,2023-01-03 14:35:00+00:00,2023-01-03 14:40:00+00:00,2023-01-03 14:40:00+00:00,2023-01-03 14:40:00+00:00,2023-01-03 14:45:00+00:00,,,2023-01-03 14:40:00+00:00,development|2023-01-03|2023-01-03T14:35:00+00:00
development,2023-01-09,2023-01-09 14:55:00+00:00,2023-01-09 15:00:00+00:00,2023-01-09 20:00:00+00:00,1328.0,1307.5,20.5,3,H2_ARRIVAL,2023-01-09 15:10:00+00:00,2023-01-09 15:15:00+00:00,2023-01-09 15:15:00+00:00,2023-01-09 15:40:00+00:00,2023-01-09 15:45:00+00:00,,,2023-01-09 15:40:00+00:00,development|2023-01-09|2023-01-09T15:00:00+00:00
development,2023-01-10,2023-01-10 14:05:00+00:00,2023-01-10 14:10:00+00:00,2023-01-10 20:00:00+00:00,1336.27,1321.27,15.0,1,H2_ARRIVAL,2023-01-10 14:10:00+00:00,2023-01-10 14:15:00+00:00,2023-01-10 14:15:00+00:00,2023-01-10 14:30:00+00:00,2023-01-10 14:35:00+00:00,,,2023-01-10 14:30:00+00:00,development|2023-01-10|2023-01-10T14:10:00+00:00
development,2023-01-18,2023-01-18 13:30:00+00:00,2023-01-18 13:35:00+00:00,2023-01-18 20:00:00+00:00,1585.48,1570.81,14.670000000000073,1,H2_ARRIVAL,2023-01-18 13:35:00+00:00,2023-01-18 13:40:00+00:00,2023-01-18 13:40:00+00:00,2023-01-18 13:40:00+00:00,2023-01-18 13:45:00+00:00,,,2023-01-18 13:40:00+00:00,development|2023-01-18|2023-01-18T13:35:00+00:00
