role,partition,dev_block,execution_start,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,loss_class,latent_target_recovered,latent_recovery_min,latent_target_visit,latent_target_visit_start,latent_target_visit_entry_eligible,visit_count_through_watch
CENTRAL,development,0.0,2022-03-10 18:00:00+00:00,2022-03-10 22:35:00+00:00,2022-03-10 22:45:00+00:00,-1.0191846522781822,-1.2691846522781822,L2_BREAK_FAST_FAIL_5M,False,,,,False,1
CENTRAL,development,0.0,2022-03-14 18:00:00+00:00,2022-03-14 22:50:00+00:00,2022-03-15 05:55:00+00:00,-9.82318271119842,-10.07318271119842,L1_NEVER_BREAK_TIME,True,715.0,4.0,2022-03-15 16:15:00+00:00,True,4
CENTRAL,development,0.0,2022-03-17 18:00:00+00:00,2022-03-17 19:45:00+00:00,2022-03-17 20:05:00+00:00,-1.7078007933010175,-1.9578007933010175,L2_BREAK_FAST_FAIL_5M,False,,,,False,1
CENTRAL,development,0.0,2022-03-18 18:00:00+00:00,2022-03-19 00:50:00+00:00,2022-03-19 05:55:00+00:00,-13.649658758531023,-13.899658758531023,L1_NEVER_BREAK_TIME,False,,,,False,2
CENTRAL,development,0.0,2022-03-20 18:00:00+00:00,2022-03-20 20:10:00+00:00,2022-03-20 20:20:00+00:00,-1.7740325978489735,-2.024032597848974,L2_BREAK_FAST_FAIL_5M,False,,,,False,1
CENTRAL,development,0.0,2022-03-21 18:00:00+00:00,2022-03-22 02:25:00+00:00,2022-03-22 03:00:00+00:00,-0.2219755826858849,-0.4719755826858849,L4_BREAK_FAIL_30M,True,15.0,1.0,2022-03-22 02:25:00+00:00,False,2
CENTRAL,development,0.0,2022-03-24 18:00:00+00:00,2022-03-24 19:05:00+00:00,2022-03-24 19:50:00+00:00,-0.2433563710697583,-0.4933563710697584,L5_BREAK_FAIL_LATE,True,340.0,5.0,2022-03-25 01:20:00+00:00,True,5
CENTRAL,development,0.0,2022-03-26 18:00:00+00:00,2022-03-26 20:20:00+00:00,2022-03-27 05:55:00+00:00,-8.857696030977745,-9.107696030977747,L1_NEVER_BREAK_TIME,False,,,,False,1
CENTRAL,development,0.0,2022-04-03 18:00:00+00:00,2022-04-03 22:00:00+00:00,2022-04-03 22:15:00+00:00,-0.1087035292412497,-0.3587035292412497,L2_BREAK_FAST_FAIL_5M,False,,,,False,2
CENTRAL,development,0.0,2022-04-04 18:00:00+00:00,2022-04-05 03:25:00+00:00,2022-04-05 03:40:00+00:00,-1.345794392523414,-1.595794392523414,L2_BREAK_FAST_FAIL_5M,False,,,,False,7
CENTRAL,development,0.0,2022-04-06 18:00:00+00:00,2022-04-06 18:00:00+00:00,2022-04-06 18:10:00+00:00,-5.653739844208028,-5.903739844208028,L2_BREAK_FAST_FAIL_5M,False,,,,False,4
CENTRAL,development,0.0,2022-04-07 18:00:00+00:00,2022-04-07 18:35:00+00:00,2022-04-07 18:45:00+00:00,-1.8718625031906575,-2.121862503190658,L2_BREAK_FAST_FAIL_5M,True,270.0,4.0,2022-04-07 21:30:00+00:00,True,4
CENTRAL,development,0.0,2022-04-10 18:00:00+00:00,2022-04-10 18:00:00+00:00,2022-04-10 18:50:00+00:00,-0.1305823974928066,-0.3805823974928066,L5_BREAK_FAIL_LATE,False,,,,False,3
CENTRAL,development,0.0,2022-04-13 18:00:00+00:00,2022-04-14 01:20:00+00:00,2022-04-14 03:10:00+00:00,-0.8021138057940913,-1.0521138057940913,L5_BREAK_FAIL_LATE,True,80.0,2.0,2022-04-14 04:05:00+00:00,True,5
CENTRAL,development,0.0,2022-04-18 18:00:00+00:00,2022-04-18 18:00:00+00:00,2022-04-18 18:15:00+00:00,-0.3459181656454424,-0.5959181656454424,L3_BREAK_FAST_FAIL_10M,True,350.0,2.0,2022-04-18 19:55:00+00:00,True,2
CENTRAL,development,0.0,2022-04-19 18:00:00+00:00,2022-04-19 22:35:00+00:00,2022-04-20 05:55:00+00:00,-2.717391304347838,-2.9673913043478386,L1_NEVER_BREAK_TIME,True,285.0,9.0,2022-04-20 10:15:00+00:00,True,9
CENTRAL,development,0.0,2022-04-22 18:00:00+00:00,2022-04-22 19:15:00+00:00,2022-04-23 04:25:00+00:00,-13.980506054937448,-14.230506054937448,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,9
CENTRAL,development,0.0,2022-04-28 18:00:00+00:00,2022-04-28 18:00:00+00:00,2022-04-29 05:55:00+00:00,-12.98441869756295,-13.23441869756295,L1_NEVER_BREAK_TIME,False,,,,False,1
CENTRAL,development,0.0,2022-05-09 18:00:00+00:00,2022-05-10 05:45:00+00:00,2022-05-10 05:55:00+00:00,-5.783166109253058,-6.033166109253058,L1_NEVER_BREAK_TIME,False,,,,False,7
CENTRAL,development,0.0,2022-05-12 18:00:00+00:00,2022-05-13 03:05:00+00:00,2022-05-13 03:20:00+00:00,-2.7350081037276763,-2.9850081037276768,L3_BREAK_FAST_FAIL_10M,True,30.0,1.0,2022-05-13 03:05:00+00:00,False,1
CENTRAL,development,0.0,2022-05-15 18:00:00+00:00,2022-05-15 18:10:00+00:00,2022-05-15 18:30:00+00:00,-0.1825483753195023,-0.4325483753195023,L4_BREAK_FAIL_30M,True,100.0,3.0,2022-05-15 19:45:00+00:00,True,3
CENTRAL,development,0.0,2022-05-16 18:00:00+00:00,2022-05-16 18:05:00+00:00,2022-05-16 18:20:00+00:00,-0.9110787172011968,-1.161078717201197,L3_BREAK_FAST_FAIL_10M,True,575.0,7.0,2022-05-17 02:55:00+00:00,True,7
CENTRAL,development,0.0,2022-05-17 18:00:00+00:00,2022-05-17 23:45:00+00:00,2022-05-18 05:55:00+00:00,-14.675234456408448,-14.925234456408448,L1_NEVER_BREAK_TIME,False,,,,False,3
CENTRAL,development,0.0,2022-05-22 18:00:00+00:00,2022-05-22 22:20:00+00:00,2022-05-23 05:55:00+00:00,-4.254916792738317,-4.504916792738317,L1_NEVER_BREAK_TIME,True,80.0,9.0,2022-05-23 06:40:00+00:00,True,11
CENTRAL,development,0.0,2022-05-25 18:00:00+00:00,2022-05-25 18:30:00+00:00,2022-05-26 05:00:00+00:00,-11.972984036021316,-12.222984036021318,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,3
CENTRAL,development,0.0,2022-06-02 18:00:00+00:00,2022-06-02 22:40:00+00:00,2022-06-02 22:50:00+00:00,-1.818622696411254,-2.0686226964112544,L2_BREAK_FAST_FAIL_5M,False,,,,False,5
CENTRAL,development,0.0,2022-06-07 18:00:00+00:00,2022-06-07 18:10:00+00:00,2022-06-07 18:20:00+00:00,-0.6306760847628046,-0.8806760847628046,L2_BREAK_FAST_FAIL_5M,True,75.0,2.0,2022-06-07 19:00:00+00:00,True,8
CENTRAL,development,0.0,2022-06-13 18:00:00+00:00,2022-06-13 20:15:00+00:00,2022-06-13 20:25:00+00:00,-0.3389830508474523,-0.5889830508474523,L2_BREAK_FAST_FAIL_5M,True,535.0,2.0,2022-06-14 05:15:00+00:00,True,2
CENTRAL,development,0.0,2022-06-17 18:00:00+00:00,2022-06-17 18:10:00+00:00,2022-06-17 18:30:00+00:00,-0.1570351758793942,-0.4070351758793942,L4_BREAK_FAIL_30M,False,,,,False,2
CENTRAL,development,0.0,2022-06-25 18:00:00+00:00,2022-06-25 19:10:00+00:00,2022-06-25 19:20:00+00:00,-2.207505518763808,-2.457505518763808,L2_BREAK_FAST_FAIL_5M,True,110.0,2.0,2022-06-25 21:05:00+00:00,True,2
CENTRAL,development,0.0,2022-06-26 18:00:00+00:00,2022-06-26 20:45:00+00:00,2022-06-26 21:00:00+00:00,-0.4847309743092332,-0.7347309743092332,L3_BREAK_FAST_FAIL_10M,False,,,,False,2
CENTRAL,development,0.0,2022-06-27 18:00:00+00:00,2022-06-27 18:15:00+00:00,2022-06-27 19:20:00+00:00,-11.9322555812163,-12.1822555812163,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,5
CENTRAL,development,0.0,2022-06-29 18:00:00+00:00,2022-06-29 20:15:00+00:00,2022-06-30 01:20:00+00:00,-29.117898943762487,-29.367898943762487,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,1
CENTRAL,development,1.0,2022-07-03 18:00:00+00:00,2022-07-03 18:05:00+00:00,2022-07-03 18:20:00+00:00,-1.2198841110094285,-1.4698841110094285,L3_BREAK_FAST_FAIL_10M,True,70.0,2.0,2022-07-03 18:55:00+00:00,True,3
CENTRAL,development,1.0,2022-07-04 18:00:00+00:00,2022-07-04 20:45:00+00:00,2022-07-04 21:00:00+00:00,-0.7114399544678185,-0.9614399544678184,L2_BREAK_FAST_FAIL_5M,True,35.0,2.0,2022-07-04 21:05:00+00:00,True,2
CENTRAL,development,1.0,2022-07-07 18:00:00+00:00,2022-07-07 19:35:00+00:00,2022-07-07 19:55:00+00:00,-0.7686395080707675,-1.0186395080707675,L2_BREAK_FAST_FAIL_5M,True,330.0,2.0,2022-07-08 01:25:00+00:00,True,2
CENTRAL,development,1.0,2022-07-08 18:00:00+00:00,2022-07-08 18:20:00+00:00,2022-07-08 18:50:00+00:00,-2.692998204667896,-2.942998204667896,L4_BREAK_FAIL_30M,False,,,,False,5
CENTRAL,development,1.0,2022-07-09 18:00:00+00:00,2022-07-09 18:00:00+00:00,2022-07-10 00:50:00+00:00,-13.964313421256758,-14.214313421256758,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,2
CENTRAL,development,1.0,2022-07-10 18:00:00+00:00,2022-07-10 19:50:00+00:00,2022-07-10 20:10:00+00:00,-0.1344086021505819,-0.3844086021505819,L3_BREAK_FAST_FAIL_10M,False,,,,False,3
CENTRAL,development,1.0,2022-07-11 18:00:00+00:00,2022-07-11 18:40:00+00:00,2022-07-11 21:50:00+00:00,-16.414141414141437,-16.664141414141437,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,1
CENTRAL,development,1.0,2022-07-13 18:00:00+00:00,2022-07-13 22:00:00+00:00,2022-07-13 22:10:00+00:00,-1.611013473930889,-1.861013473930889,L2_BREAK_FAST_FAIL_5M,True,65.0,3.0,2022-07-13 22:45:00+00:00,True,3
CENTRAL,development,1.0,2022-07-14 18:00:00+00:00,2022-07-14 18:00:00+00:00,2022-07-14 18:45:00+00:00,-1.2288367012561197,-1.4788367012561197,L4_BREAK_FAIL_30M,True,435.0,4.0,2022-07-14 22:30:00+00:00,True,4
CENTRAL,development,1.0,2022-07-16 18:00:00+00:00,2022-07-17 00:35:00+00:00,2022-07-17 05:55:00+00:00,-5.691660480079131,-5.941660480079131,L1_NEVER_BREAK_TIME,False,,,,False,4
CENTRAL,development,1.0,2022-07-21 18:00:00+00:00,2022-07-21 19:10:00+00:00,2022-07-21 19:20:00+00:00,-0.5723443223442648,-0.8223443223442648,L2_BREAK_FAST_FAIL_5M,False,,,,False,2
CENTRAL,development,1.0,2022-07-26 18:00:00+00:00,2022-07-26 21:05:00+00:00,2022-07-26 21:20:00+00:00,-2.518186905428099,-2.7681869054281,L2_BREAK_FAST_FAIL_5M,True,135.0,2.0,2022-07-26 22:15:00+00:00,True,2
CENTRAL,development,1.0,2022-07-28 18:00:00+00:00,2022-07-28 20:25:00+00:00,2022-07-28 23:25:00+00:00,-0.1163873370577106,-0.3663873370577106,L5_BREAK_FAIL_LATE,True,430.0,6.0,2022-07-29 03:00:00+00:00,True,10
CENTRAL,development,1.0,2022-08-06 18:00:00+00:00,2022-08-06 18:40:00+00:00,2022-08-06 20:20:00+00:00,-0.8620689655172709,-1.1120689655172709,L5_BREAK_FAIL_LATE,False,,,,False,4
CENTRAL,development,1.0,2022-08-12 18:00:00+00:00,2022-08-12 18:40:00+00:00,2022-08-12 18:50:00+00:00,-1.380897583429297,-1.630897583429297,L2_BREAK_FAST_FAIL_5M,True,10.0,1.0,2022-08-12 18:40:00+00:00,False,1
CENTRAL,development,1.0,2022-08-17 18:00:00+00:00,2022-08-17 18:00:00+00:00,2022-08-17 19:25:00+00:00,-11.298076923076994,-11.548076923076994,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,3
CENTRAL,development,1.0,2022-08-21 18:00:00+00:00,2022-08-21 20:50:00+00:00,2022-08-21 21:00:00+00:00,-3.010399562123678,-3.260399562123678,L2_BREAK_FAST_FAIL_5M,True,20.0,2.0,2022-08-21 21:10:00+00:00,True,4
CENTRAL,development,1.0,2022-09-01 18:00:00+00:00,2022-09-01 20:05:00+00:00,2022-09-01 20:15:00+00:00,-0.8012820512820484,-1.0512820512820484,L2_BREAK_FAST_FAIL_5M,True,105.0,1.0,2022-09-01 20:05:00+00:00,False,2
CENTRAL,development,1.0,2022-09-04 18:00:00+00:00,2022-09-04 20:35:00+00:00,2022-09-04 20:45:00+00:00,0.0,-0.25,L2_BREAK_FAST_FAIL_5M,True,40.0,1.0,2022-09-04 20:35:00+00:00,False,4
CENTRAL,development,1.0,2022-09-05 18:00:00+00:00,2022-09-05 21:05:00+00:00,2022-09-05 21:20:00+00:00,-0.3124023742580584,-0.5624023742580584,L3_BREAK_FAST_FAIL_10M,True,140.0,2.0,2022-09-05 21:40:00+00:00,True,2
CENTRAL,development,1.0,2022-09-10 18:00:00+00:00,2022-09-10 18:05:00+00:00,2022-09-10 19:35:00+00:00,-0.1436368859523695,-0.3936368859523695,L5_BREAK_FAIL_LATE,True,135.0,3.0,2022-09-10 21:45:00+00:00,True,4
CENTRAL,development,1.0,2022-09-11 18:00:00+00:00,2022-09-12 01:45:00+00:00,2022-09-12 02:00:00+00:00,-2.637423653525872,-2.8874236535258726,L2_BREAK_FAST_FAIL_5M,True,450.0,2.0,2022-09-12 08:55:00+00:00,True,2
CENTRAL,development,1.0,2022-09-19 18:00:00+00:00,2022-09-19 19:00:00+00:00,2022-09-19 19:10:00+00:00,-1.230769230769202,-1.480769230769202,L2_BREAK_FAST_FAIL_5M,True,20.0,1.0,2022-09-19 19:00:00+00:00,False,6
CENTRAL,development,1.0,2022-09-22 18:00:00+00:00,2022-09-22 18:30:00+00:00,2022-09-22 18:50:00+00:00,-1.7107309486780742,-1.9607309486780744,L4_BREAK_FAIL_30M,True,15.0,1.0,2022-09-22 18:30:00+00:00,False,1
CENTRAL,development,1.0,2022-09-26 18:00:00+00:00,2022-09-26 18:05:00+00:00,2022-09-26 18:30:00+00:00,-0.5986231667165498,-0.8486231667165498,L3_BREAK_FAST_FAIL_10M,True,20.0,1.0,2022-09-26 18:05:00+00:00,False,3
CENTRAL,development,1.0,2022-10-03 18:00:00+00:00,2022-10-03 18:00:00+00:00,2022-10-04 05:55:00+00:00,-2.411817907748026,-2.661817907748026,L1_NEVER_BREAK_TIME,True,40.0,4.0,2022-10-04 06:20:00+00:00,True,4
CENTRAL,development,1.0,2022-10-04 18:00:00+00:00,2022-10-04 20:45:00+00:00,2022-10-05 05:55:00+00:00,-4.073319755600712,-4.323319755600713,L1_NEVER_BREAK_TIME,False,,,,False,1
CENTRAL,development,1.0,2022-10-05 18:00:00+00:00,2022-10-05 19:00:00+00:00,2022-10-05 19:50:00+00:00,0.0,-0.25,L5_BREAK_FAIL_LATE,True,260.0,4.0,2022-10-05 23:40:00+00:00,True,6
CENTRAL,development,1.0,2022-10-07 18:00:00+00:00,2022-10-07 21:20:00+00:00,2022-10-07 21:40:00+00:00,-0.1512401693890552,-0.4012401693890552,L2_BREAK_FAST_FAIL_5M,False,,,,False,6
CENTRAL,development,1.0,2022-10-08 18:00:00+00:00,2022-10-08 18:10:00+00:00,2022-10-08 21:25:00+00:00,-3.7993920972644313,-4.049392097264431,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,2
CENTRAL,development,1.0,2022-10-13 18:00:00+00:00,2022-10-13 18:05:00+00:00,2022-10-13 18:30:00+00:00,-0.6615944426066611,-0.9115944426066612,L4_BREAK_FAIL_30M,True,35.0,1.0,2022-10-13 18:05:00+00:00,False,1
CENTRAL,development,1.0,2022-10-21 18:00:00+00:00,2022-10-21 18:05:00+00:00,2022-10-21 18:15:00+00:00,-1.0714285714285563,-1.3214285714285563,L2_BREAK_FAST_FAIL_5M,False,,,,False,3
CENTRAL,development,1.0,2022-10-25 18:00:00+00:00,2022-10-25 18:00:00+00:00,2022-10-26 05:55:00+00:00,-17.823930564166147,-18.073930564166147,L1_NEVER_BREAK_TIME,False,,,,False,1
CENTRAL,development,1.0,2022-10-28 18:00:00+00:00,2022-10-28 20:05:00+00:00,2022-10-28 20:30:00+00:00,-1.0839269123567583,-1.3339269123567583,L3_BREAK_FAST_FAIL_10M,True,445.0,4.0,2022-10-29 02:50:00+00:00,True,4
CENTRAL,development,1.0,2022-11-04 18:00:00+00:00,2022-11-04 23:00:00+00:00,2022-11-04 23:15:00+00:00,-2.6462805057336225,-2.896280505733623,L2_BREAK_FAST_FAIL_5M,True,95.0,2.0,2022-11-05 00:30:00+00:00,True,2
CENTRAL,development,1.0,2022-11-14 18:00:00+00:00,2022-11-15 00:20:00+00:00,2022-11-15 05:55:00+00:00,-15.795320419357106,-16.045320419357108,L1_NEVER_BREAK_TIME,True,175.0,2.0,2022-11-15 07:10:00+00:00,True,4
CENTRAL,development,1.0,2022-11-25 18:00:00+00:00,2022-11-25 20:15:00+00:00,2022-11-25 20:40:00+00:00,-0.2810172825628565,-0.5310172825628565,L4_BREAK_FAIL_30M,True,235.0,4.0,2022-11-26 00:30:00+00:00,True,4
CENTRAL,development,1.0,2022-11-28 18:00:00+00:00,2022-11-29 05:00:00+00:00,2022-11-29 05:30:00+00:00,-1.0501919316288633,-1.3001919316288633,L4_BREAK_FAIL_30M,False,,,,False,2
CENTRAL,development,1.0,2022-12-02 18:00:00+00:00,2022-12-02 19:55:00+00:00,2022-12-02 20:25:00+00:00,-0.3654970760234022,-0.6154970760234022,L4_BREAK_FAIL_30M,False,,,,False,1
CENTRAL,development,1.0,2022-12-11 18:00:00+00:00,2022-12-11 18:55:00+00:00,2022-12-11 19:20:00+00:00,-0.327153762268273,-0.577153762268273,L4_BREAK_FAIL_30M,False,,,,False,1
CENTRAL,development,1.0,2022-12-14 18:00:00+00:00,2022-12-14 18:20:00+00:00,2022-12-14 18:30:00+00:00,-1.181235234559597,-1.431235234559597,L2_BREAK_FAST_FAIL_5M,False,,,,False,1
CENTRAL,development,1.0,2022-12-15 18:00:00+00:00,2022-12-15 20:20:00+00:00,2022-12-15 20:40:00+00:00,-0.2825257804774383,-0.5325257804774384,L4_BREAK_FAIL_30M,False,,,,False,3
CENTRAL,development,1.0,2022-12-19 18:00:00+00:00,2022-12-20 04:35:00+00:00,2022-12-20 05:30:00+00:00,-0.48709206039943,-0.73709206039943,L5_BREAK_FAIL_LATE,False,,,,False,2
CENTRAL,development,1.0,2022-12-22 18:00:00+00:00,2022-12-22 20:20:00+00:00,2022-12-22 23:30:00+00:00,-14.170545212765951,-14.420545212765951,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,3
CENTRAL,development,1.0,2022-12-24 18:00:00+00:00,2022-12-24 18:00:00+00:00,2022-12-24 18:25:00+00:00,-0.0874125874125164,-0.3374125874125164,L4_BREAK_FAIL_30M,True,45.0,1.0,2022-12-24 18:00:00+00:00,False,6
CENTRAL,development,1.0,2022-12-25 18:00:00+00:00,2022-12-25 22:00:00+00:00,2022-12-26 05:55:00+00:00,-4.85309548793289,-5.10309548793289,L1_NEVER_BREAK_TIME,False,,,,False,3
CENTRAL,development,1.0,2022-12-27 18:00:00+00:00,2022-12-27 23:00:00+00:00,2022-12-28 05:00:00+00:00,-17.981072555205092,-18.23107255520509,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,3
CENTRAL,development,1.0,2022-12-30 18:00:00+00:00,2022-12-30 18:50:00+00:00,2022-12-31 05:55:00+00:00,-12.010050251256231,-12.260050251256231,L1_NEVER_BREAK_TIME,True,510.0,7.0,2022-12-31 14:10:00+00:00,True,7
CENTRAL,development,2.0,2023-01-02 18:00:00+00:00,2023-01-02 19:45:00+00:00,2023-01-02 20:05:00+00:00,-1.8248175182482007,-2.074817518248201,L4_BREAK_FAIL_30M,True,35.0,2.0,2023-01-02 20:20:00+00:00,True,4
CENTRAL,development,2.0,2023-01-03 18:00:00+00:00,2023-01-04 03:05:00+00:00,2023-01-04 05:55:00+00:00,-9.186540817061717,-9.436540817061717,L1_NEVER_BREAK_TIME,False,,,,False,3
CENTRAL,development,2.0,2023-01-05 18:00:00+00:00,2023-01-05 19:50:00+00:00,2023-01-05 20:00:00+00:00,-0.261291526689078,-0.5112915266890781,L2_BREAK_FAST_FAIL_5M,True,5.0,1.0,2023-01-05 19:50:00+00:00,False,3
CENTRAL,development,2.0,2023-01-06 18:00:00+00:00,2023-01-06 18:05:00+00:00,2023-01-06 18:15:00+00:00,-0.8270676691729539,-1.077067669172954,L2_BREAK_FAST_FAIL_5M,True,300.0,4.0,2023-01-06 22:20:00+00:00,True,8
CENTRAL,development,2.0,2023-01-08 18:00:00+00:00,2023-01-08 23:15:00+00:00,2023-01-08 23:25:00+00:00,-1.07650351657812,-1.32650351657812,L2_BREAK_FAST_FAIL_5M,True,30.0,2.0,2023-01-08 23:40:00+00:00,True,2
CENTRAL,development,2.0,2023-01-15 18:00:00+00:00,2023-01-16 02:20:00+00:00,2023-01-16 02:35:00+00:00,-3.158070857907702,-3.4080708579077026,L3_BREAK_FAST_FAIL_10M,True,245.0,2.0,2023-01-16 06:40:00+00:00,True,2
CENTRAL,development,2.0,2023-01-29 18:00:00+00:00,2023-01-29 18:00:00+00:00,2023-01-30 05:55:00+00:00,-18.45025390257665,-18.70025390257665,L1_NEVER_BREAK_TIME,False,,,,False,2
CENTRAL,development,2.0,2023-02-07 18:00:00+00:00,2023-02-07 18:00:00+00:00,2023-02-07 18:35:00+00:00,-21.43459915611812,-21.68459915611812,L0_NEVER_BREAK_REFERENCE_INVALIDATION,True,360.0,4.0,2023-02-07 22:40:00+00:00,True,6
CENTRAL,development,2.0,2023-02-10 18:00:00+00:00,2023-02-10 19:30:00+00:00,2023-02-10 21:35:00+00:00,-19.00995759683649,-19.25995759683649,L0_NEVER_BREAK_REFERENCE_INVALIDATION,False,,,,False,1
CENTRAL,development,2.0,2023-02-11 18:00:00+00:00,2023-02-11 21:45:00+00:00,2023-02-11 22:05:00+00:00,-0.242730229622845,-0.4927302296228451,L4_BREAK_FAIL_30M,True,15.0,1.0,2023-02-11 21:45:00+00:00,False,1
CENTRAL,development,2.0,2023-02-13 18:00:00+00:00,2023-02-13 23:25:00+00:00,2023-02-14 01:20:00+00:00,-0.0483185156552323,-0.2983185156552324,L5_BREAK_FAIL_LATE,True,505.0,1.0,2023-02-13 23:25:00+00:00,False,1
CENTRAL,development,2.0,2023-02-19 18:00:00+00:00,2023-02-19 22:05:00+00:00,2023-02-19 22:20:00+00:00,-1.613792017633564,-1.863792017633564,L3_BREAK_FAST_FAIL_10M,True,270.0,3.0,2023-02-20 02:20:00+00:00,True,3
CENTRAL,development,2.0,2023-02-21 18:00:00+00:00,2023-02-21 18:00:00+00:00,2023-02-21 18:10:00+00:00,-1.119886832488537,-1.369886832488537,L2_BREAK_FAST_FAIL_5M,False,,,,False,3
CENTRAL,development,2.0,2023-02-25 18:00:00+00:00,2023-02-26 02:45:00+00:00,2023-02-26 02:55:00+00:00,-0.0663305916688838,-0.3163305916688839,L2_BREAK_FAST_FAIL_5M,True,285.0,3.0,2023-02-26 06:45:00+00:00,True,3
