family,feature,feature_type,year,state,n,success,rate
PLUS15_REACTION,p15_range_r,NUMERIC,2026,Q2,20,16,0.8
PLUS15_REACTION,p15_range_r,NUMERIC,2026,Q3,20,16,0.8
PLUS15_REACTION,p15_range_r,NUMERIC,2026,Q4,33,23,0.696969696969697
PLUS15_REACTION,p15_high_r,NUMERIC,2022,Q1,38,29,0.7631578947368421
PLUS15_REACTION,p15_high_r,NUMERIC,2022,Q2,42,29,0.6904761904761905
PLUS15_REACTION,p15_high_r,NUMERIC,2022,Q3,26,20,0.7692307692307693
PLUS15_REACTION,p15_high_r,NUMERIC,2022,Q4,36,26,0.7222222222222222
PLUS15_REACTION,p15_high_r,NUMERIC,2023,Q1,33,19,0.5757575757575758
PLUS15_REACTION,p15_high_r,NUMERIC,2023,Q2,35,22,0.6285714285714286
PLUS15_REACTION,p15_high_r,NUMERIC,2023,Q3,49,38,0.7755102040816326
PLUS15_REACTION,p15_high_r,NUMERIC,2023,Q4,37,28,0.7567567567567568
PLUS15_REACTION,p15_high_r,NUMERIC,2024,Q1,46,30,0.6521739130434783
PLUS15_REACTION,p15_high_r,NUMERIC,2024,Q2,40,30,0.75
PLUS15_REACTION,p15_high_r,NUMERIC,2024,Q3,40,26,0.65
PLUS15_REACTION,p15_high_r,NUMERIC,2024,Q4,43,29,0.6744186046511628
PLUS15_REACTION,p15_high_r,NUMERIC,2025,Q1,50,37,0.74
PLUS15_REACTION,p15_high_r,NUMERIC,2025,Q2,43,28,0.6511627906976745
PLUS15_REACTION,p15_high_r,NUMERIC,2025,Q3,56,43,0.7678571428571429
PLUS15_REACTION,p15_high_r,NUMERIC,2025,Q4,30,23,0.7666666666666667
PLUS15_REACTION,p15_high_r,NUMERIC,2026,Q1,18,12,0.6666666666666666
PLUS15_REACTION,p15_high_r,NUMERIC,2026,Q2,27,17,0.6296296296296297
PLUS15_REACTION,p15_high_r,NUMERIC,2026,Q3,22,18,0.8181818181818182
PLUS15_REACTION,p15_high_r,NUMERIC,2026,Q4,36,26,0.7222222222222222
PLUS15_REACTION,p15_close_location,NUMERIC,2022,Q1,41,29,0.7073170731707317
PLUS15_REACTION,p15_close_location,NUMERIC,2022,Q2,37,28,0.7567567567567568
PLUS15_REACTION,p15_close_location,NUMERIC,2022,Q3,32,24,0.75
PLUS15_REACTION,p15_close_location,NUMERIC,2022,Q4,32,23,0.71875
PLUS15_REACTION,p15_close_location,NUMERIC,2023,Q1,40,27,0.675
PLUS15_REACTION,p15_close_location,NUMERIC,2023,Q2,37,26,0.7027027027027027
PLUS15_REACTION,p15_close_location,NUMERIC,2023,Q3,34,24,0.7058823529411765
PLUS15_REACTION,p15_close_location,NUMERIC,2023,Q4,43,30,0.6976744186046512
PLUS15_REACTION,p15_close_location,NUMERIC,2024,Q1,36,24,0.6666666666666666
PLUS15_REACTION,p15_close_location,NUMERIC,2024,Q2,42,25,0.5952380952380952
PLUS15_REACTION,p15_close_location,NUMERIC,2024,Q3,50,39,0.78
PLUS15_REACTION,p15_close_location,NUMERIC,2024,Q4,41,27,0.6585365853658537
PLUS15_REACTION,p15_close_location,NUMERIC,2025,Q1,50,29,0.58
PLUS15_REACTION,p15_close_location,NUMERIC,2025,Q2,43,36,0.8372093023255814
PLUS15_REACTION,p15_close_location,NUMERIC,2025,Q3,41,32,0.7804878048780488
PLUS15_REACTION,p15_close_location,NUMERIC,2025,Q4,45,34,0.7555555555555555
PLUS15_REACTION,p15_close_location,NUMERIC,2026,Q1,26,16,0.6153846153846154
PLUS15_REACTION,p15_close_location,NUMERIC,2026,Q2,28,21,0.75
PLUS15_REACTION,p15_close_location,NUMERIC,2026,Q3,27,18,0.6666666666666666
PLUS15_REACTION,p15_close_location,NUMERIC,2026,Q4,22,18,0.8181818181818182
PLUS5_REACTION,p5_range_r,NUMERIC,2022,Q1,30,21,0.7
PLUS5_REACTION,p5_range_r,NUMERIC,2022,Q2,36,28,0.7777777777777778
PLUS5_REACTION,p5_range_r,NUMERIC,2022,Q3,40,28,0.7
PLUS5_REACTION,p5_range_r,NUMERIC,2022,Q4,41,32,0.7804878048780488
PLUS5_REACTION,p5_range_r,NUMERIC,2023,Q1,43,25,0.5813953488372093
PLUS5_REACTION,p5_range_r,NUMERIC,2023,Q2,35,20,0.5714285714285714
PLUS5_REACTION,p5_range_r,NUMERIC,2023,Q3,41,35,0.8536585365853658
PLUS5_REACTION,p5_range_r,NUMERIC,2023,Q4,39,31,0.7948717948717948
PLUS5_REACTION,p5_range_r,NUMERIC,2024,Q1,46,30,0.6521739130434783
PLUS5_REACTION,p5_range_r,NUMERIC,2024,Q2,48,32,0.6666666666666666
PLUS5_REACTION,p5_range_r,NUMERIC,2024,Q3,38,26,0.6842105263157895
PLUS5_REACTION,p5_range_r,NUMERIC,2024,Q4,39,29,0.7435897435897436
PLUS5_REACTION,p5_range_r,NUMERIC,2025,Q1,68,48,0.7058823529411765
PLUS5_REACTION,p5_range_r,NUMERIC,2025,Q2,48,33,0.6875
PLUS5_REACTION,p5_range_r,NUMERIC,2025,Q3,35,27,0.7714285714285715
PLUS5_REACTION,p5_range_r,NUMERIC,2025,Q4,36,31,0.8611111111111112
PLUS5_REACTION,p5_range_r,NUMERIC,2026,Q1,33,20,0.6060606060606061
PLUS5_REACTION,p5_range_r,NUMERIC,2026,Q2,21,17,0.8095238095238095
PLUS5_REACTION,p5_range_r,NUMERIC,2026,Q3,20,15,0.75
PLUS5_REACTION,p5_range_r,NUMERIC,2026,Q4,36,28,0.7777777777777778
PLUS5_REACTION,p5_low_r,NUMERIC,2022,Q1,43,33,0.7674418604651163
PLUS5_REACTION,p5_low_r,NUMERIC,2022,Q2,40,29,0.725
PLUS5_REACTION,p5_low_r,NUMERIC,2022,Q3,39,29,0.7435897435897436
PLUS5_REACTION,p5_low_r,NUMERIC,2022,Q4,25,18,0.72
PLUS5_REACTION,p5_low_r,NUMERIC,2023,Q1,31,25,0.8064516129032258
PLUS5_REACTION,p5_low_r,NUMERIC,2023,Q2,37,25,0.6756756756756757
PLUS5_REACTION,p5_low_r,NUMERIC,2023,Q3,48,35,0.7291666666666666
PLUS5_REACTION,p5_low_r,NUMERIC,2023,Q4,42,26,0.6190476190476191
PLUS5_REACTION,p5_low_r,NUMERIC,2024,Q1,45,31,0.6888888888888889
PLUS5_REACTION,p5_low_r,NUMERIC,2024,Q2,42,30,0.7142857142857143
PLUS5_REACTION,p5_low_r,NUMERIC,2024,Q3,32,25,0.78125
PLUS5_REACTION,p5_low_r,NUMERIC,2024,Q4,52,31,0.5961538461538461
PLUS5_REACTION,p5_low_r,NUMERIC,2025,Q1,38,30,0.7894736842105263
PLUS5_REACTION,p5_low_r,NUMERIC,2025,Q2,35,27,0.7714285714285715
PLUS5_REACTION,p5_low_r,NUMERIC,2025,Q3,56,43,0.7678571428571429
PLUS5_REACTION,p5_low_r,NUMERIC,2025,Q4,58,39,0.6724137931034483
PLUS5_REACTION,p5_low_r,NUMERIC,2026,Q1,29,23,0.7931034482758621
PLUS5_REACTION,p5_low_r,NUMERIC,2026,Q2,17,14,0.8235294117647058
PLUS5_REACTION,p5_low_r,NUMERIC,2026,Q3,28,19,0.6785714285714286
PLUS5_REACTION,p5_low_r,NUMERIC,2026,Q4,36,24,0.6666666666666666
PLUS5_REACTION,p5_close_location,NUMERIC,2022,Q1,40,31,0.775
PLUS5_REACTION,p5_close_location,NUMERIC,2022,Q2,38,29,0.7631578947368421
PLUS5_REACTION,p5_close_location,NUMERIC,2022,Q3,33,23,0.696969696969697
PLUS5_REACTION,p5_close_location,NUMERIC,2022,Q4,36,26,0.7222222222222222
PLUS5_REACTION,p5_close_location,NUMERIC,2023,Q1,37,23,0.6216216216216216
PLUS5_REACTION,p5_close_location,NUMERIC,2023,Q2,34,25,0.7352941176470589
PLUS5_REACTION,p5_close_location,NUMERIC,2023,Q3,49,36,0.7346938775510204
PLUS5_REACTION,p5_close_location,NUMERIC,2023,Q4,38,27,0.7105263157894737
PLUS5_REACTION,p5_close_location,NUMERIC,2024,Q1,42,26,0.6190476190476191
PLUS5_REACTION,p5_close_location,NUMERIC,2024,Q2,47,31,0.6595744680851063
PLUS5_REACTION,p5_close_location,NUMERIC,2024,Q3,37,30,0.8108108108108109
PLUS5_REACTION,p5_close_location,NUMERIC,2024,Q4,45,30,0.6666666666666666
PLUS5_REACTION,p5_close_location,NUMERIC,2025,Q1,41,28,0.6829268292682927
PLUS5_REACTION,p5_close_location,NUMERIC,2025,Q2,40,28,0.7
PLUS5_REACTION,p5_close_location,NUMERIC,2025,Q3,66,48,0.7272727272727273
PLUS5_REACTION,p5_close_location,NUMERIC,2025,Q4,40,35,0.875
PLUS5_REACTION,p5_close_location,NUMERIC,2026,Q1,26,17,0.6538461538461539
PLUS5_REACTION,p5_close_location,NUMERIC,2026,Q2,26,16,0.6153846153846154
PLUS5_REACTION,p5_close_location,NUMERIC,2026,Q3,36,30,0.8333333333333334
PLUS5_REACTION,p5_close_location,NUMERIC,2026,Q4,22,17,0.7727272727272727
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2022,Q1,41,36,0.8780487804878049
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2022,Q2,41,28,0.6829268292682927
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2022,Q3,33,26,0.7878787878787878
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2022,Q4,35,22,0.6285714285714286
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2023,Q1,45,36,0.8
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2023,Q2,43,30,0.6976744186046512
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2023,Q3,44,29,0.6590909090909091
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2023,Q4,36,26,0.7222222222222222
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2024,Q1,39,33,0.8461538461538461
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2024,Q2,41,28,0.6829268292682927
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2024,Q3,48,33,0.6875
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2024,Q4,54,34,0.6296296296296297
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2025,Q1,46,39,0.8478260869565217
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2025,Q2,38,30,0.7894736842105263
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2025,Q3,57,38,0.6666666666666666
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2025,Q4,55,41,0.7454545454545455
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2026,Q1,36,27,0.75
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2026,Q2,28,22,0.7857142857142857
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2026,Q3,28,23,0.8214285714285714
RETEST_APPROACH,last3_bear_progress_zone_r,NUMERIC,2026,Q4,21,11,0.5238095238095238
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2022,Q1,34,23,0.6764705882352942
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2022,Q2,34,21,0.6176470588235294
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2022,Q3,38,28,0.7368421052631579
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2022,Q4,44,40,0.9090909090909091
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2023,Q1,44,27,0.6136363636363636
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2023,Q2,40,28,0.7
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2023,Q3,43,37,0.8604651162790697
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2023,Q4,41,29,0.7073170731707317
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2024,Q1,54,32,0.5925925925925926
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2024,Q2,46,38,0.8260869565217391
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2024,Q3,42,28,0.6666666666666666
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2024,Q4,40,30,0.75
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2025,Q1,57,45,0.7894736842105263
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2025,Q2,49,33,0.673469387755102
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2025,Q3,40,31,0.775
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2025,Q4,50,39,0.78
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2026,Q1,23,16,0.6956521739130435
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2026,Q2,26,15,0.5769230769230769
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2026,Q3,25,22,0.88
RETEST_APPROACH,zone_age_at_retest_h,NUMERIC,2026,Q4,39,30,0.7692307692307693
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2022,Q1,40,32,0.8
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2022,Q2,44,35,0.7954545454545454
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2022,Q3,31,20,0.6451612903225806
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2022,Q4,35,25,0.7142857142857143
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2023,Q1,43,37,0.8604651162790697
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2023,Q2,37,26,0.7027027027027027
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2023,Q3,46,33,0.717391304347826
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2023,Q4,42,25,0.5952380952380952
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2024,Q1,43,38,0.8837209302325582
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2024,Q2,43,28,0.6511627906976745
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2024,Q3,48,30,0.625
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2024,Q4,48,32,0.6666666666666666
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2025,Q1,31,26,0.8387096774193549
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2025,Q2,45,35,0.7777777777777778
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2025,Q3,59,47,0.7966101694915254
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2025,Q4,61,40,0.6557377049180327
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2026,Q1,29,22,0.7586206896551724
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2026,Q2,35,25,0.7142857142857143
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2026,Q3,26,21,0.8076923076923077
RETEST_APPROACH,last1_bear_progress_zone_r,NUMERIC,2026,Q4,23,15,0.6521739130434783
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2022,Q1,47,38,0.8085106382978723
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2022,Q2,25,22,0.88
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2022,Q3,41,27,0.6585365853658537
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2022,Q4,37,25,0.6756756756756757
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2023,Q1,61,47,0.7704918032786885
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2023,Q2,32,25,0.78125
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2023,Q3,31,21,0.6774193548387096
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2023,Q4,44,28,0.6363636363636364
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2024,Q1,63,48,0.7619047619047619
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2024,Q2,41,26,0.6341463414634146
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2024,Q3,38,26,0.6842105263157895
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2024,Q4,40,28,0.7
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2025,Q1,66,55,0.8333333333333334
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2025,Q2,41,32,0.7804878048780488
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2025,Q3,44,31,0.7045454545454546
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2025,Q4,45,30,0.6666666666666666
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2026,Q1,50,42,0.84
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2026,Q2,18,14,0.7777777777777778
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2026,Q3,19,13,0.6842105263157895
SURVIVAL_PROOF_SPEED,time_to_0_5r_min,NUMERIC,2026,Q4,26,14,0.5384615384615384
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2022,False,87,59,0.6781609195402298
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2022,True,63,53,0.8412698412698413
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2023,False,83,55,0.6626506024096386
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2023,True,85,66,0.7764705882352941
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2024,False,90,59,0.6555555555555556
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2024,True,92,69,0.75
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2025,False,99,69,0.696969696969697
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2025,True,97,79,0.8144329896907216
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2026,False,51,30,0.5882352941176471
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_60M,BINARY,2026,True,62,53,0.8548387096774194
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2022,False,103,74,0.7184466019417476
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2022,True,47,38,0.8085106382978723
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2023,False,107,74,0.6915887850467289
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2023,True,61,47,0.7704918032786885
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2024,False,119,80,0.6722689075630253
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2024,True,63,48,0.7619047619047619
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2025,False,130,93,0.7153846153846154
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2025,True,66,55,0.8333333333333334
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2026,False,63,41,0.6507936507936508
SURVIVAL_PROOF_SPEED,PROOF_WITHIN_30M,BINARY,2026,True,50,42,0.84
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2022,False,147,110,0.7482993197278912
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2022,True,3,2,0.6666666666666666
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2023,False,155,108,0.6967741935483871
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2023,True,13,13,1.0
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2024,False,172,119,0.6918604651162791
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2024,True,10,9,0.9
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2025,False,184,137,0.7445652173913043
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2025,True,12,11,0.9166666666666666
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2026,False,106,76,0.7169811320754716
TOUCH_REACTION,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2026,True,7,7,1.0
TOUCH_REACTION,touch_range_event_r,NUMERIC,2022,Q1,28,18,0.6428571428571429
TOUCH_REACTION,touch_range_event_r,NUMERIC,2022,Q2,44,31,0.7045454545454546
TOUCH_REACTION,touch_range_event_r,NUMERIC,2022,Q3,43,36,0.8372093023255814
TOUCH_REACTION,touch_range_event_r,NUMERIC,2022,Q4,35,27,0.7714285714285715
TOUCH_REACTION,touch_range_event_r,NUMERIC,2023,Q1,43,26,0.6046511627906976
TOUCH_REACTION,touch_range_event_r,NUMERIC,2023,Q2,38,26,0.6842105263157895
TOUCH_REACTION,touch_range_event_r,NUMERIC,2023,Q3,42,30,0.7142857142857143
TOUCH_REACTION,touch_range_event_r,NUMERIC,2023,Q4,45,39,0.8666666666666667
TOUCH_REACTION,touch_range_event_r,NUMERIC,2024,Q1,54,36,0.6666666666666666
TOUCH_REACTION,touch_range_event_r,NUMERIC,2024,Q2,43,27,0.627906976744186
TOUCH_REACTION,touch_range_event_r,NUMERIC,2024,Q3,40,27,0.675
TOUCH_REACTION,touch_range_event_r,NUMERIC,2024,Q4,45,38,0.8444444444444444
TOUCH_REACTION,touch_range_event_r,NUMERIC,2025,Q1,67,48,0.7164179104477612
TOUCH_REACTION,touch_range_event_r,NUMERIC,2025,Q2,56,39,0.6964285714285714
TOUCH_REACTION,touch_range_event_r,NUMERIC,2025,Q3,37,31,0.8378378378378378
TOUCH_REACTION,touch_range_event_r,NUMERIC,2025,Q4,36,30,0.8333333333333334
TOUCH_REACTION,touch_range_event_r,NUMERIC,2026,Q1,20,12,0.6
TOUCH_REACTION,touch_range_event_r,NUMERIC,2026,Q2,30,23,0.7666666666666667
TOUCH_REACTION,touch_range_event_r,NUMERIC,2026,Q3,30,24,0.8
TOUCH_REACTION,touch_range_event_r,NUMERIC,2026,Q4,33,24,0.7272727272727273
TOUCH_REACTION,touch_body_event_r,NUMERIC,2022,Q1,35,28,0.8
TOUCH_REACTION,touch_body_event_r,NUMERIC,2022,Q2,50,38,0.76
TOUCH_REACTION,touch_body_event_r,NUMERIC,2022,Q3,29,20,0.6896551724137931
TOUCH_REACTION,touch_body_event_r,NUMERIC,2022,Q4,36,26,0.7222222222222222
TOUCH_REACTION,touch_body_event_r,NUMERIC,2023,Q1,44,37,0.8409090909090909
TOUCH_REACTION,touch_body_event_r,NUMERIC,2023,Q2,34,25,0.7352941176470589
TOUCH_REACTION,touch_body_event_r,NUMERIC,2023,Q3,49,34,0.6938775510204082
TOUCH_REACTION,touch_body_event_r,NUMERIC,2023,Q4,41,25,0.6097560975609756
TOUCH_REACTION,touch_body_event_r,NUMERIC,2024,Q1,46,38,0.8260869565217391
TOUCH_REACTION,touch_body_event_r,NUMERIC,2024,Q2,41,30,0.7317073170731707
TOUCH_REACTION,touch_body_event_r,NUMERIC,2024,Q3,47,27,0.574468085106383
TOUCH_REACTION,touch_body_event_r,NUMERIC,2024,Q4,48,33,0.6875
